project,pair_id,language,expected_type,predicted_type,type_pass,expected_scope,predicted_scope,scope_pass,transformation_tag,difficulty,confidence,runtime_ms,method_count_a,method_count_b,pair_matrix_size,stage0_mode,warnings,limitation_tag,notes
LongT1,java_long_t1_invoice_03,JAVA,T1,T1,True,FULL,FULL,True,CONTROL_FLOW_REORDER,L2,1.0,1544,14,14,196,MULTI_METHOD_BALANCED,Class-level S1 context is weak and should not dominate interpretation.|API_DENSE|CLASS_CONTEXT_WEAK,,Long exact-style clone; comments and formatting differ.
LongT2,java_long_t2_invoice_03,JAVA,T2,T2,True,FULL,FULL,True,RENAMING,L2,1.0,1553,14,14,196,MULTI_METHOD_BALANCED,Class-level S1 context is weak and should not dominate interpretation.|API_DENSE|CLASS_CONTEXT_WEAK,THRESHOLDS_HEURISTIC,"Long class with renamed class, methods, parameters, and locals."
LongT3,java_long_t3_invoice_03,JAVA,T3,T2,False,FULL,FULL,True,STATEMENT_INSERT_DELETE,L3,0.9838679069858332,1803,14,14,196,MULTI_METHOD_BALANCED,Class-level S1 context is weak and should not dominate interpretation.|API_DENSE|CLASS_CONTEXT_WEAK,THRESHOLDS_HEURISTIC,Long Type-3 clone with guard insertion and scoring edits.
LongInternalHelper,java_long_helper_invoice_03,JAVA,T4_WEAK,T2,False,FULL,FULL,True,INLINE_TO_HELPER,L3,0.9809722764751265,1769,14,14,196,MULTI_METHOD_BALANCED,Class-level S1 context is weak and should not dominate interpretation.|API_DENSE|CLASS_CONTEXT_WEAK,CALL_GRAPH_NOT_EXPANDED,Long inline-to-helper extraction case.
LongCallChain,java_long_call_chain_invoice_03,JAVA,T4_WEAK,T2,False,MIXED,FULL,False,CALL_CHAIN_REFACTOR,L4,0.8299693036207798,1569,14,17,238,MULTI_METHOD_BALANCED,Class-level S1 context is weak and should not dominate interpretation.|Pairwise structural comparison may be costly for this input size.|API_DENSE|S4_COST_RISK|CLASS_CONTEXT_WEAK,CALL_GRAPH_NOT_EXPANDED,Main workflow is split into staged internal calls.
LongNonClone,java_long_nonclone_invoice_03,JAVA,NON_CLONE,T2,False,UNKNOWN,UNKNOWN,True,UNRELATED,L3,0.5200192796654663,1683,14,12,168,MULTI_METHOD_BALANCED,Class-level S1 context is weak and should not dominate interpretation.|API_DENSE|CLASS_CONTEXT_WEAK|MANY_UNCONFIRMED_MATCHES,THRESHOLDS_HEURISTIC,Both files are long and loop-heavy but solve different problems.
LongT1,java_long_t1_student_04,JAVA,T1,T1,True,FULL,FULL,True,CONTROL_FLOW_REORDER,L2,1.0,1607,14,14,196,MULTI_METHOD_BALANCED,Class-level S1 context is weak and should not dominate interpretation.|API_DENSE|CLASS_CONTEXT_WEAK,,Long exact-style clone; comments and formatting differ.
LongT2,java_long_t2_student_04,JAVA,T2,T2,True,FULL,FULL,True,RENAMING,L2,1.0,1860,14,14,196,MULTI_METHOD_BALANCED,Class-level S1 context is weak and should not dominate interpretation.|CLASS_CONTEXT_WEAK|API_DENSE,THRESHOLDS_HEURISTIC,"Long class with renamed class, methods, parameters, and locals."
LongT3,java_long_t3_student_04,JAVA,T3,T2,False,FULL,FULL,True,STATEMENT_INSERT_DELETE,L3,0.9838679069858332,1784,14,14,196,MULTI_METHOD_BALANCED,Class-level S1 context is weak and should not dominate interpretation.|API_DENSE|CLASS_CONTEXT_WEAK,THRESHOLDS_HEURISTIC,Long Type-3 clone with guard insertion and scoring edits.
LongInternalHelper,java_long_helper_student_04,JAVA,T4_WEAK,T2,False,FULL,FULL,True,INLINE_TO_HELPER,L3,0.9809722764751265,1649,14,14,196,MULTI_METHOD_BALANCED,Class-level S1 context is weak and should not dominate interpretation.|API_DENSE|CLASS_CONTEXT_WEAK,CALL_GRAPH_NOT_EXPANDED,Long inline-to-helper extraction case.
LongCallChain,java_long_call_chain_student_04,JAVA,T4_WEAK,T2,False,MIXED,FULL,False,CALL_CHAIN_REFACTOR,L4,0.8299693036207798,1687,14,17,238,MULTI_METHOD_BALANCED,Class-level S1 context is weak and should not dominate interpretation.|Pairwise structural comparison may be costly for this input size.|S4_COST_RISK|CLASS_CONTEXT_WEAK|API_DENSE,CALL_GRAPH_NOT_EXPANDED,Main workflow is split into staged internal calls.
LongNonClone,java_long_nonclone_student_04,JAVA,NON_CLONE,T2,False,UNKNOWN,UNKNOWN,True,UNRELATED,L3,0.5200192796654663,2596,14,12,168,MULTI_METHOD_BALANCED,Class-level S1 context is weak and should not dominate interpretation.|API_DENSE|CLASS_CONTEXT_WEAK|MANY_UNCONFIRMED_MATCHES,THRESHOLDS_HEURISTIC,Both files are long and loop-heavy but solve different problems.
LongT1,java_long_t1_shipment_05,JAVA,T1,T1,True,FULL,FULL,True,CONTROL_FLOW_REORDER,L2,1.0,2072,14,14,196,MULTI_METHOD_BALANCED,Class-level S1 context is weak and should not dominate interpretation.|API_DENSE|CLASS_CONTEXT_WEAK,,Long exact-style clone; comments and formatting differ.
LongT2,java_long_t2_shipment_05,JAVA,T2,T2,True,FULL,FULL,True,RENAMING,L2,1.0,1691,14,14,196,MULTI_METHOD_BALANCED,Class-level S1 context is weak and should not dominate interpretation.|API_DENSE|CLASS_CONTEXT_WEAK,THRESHOLDS_HEURISTIC,"Long class with renamed class, methods, parameters, and locals."
LongT3,java_long_t3_shipment_05,JAVA,T3,T2,False,FULL,FULL,True,STATEMENT_INSERT_DELETE,L3,0.9838679069858332,2058,14,14,196,MULTI_METHOD_BALANCED,Class-level S1 context is weak and should not dominate interpretation.|CLASS_CONTEXT_WEAK|API_DENSE,THRESHOLDS_HEURISTIC,Long Type-3 clone with guard insertion and scoring edits.
LongInternalHelper,java_long_helper_shipment_05,JAVA,T4_WEAK,T2,False,FULL,FULL,True,INLINE_TO_HELPER,L3,0.9809722764751265,1965,14,14,196,MULTI_METHOD_BALANCED,Class-level S1 context is weak and should not dominate interpretation.|API_DENSE|CLASS_CONTEXT_WEAK,CALL_GRAPH_NOT_EXPANDED,Long inline-to-helper extraction case.
LongCallChain,java_long_call_chain_shipment_05,JAVA,T4_WEAK,T2,False,MIXED,FULL,False,CALL_CHAIN_REFACTOR,L4,0.8299693036207798,1979,14,17,238,MULTI_METHOD_BALANCED,Class-level S1 context is weak and should not dominate interpretation.|Pairwise structural comparison may be costly for this input size.|API_DENSE|S4_COST_RISK|CLASS_CONTEXT_WEAK,CALL_GRAPH_NOT_EXPANDED,Main workflow is split into staged internal calls.
LongNonClone,java_long_nonclone_shipment_05,JAVA,NON_CLONE,T2,False,UNKNOWN,UNKNOWN,True,UNRELATED,L3,0.5200192796654663,1692,14,12,168,MULTI_METHOD_BALANCED,Class-level S1 context is weak and should not dominate interpretation.|API_DENSE|CLASS_CONTEXT_WEAK|MANY_UNCONFIRMED_MATCHES,THRESHOLDS_HEURISTIC,Both files are long and loop-heavy but solve different problems.
LongT1,java_long_t1_ticket_06,JAVA,T1,T1,True,FULL,FULL,True,CONTROL_FLOW_REORDER,L2,1.0,1826,14,14,196,MULTI_METHOD_BALANCED,Class-level S1 context is weak and should not dominate interpretation.|API_DENSE|CLASS_CONTEXT_WEAK,,Long exact-style clone; comments and formatting differ.
LongT2,java_long_t2_ticket_06,JAVA,T2,T2,True,FULL,FULL,True,RENAMING,L2,1.0,1771,14,14,196,MULTI_METHOD_BALANCED,Class-level S1 context is weak and should not dominate interpretation.|API_DENSE|CLASS_CONTEXT_WEAK,THRESHOLDS_HEURISTIC,"Long class with renamed class, methods, parameters, and locals."
LongT3,java_long_t3_ticket_06,JAVA,T3,T2,False,FULL,FULL,True,STATEMENT_INSERT_DELETE,L3,0.9838679069858332,1780,14,14,196,MULTI_METHOD_BALANCED,Class-level S1 context is weak and should not dominate interpretation.|API_DENSE|CLASS_CONTEXT_WEAK,THRESHOLDS_HEURISTIC,Long Type-3 clone with guard insertion and scoring edits.
LongInternalHelper,java_long_helper_ticket_06,JAVA,T4_WEAK,T2,False,FULL,FULL,True,INLINE_TO_HELPER,L3,0.9809722764751265,2214,14,14,196,MULTI_METHOD_BALANCED,Class-level S1 context is weak and should not dominate interpretation.|CLASS_CONTEXT_WEAK|API_DENSE,CALL_GRAPH_NOT_EXPANDED,Long inline-to-helper extraction case.
LongCallChain,java_long_call_chain_ticket_06,JAVA,T4_WEAK,T2,False,MIXED,FULL,False,CALL_CHAIN_REFACTOR,L4,0.8299693036207798,2217,14,17,238,MULTI_METHOD_BALANCED,Class-level S1 context is weak and should not dominate interpretation.|Pairwise structural comparison may be costly for this input size.|API_DENSE|CLASS_CONTEXT_WEAK|S4_COST_RISK,CALL_GRAPH_NOT_EXPANDED,Main workflow is split into staged internal calls.
LongNonClone,java_long_nonclone_ticket_06,JAVA,NON_CLONE,T2,False,UNKNOWN,UNKNOWN,True,UNRELATED,L3,0.5200192796654663,1845,14,12,168,MULTI_METHOD_BALANCED,Class-level S1 context is weak and should not dominate interpretation.|API_DENSE|CLASS_CONTEXT_WEAK|MANY_UNCONFIRMED_MATCHES,THRESHOLDS_HEURISTIC,Both files are long and loop-heavy but solve different problems.
