project,pair_id,expected_type,expected_scope,view,top_k,method_count,avg_exhaustive_similarity,avg_constrained_similarity,avg_similarity_delta,avg_candidate_reduction,total_exhaustive_candidate_pairs,total_constrained_candidate_pairs,runtime_ms,status,error,transformation_tag,difficulty,limitation_tag,notes
T2,java_t2_rename_03,T2,FULL,HYBRID_NUMERIC_HASH,8,2,1.0,1.0,0.0,0.2285714285714286,41,25,3045,success,,RENAMING,L1,,Local variable names differ
T2,java_t2_rename_04,T2,FULL,DISCOVRE_NUMERIC,8,0,0.0,0.0,0.0,0.0,0,0,3035,success,,RENAMING,L1,,Class and method names differ
T2,java_t2_rename_04,T2,FULL,RAW_HASH_BUCKET,8,0,0.0,0.0,0.0,0.0,0,0,3074,success,,RENAMING,L1,,Class and method names differ
T2,java_t2_rename_04,T2,FULL,HYBRID_NUMERIC_HASH,8,0,0.0,0.0,0.0,0.0,0,0,2868,success,,RENAMING,L1,,Class and method names differ
T2,java_t2_rename_05,T2,FULL,DISCOVRE_NUMERIC,8,0,0.0,0.0,0.0,0.0,0,0,3157,success,,RENAMING,L2,THRESHOLDS_HEURISTIC,Threshold literal changes from 10 to 12
T2,java_t2_rename_05,T2,FULL,RAW_HASH_BUCKET,8,0,0.0,0.0,0.0,0.0,0,0,3702,success,,RENAMING,L2,THRESHOLDS_HEURISTIC,Threshold literal changes from 10 to 12
T2,java_t2_rename_05,T2,FULL,HYBRID_NUMERIC_HASH,8,0,0.0,0.0,0.0,0.0,0,0,3015,success,,RENAMING,L2,THRESHOLDS_HEURISTIC,Threshold literal changes from 10 to 12
T3,java_t3_insert_delete_01,T3,FULL,DISCOVRE_NUMERIC,8,0,0.0,0.0,0.0,0.0,0,0,3093,success,,STATEMENT_INSERT_DELETE,L2,THRESHOLDS_HEURISTIC,Small Type-3 example for calibration
T3,java_t3_insert_delete_01,T3,FULL,RAW_HASH_BUCKET,8,0,0.0,0.0,0.0,0.0,0,0,3090,success,,STATEMENT_INSERT_DELETE,L2,THRESHOLDS_HEURISTIC,Small Type-3 example for calibration
T3,java_t3_insert_delete_01,T3,FULL,HYBRID_NUMERIC_HASH,8,0,0.0,0.0,0.0,0.0,0,0,3417,success,,STATEMENT_INSERT_DELETE,L2,THRESHOLDS_HEURISTIC,Small Type-3 example for calibration
T3,java_t3_null_log_02,T3,FULL,DISCOVRE_NUMERIC,8,0,0.0,0.0,0.0,0.0,0,0,2990,success,,STATEMENT_INSERT_DELETE,L2,THRESHOLDS_HEURISTIC,Added guard and extra variable
T3,java_t3_null_log_02,T3,FULL,RAW_HASH_BUCKET,8,0,0.0,0.0,0.0,0.0,0,0,2837,success,,STATEMENT_INSERT_DELETE,L2,THRESHOLDS_HEURISTIC,Added guard and extra variable
T3,java_t3_null_log_02,T3,FULL,HYBRID_NUMERIC_HASH,8,0,0.0,0.0,0.0,0.0,0,0,2889,success,,STATEMENT_INSERT_DELETE,L2,THRESHOLDS_HEURISTIC,Added guard and extra variable
T3,java_t3_cap_only_03,T3,FULL,DISCOVRE_NUMERIC,8,0,0.0,0.0,0.0,0.0,0,0,2874,success,,STATEMENT_INSERT_DELETE,L2,THRESHOLDS_HEURISTIC,One branch removed
T3,java_t3_cap_only_03,T3,FULL,RAW_HASH_BUCKET,8,0,0.0,0.0,0.0,0.0,0,0,2818,success,,STATEMENT_INSERT_DELETE,L2,THRESHOLDS_HEURISTIC,One branch removed
T3,java_t3_cap_only_03,T3,FULL,HYBRID_NUMERIC_HASH,8,0,0.0,0.0,0.0,0.0,0,0,2783,success,,STATEMENT_INSERT_DELETE,L2,THRESHOLDS_HEURISTIC,One branch removed
T3,java_t3_skip_odd_04,T3,FULL,DISCOVRE_NUMERIC,8,0,0.0,0.0,0.0,0.0,0,0,2596,success,,STATEMENT_INSERT_DELETE,L2,THRESHOLDS_HEURISTIC,Extra continue branch
T3,java_t3_skip_odd_04,T3,FULL,RAW_HASH_BUCKET,8,0,0.0,0.0,0.0,0.0,0,0,2689,success,,STATEMENT_INSERT_DELETE,L2,THRESHOLDS_HEURISTIC,Extra continue branch
T3,java_t3_skip_odd_04,T3,FULL,HYBRID_NUMERIC_HASH,8,0,0.0,0.0,0.0,0.0,0,0,4731,success,,STATEMENT_INSERT_DELETE,L2,THRESHOLDS_HEURISTIC,Extra continue branch
T3,java_t3_early_continue_05,T3,FULL,DISCOVRE_NUMERIC,8,0,0.0,0.0,0.0,0.0,0,0,3551,success,,CONTROL_FLOW_REORDER,L2,THRESHOLDS_HEURISTIC,Uses continue instead of assignment
T3,java_t3_early_continue_05,T3,FULL,RAW_HASH_BUCKET,8,0,0.0,0.0,0.0,0.0,0,0,3535,success,,CONTROL_FLOW_REORDER,L2,THRESHOLDS_HEURISTIC,Uses continue instead of assignment
T3,java_t3_early_continue_05,T3,FULL,HYBRID_NUMERIC_HASH,8,0,0.0,0.0,0.0,0.0,0,0,3001,success,,CONTROL_FLOW_REORDER,L2,THRESHOLDS_HEURISTIC,Uses continue instead of assignment
T3,java_t3_extra_counter_06,T3,FULL,DISCOVRE_NUMERIC,8,0,0.0,0.0,0.0,0.0,0,0,3191,success,,STATEMENT_INSERT_DELETE,L2,THRESHOLDS_HEURISTIC,Extra side computation
T3,java_t3_extra_counter_06,T3,FULL,RAW_HASH_BUCKET,8,0,0.0,0.0,0.0,0.0,0,0,3174,success,,STATEMENT_INSERT_DELETE,L2,THRESHOLDS_HEURISTIC,Extra side computation
T3,java_t3_extra_counter_06,T3,FULL,HYBRID_NUMERIC_HASH,8,0,0.0,0.0,0.0,0.0,0,0,2884,success,,STATEMENT_INSERT_DELETE,L2,THRESHOLDS_HEURISTIC,Extra side computation
T3,java_t3_reverse_loop_07,T3,FULL,DISCOVRE_NUMERIC,8,0,0.0,0.0,0.0,0.0,0,0,2874,success,,CONTROL_FLOW_REORDER,L2,THRESHOLDS_HEURISTIC,Index loop instead of enhanced loop
T3,java_t3_reverse_loop_07,T3,FULL,RAW_HASH_BUCKET,8,0,0.0,0.0,0.0,0.0,0,0,2893,success,,CONTROL_FLOW_REORDER,L2,THRESHOLDS_HEURISTIC,Index loop instead of enhanced loop
T3,java_t3_reverse_loop_07,T3,FULL,HYBRID_NUMERIC_HASH,8,0,0.0,0.0,0.0,0.0,0,0,2984,success,,CONTROL_FLOW_REORDER,L2,THRESHOLDS_HEURISTIC,Index loop instead of enhanced loop
T3,java_t3_param_threshold_08,T3,FULL,DISCOVRE_NUMERIC,8,0,0.0,0.0,0.0,0.0,0,0,3197,success,,STATEMENT_INSERT_DELETE,L2,THRESHOLDS_HEURISTIC,Literal threshold becomes parameter
T3,java_t3_param_threshold_08,T3,FULL,RAW_HASH_BUCKET,8,0,0.0,0.0,0.0,0.0,0,0,3030,success,,STATEMENT_INSERT_DELETE,L2,THRESHOLDS_HEURISTIC,Literal threshold becomes parameter
T3,java_t3_param_threshold_08,T3,FULL,HYBRID_NUMERIC_HASH,8,0,0.0,0.0,0.0,0.0,0,0,2673,success,,STATEMENT_INSERT_DELETE,L2,THRESHOLDS_HEURISTIC,Literal threshold becomes parameter
InternalHelper,java_t4_inline_helper_01,T4_WEAK,FULL,DISCOVRE_NUMERIC,8,0,0.0,0.0,0.0,0.0,0,0,3003,success,,INLINE_TO_HELPER,L1,CALL_GRAPH_NOT_EXPANDED,Tests professor question about internal function calls
InternalHelper,java_t4_inline_helper_01,T4_WEAK,FULL,RAW_HASH_BUCKET,8,0,0.0,0.0,0.0,0.0,0,0,2722,success,,INLINE_TO_HELPER,L1,CALL_GRAPH_NOT_EXPANDED,Tests professor question about internal function calls
InternalHelper,java_t4_inline_helper_01,T4_WEAK,FULL,HYBRID_NUMERIC_HASH,8,0,0.0,0.0,0.0,0.0,0,0,2815,success,,INLINE_TO_HELPER,L1,CALL_GRAPH_NOT_EXPANDED,Tests professor question about internal function calls
InternalHelper,java_t4_helper_inline_02,T4_WEAK,FULL,DISCOVRE_NUMERIC,8,0,0.0,0.0,0.0,0.0,0,0,3172,success,,HELPER_TO_INLINE,L1,CALL_GRAPH_NOT_EXPANDED,Reverse direction of inline helper pair
InternalHelper,java_t4_helper_inline_02,T4_WEAK,FULL,RAW_HASH_BUCKET,8,0,0.0,0.0,0.0,0.0,0,0,3081,success,,HELPER_TO_INLINE,L1,CALL_GRAPH_NOT_EXPANDED,Reverse direction of inline helper pair
InternalHelper,java_t4_helper_inline_02,T4_WEAK,FULL,HYBRID_NUMERIC_HASH,8,0,0.0,0.0,0.0,0.0,0,0,2869,success,,HELPER_TO_INLINE,L1,CALL_GRAPH_NOT_EXPANDED,Reverse direction of inline helper pair
InternalHelper,java_t4_inline_guard_03,T4_WEAK,FULL,DISCOVRE_NUMERIC,8,0,0.0,0.0,0.0,0.0,0,0,2805,success,,INLINE_TO_HELPER,L1,CALL_GRAPH_NOT_EXPANDED,Guard condition moved to helper
InternalHelper,java_t4_inline_guard_03,T4_WEAK,FULL,RAW_HASH_BUCKET,8,0,0.0,0.0,0.0,0.0,0,0,2831,success,,INLINE_TO_HELPER,L1,CALL_GRAPH_NOT_EXPANDED,Guard condition moved to helper
InternalHelper,java_t4_inline_guard_03,T4_WEAK,FULL,HYBRID_NUMERIC_HASH,8,0,0.0,0.0,0.0,0.0,0,0,3410,success,,INLINE_TO_HELPER,L1,CALL_GRAPH_NOT_EXPANDED,Guard condition moved to helper
InternalHelper,java_t4_inline_tax_04,T4_WEAK,FULL,DISCOVRE_NUMERIC,8,0,0.0,0.0,0.0,0.0,0,0,3162,success,,INLINE_TO_HELPER,L2,CALL_GRAPH_NOT_EXPANDED,Tax formula moved to helper
InternalHelper,java_t4_inline_tax_04,T4_WEAK,FULL,RAW_HASH_BUCKET,8,0,0.0,0.0,0.0,0.0,0,0,3008,success,,INLINE_TO_HELPER,L2,CALL_GRAPH_NOT_EXPANDED,Tax formula moved to helper
InternalHelper,java_t4_inline_tax_04,T4_WEAK,FULL,HYBRID_NUMERIC_HASH,8,0,0.0,0.0,0.0,0.0,0,0,3167,success,,INLINE_TO_HELPER,L2,CALL_GRAPH_NOT_EXPANDED,Tax formula moved to helper
InternalHelper,java_t4_inline_normalize_05,T4_WEAK,FULL,DISCOVRE_NUMERIC,8,0,0.0,0.0,0.0,0.0,0,0,3140,success,,INLINE_TO_HELPER,L2,CALL_GRAPH_NOT_EXPANDED,String cleanup moved to helper
InternalHelper,java_t4_inline_normalize_05,T4_WEAK,FULL,RAW_HASH_BUCKET,8,0,0.0,0.0,0.0,0.0,0,0,3555,success,,INLINE_TO_HELPER,L2,CALL_GRAPH_NOT_EXPANDED,String cleanup moved to helper
InternalHelper,java_t4_inline_normalize_05,T4_WEAK,FULL,HYBRID_NUMERIC_HASH,8,0,0.0,0.0,0.0,0.0,0,0,3257,success,,INLINE_TO_HELPER,L2,CALL_GRAPH_NOT_EXPANDED,String cleanup moved to helper
InternalHelper,java_t4_inline_string_score_06,T4_WEAK,FULL,DISCOVRE_NUMERIC,8,0,0.0,0.0,0.0,0.0,0,0,2991,success,,INLINE_TO_HELPER,L2,CALL_GRAPH_NOT_EXPANDED,Character predicate and value helper
InternalHelper,java_t4_inline_string_score_06,T4_WEAK,FULL,RAW_HASH_BUCKET,8,0,0.0,0.0,0.0,0.0,0,0,3180,success,,INLINE_TO_HELPER,L2,CALL_GRAPH_NOT_EXPANDED,Character predicate and value helper
InternalHelper,java_t4_inline_string_score_06,T4_WEAK,FULL,HYBRID_NUMERIC_HASH,8,0,0.0,0.0,0.0,0.0,0,0,3183,success,,INLINE_TO_HELPER,L2,CALL_GRAPH_NOT_EXPANDED,Character predicate and value helper
InternalHelper,java_t4_inline_max_07,T4_WEAK,FULL,DISCOVRE_NUMERIC,8,0,0.0,0.0,0.0,0.0,0,0,3427,success,,INLINE_TO_HELPER,L1,CALL_GRAPH_NOT_EXPANDED,Comparison moved to helper
InternalHelper,java_t4_inline_max_07,T4_WEAK,FULL,RAW_HASH_BUCKET,8,0,0.0,0.0,0.0,0.0,0,0,3056,success,,INLINE_TO_HELPER,L1,CALL_GRAPH_NOT_EXPANDED,Comparison moved to helper
InternalHelper,java_t4_inline_max_07,T4_WEAK,FULL,HYBRID_NUMERIC_HASH,8,0,0.0,0.0,0.0,0.0,0,0,3463,success,,INLINE_TO_HELPER,L1,CALL_GRAPH_NOT_EXPANDED,Comparison moved to helper
InternalHelper,java_t4_inline_discount_08,T4_WEAK,FULL,DISCOVRE_NUMERIC,8,0,0.0,0.0,0.0,0.0,0,0,4059,success,,INLINE_TO_HELPER,L2,CALL_GRAPH_NOT_EXPANDED,Branch calculation moved to helper
InternalHelper,java_t4_inline_discount_08,T4_WEAK,FULL,RAW_HASH_BUCKET,8,0,0.0,0.0,0.0,0.0,0,0,3629,success,,INLINE_TO_HELPER,L2,CALL_GRAPH_NOT_EXPANDED,Branch calculation moved to helper
InternalHelper,java_t4_inline_discount_08,T4_WEAK,FULL,HYBRID_NUMERIC_HASH,8,0,0.0,0.0,0.0,0.0,0,0,3287,success,,INLINE_TO_HELPER,L2,CALL_GRAPH_NOT_EXPANDED,Branch calculation moved to helper
MethodRefactor,java_t4_extract_method_01,T4_WEAK,FULL,DISCOVRE_NUMERIC,8,0,0.0,0.0,0.0,0.0,0,0,3296,success,,EXTRACT_METHOD,L2,CALL_GRAPH_NOT_EXPANDED,One-to-many method organization
MethodRefactor,java_t4_extract_method_01,T4_WEAK,FULL,RAW_HASH_BUCKET,8,0,0.0,0.0,0.0,0.0,0,0,3241,success,,EXTRACT_METHOD,L2,CALL_GRAPH_NOT_EXPANDED,One-to-many method organization
MethodRefactor,java_t4_extract_method_01,T4_WEAK,FULL,HYBRID_NUMERIC_HASH,8,0,0.0,0.0,0.0,0.0,0,0,3128,success,,EXTRACT_METHOD,L2,CALL_GRAPH_NOT_EXPANDED,One-to-many method organization
MethodRefactor,java_t4_merge_methods_02,T4_WEAK,FULL,DISCOVRE_NUMERIC,8,0,0.0,0.0,0.0,0.0,0,0,3496,success,,MERGE_METHODS,L2,CALL_GRAPH_NOT_EXPANDED,Many-to-one method organization
MethodRefactor,java_t4_merge_methods_02,T4_WEAK,FULL,RAW_HASH_BUCKET,8,0,0.0,0.0,0.0,0.0,0,0,3111,success,,MERGE_METHODS,L2,CALL_GRAPH_NOT_EXPANDED,Many-to-one method organization
MethodRefactor,java_t4_merge_methods_02,T4_WEAK,FULL,HYBRID_NUMERIC_HASH,8,0,0.0,0.0,0.0,0.0,0,0,3266,success,,MERGE_METHODS,L2,CALL_GRAPH_NOT_EXPANDED,Many-to-one method organization
MethodRefactor,java_t4_extract_order_03,T4_WEAK,FULL,DISCOVRE_NUMERIC,8,0,0.0,0.0,0.0,0.0,0,0,3382,success,,EXTRACT_METHOD,L2,CALL_GRAPH_NOT_EXPANDED,Subtotal helper extraction
MethodRefactor,java_t4_extract_order_03,T4_WEAK,FULL,RAW_HASH_BUCKET,8,0,0.0,0.0,0.0,0.0,0,0,3696,success,,EXTRACT_METHOD,L2,CALL_GRAPH_NOT_EXPANDED,Subtotal helper extraction
MethodRefactor,java_t4_extract_order_03,T4_WEAK,FULL,HYBRID_NUMERIC_HASH,8,0,0.0,0.0,0.0,0.0,0,0,3372,success,,EXTRACT_METHOD,L2,CALL_GRAPH_NOT_EXPANDED,Subtotal helper extraction
MethodRefactor,java_t4_merge_order_04,T4_WEAK,FULL,DISCOVRE_NUMERIC,8,0,0.0,0.0,0.0,0.0,0,0,3476,success,,MERGE_METHODS,L2,CALL_GRAPH_NOT_EXPANDED,Reverse subtotal helper
MethodRefactor,java_t4_merge_order_04,T4_WEAK,FULL,RAW_HASH_BUCKET,8,0,0.0,0.0,0.0,0.0,0,0,3128,success,,MERGE_METHODS,L2,CALL_GRAPH_NOT_EXPANDED,Reverse subtotal helper
MethodRefactor,java_t4_merge_order_04,T4_WEAK,FULL,HYBRID_NUMERIC_HASH,8,0,0.0,0.0,0.0,0.0,0,0,3149,success,,MERGE_METHODS,L2,CALL_GRAPH_NOT_EXPANDED,Reverse subtotal helper
MethodRefactor,java_t4_extract_stats_05,T4_WEAK,FULL,DISCOVRE_NUMERIC,8,0,0.0,0.0,0.0,0.0,0,0,3058,success,,EXTRACT_METHOD,L2,CALL_GRAPH_NOT_EXPANDED,Average and count helpers
MethodRefactor,java_t4_extract_stats_05,T4_WEAK,FULL,RAW_HASH_BUCKET,8,0,0.0,0.0,0.0,0.0,0,0,3268,success,,EXTRACT_METHOD,L2,CALL_GRAPH_NOT_EXPANDED,Average and count helpers
MethodRefactor,java_t4_extract_stats_05,T4_WEAK,FULL,HYBRID_NUMERIC_HASH,8,0,0.0,0.0,0.0,0.0,0,0,3215,success,,EXTRACT_METHOD,L2,CALL_GRAPH_NOT_EXPANDED,Average and count helpers
MethodRefactor,java_t4_merge_stats_06,T4_WEAK,FULL,DISCOVRE_NUMERIC,8,0,0.0,0.0,0.0,0.0,0,0,3127,success,,MERGE_METHODS,L2,CALL_GRAPH_NOT_EXPANDED,Reverse stats helper
MethodRefactor,java_t4_merge_stats_06,T4_WEAK,FULL,RAW_HASH_BUCKET,8,0,0.0,0.0,0.0,0.0,0,0,3304,success,,MERGE_METHODS,L2,CALL_GRAPH_NOT_EXPANDED,Reverse stats helper
MethodRefactor,java_t4_merge_stats_06,T4_WEAK,FULL,HYBRID_NUMERIC_HASH,8,0,0.0,0.0,0.0,0.0,0,0,3195,success,,MERGE_METHODS,L2,CALL_GRAPH_NOT_EXPANDED,Reverse stats helper
MethodRefactor,java_t4_extract_join_07,T4_WEAK,FULL,DISCOVRE_NUMERIC,8,0,0.0,0.0,0.0,0.0,0,0,0,failed,"/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/target/discovre-eval/java_t4_extract_join_07/left/__src/InlineSanitizeJoin.java:9: error: cannot find symbol
                if (!out.isEmpty()) {
                        ^
  symbol:   method isEmpty()
  location: variable out of type StringBuilder
1 error",EXTRACT_METHOD,L2,CALL_GRAPH_NOT_EXPANDED,String sanitizer helper
MethodRefactor,java_t4_extract_join_07,T4_WEAK,FULL,RAW_HASH_BUCKET,8,0,0.0,0.0,0.0,0.0,0,0,0,failed,"/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/target/discovre-eval/java_t4_extract_join_07/left/__src/InlineSanitizeJoin.java:9: error: cannot find symbol
                if (!out.isEmpty()) {
                        ^
  symbol:   method isEmpty()
  location: variable out of type StringBuilder
1 error",EXTRACT_METHOD,L2,CALL_GRAPH_NOT_EXPANDED,String sanitizer helper
MethodRefactor,java_t4_extract_join_07,T4_WEAK,FULL,HYBRID_NUMERIC_HASH,8,0,0.0,0.0,0.0,0.0,0,0,0,failed,"/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/target/discovre-eval/java_t4_extract_join_07/left/__src/InlineSanitizeJoin.java:9: error: cannot find symbol
                if (!out.isEmpty()) {
                        ^
  symbol:   method isEmpty()
  location: variable out of type StringBuilder
1 error",EXTRACT_METHOD,L2,CALL_GRAPH_NOT_EXPANDED,String sanitizer helper
MethodRefactor,java_t4_merge_join_08,T4_WEAK,FULL,DISCOVRE_NUMERIC,8,0,0.0,0.0,0.0,0.0,0,0,0,failed,"/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/target/discovre-eval/java_t4_merge_join_08/left/__src/ExtractSanitizeJoin.java:20: error: cannot find symbol
        if (!out.isEmpty()) {
                ^
  symbol:   method isEmpty()
  location: variable out of type StringBuilder
1 error",MERGE_METHODS,L2,CALL_GRAPH_NOT_EXPANDED,Reverse sanitizer helper
MethodRefactor,java_t4_merge_join_08,T4_WEAK,FULL,RAW_HASH_BUCKET,8,0,0.0,0.0,0.0,0.0,0,0,0,failed,"/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/target/discovre-eval/java_t4_merge_join_08/left/__src/ExtractSanitizeJoin.java:20: error: cannot find symbol
        if (!out.isEmpty()) {
                ^
  symbol:   method isEmpty()
  location: variable out of type StringBuilder
1 error",MERGE_METHODS,L2,CALL_GRAPH_NOT_EXPANDED,Reverse sanitizer helper
MethodRefactor,java_t4_merge_join_08,T4_WEAK,FULL,HYBRID_NUMERIC_HASH,8,0,0.0,0.0,0.0,0.0,0,0,0,failed,"/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/target/discovre-eval/java_t4_merge_join_08/left/__src/ExtractSanitizeJoin.java:20: error: cannot find symbol
        if (!out.isEmpty()) {
                ^
  symbol:   method isEmpty()
  location: variable out of type StringBuilder
1 error",MERGE_METHODS,L2,CALL_GRAPH_NOT_EXPANDED,Reverse sanitizer helper
