project,pair_id,expected_type,expected_scope,view,top_k,method_count,avg_exhaustive_similarity,avg_constrained_similarity,avg_similarity_delta,max_exhaustive_similarity,max_constrained_similarity,max_non_constructor_constrained_similarity,best_left_method,best_right_method,best_non_constructor_left_method,best_non_constructor_right_method,avg_candidate_reduction,total_exhaustive_candidate_pairs,total_constrained_candidate_pairs,runtime_ms,status,error,transformation_tag,difficulty,limitation_tag,notes
LongInternalHelper,java_long_helper_order_01,T4_WEAK,FULL,RAW_HASH_BUCKET,8,30,0.6580918204955346,0.5388471657502276,0.11924465474530696,1.0,1.0,1.0,OrderRiskA.<init>()V,OrderRiskD.<init>()V,OrderRiskA.checksumBonus([Ljava/lang/String;Ljava/lang/String;)I,OrderRiskD.checksumBonus([Ljava/lang/String;Ljava/lang/String;)I,0.7947347825918187,2431,296,4597,success,,INLINE_TO_HELPER,L3,CALL_GRAPH_NOT_EXPANDED,Long inline-to-helper extraction case.
LongInternalHelper,java_long_helper_order_01,T4_WEAK,FULL,HYBRID_NUMERIC_HASH,8,30,0.6897717685466469,0.5489153172275864,0.1408564513190604,1.0,1.0,1.0,OrderRiskA.<init>()V,OrderRiskD.<init>()V,OrderRiskA.checksumBonus([Ljava/lang/String;Ljava/lang/String;)I,OrderRiskD.checksumBonus([Ljava/lang/String;Ljava/lang/String;)I,0.8424925269044728,2737,302,4179,success,,INLINE_TO_HELPER,L3,CALL_GRAPH_NOT_EXPANDED,Long inline-to-helper extraction case.
LongCallChain,java_long_call_chain_order_01,T4_WEAK,MIXED,DISCOVRE_NUMERIC,8,30,0.5519086835202706,0.44419300175686505,0.10771568176340547,1.0,1.0,1.0,OrderRiskA.<init>()V,OrderRiskE.<init>()V,OrderRiskA.checksumBonus([Ljava/lang/String;Ljava/lang/String;)I,OrderRiskE.checksumBonus([Ljava/lang/String;Ljava/lang/String;)I,0.6885376948507334,3163,785,3545,success,,CALL_CHAIN_REFACTOR,L4,CALL_GRAPH_NOT_EXPANDED,Main workflow is split into staged internal calls.
LongCallChain,java_long_call_chain_order_01,T4_WEAK,MIXED,RAW_HASH_BUCKET,8,30,0.6453603096114319,0.5231266322766926,0.12223367733473924,1.0,1.0,1.0,OrderRiskA.<init>()V,OrderRiskE.<init>()V,OrderRiskA.checksumBonus([Ljava/lang/String;Ljava/lang/String;)I,OrderRiskE.checksumBonus([Ljava/lang/String;Ljava/lang/String;)I,0.8179211232546322,2390,278,4272,success,,CALL_CHAIN_REFACTOR,L4,CALL_GRAPH_NOT_EXPANDED,Main workflow is split into staged internal calls.
LongCallChain,java_long_call_chain_order_01,T4_WEAK,MIXED,HYBRID_NUMERIC_HASH,8,30,0.6819350621101599,0.5317325040960923,0.1502025580140676,1.0,1.0,1.0,OrderRiskA.<init>()V,OrderRiskE.<init>()V,OrderRiskA.checksumBonus([Ljava/lang/String;Ljava/lang/String;)I,OrderRiskE.checksumBonus([Ljava/lang/String;Ljava/lang/String;)I,0.838343846167381,2606,287,4299,success,,CALL_CHAIN_REFACTOR,L4,CALL_GRAPH_NOT_EXPANDED,Main workflow is split into staged internal calls.
LongNonClone,java_long_nonclone_order_01,NON_CLONE,UNKNOWN,DISCOVRE_NUMERIC,8,30,0.4285945417029358,0.396489299878578,0.03210524182435783,1.0,1.0,0.5991746845481033,OrderRiskA.<init>()V,OrderRiskUnrelatedZ.<init>()V,OrderRiskA.normalizeToken(Ljava/lang/String;)Ljava/lang/String;,OrderRiskUnrelatedZ.cleanRow(Ljava/lang/String;)Ljava/lang/String;,0.7016811821758162,3007,887,3451,success,,UNRELATED,L3,THRESHOLDS_HEURISTIC,Both files are long and loop-heavy but solve different problems.
LongNonClone,java_long_nonclone_order_01,NON_CLONE,UNKNOWN,RAW_HASH_BUCKET,8,30,0.3592083154350599,0.1768962071341261,0.18231210830093375,1.0,1.0,0.33333333333333326,OrderRiskA.<init>()V,OrderRiskUnrelatedZ.<init>()V,OrderRiskA.scoreOrderRiskLabels([Ljava/lang/String;)I,OrderRiskUnrelatedZ.countLinesWithDigits([Ljava/lang/String;)I,0.8269993741562587,1679,130,4673,success,,UNRELATED,L3,THRESHOLDS_HEURISTIC,Both files are long and loop-heavy but solve different problems.
LongNonClone,java_long_nonclone_order_01,NON_CLONE,UNKNOWN,HYBRID_NUMERIC_HASH,8,30,0.39948096931702004,0.19610855093540594,0.20337241838161407,1.0,1.0,0.33333333333333326,OrderRiskA.<init>()V,OrderRiskUnrelatedZ.<init>()V,OrderRiskA.scoreOrderRiskLabels([Ljava/lang/String;)I,OrderRiskUnrelatedZ.countWords([Ljava/lang/String;)I,0.8817013168335055,2262,132,4219,success,,UNRELATED,L3,THRESHOLDS_HEURISTIC,Both files are long and loop-heavy but solve different problems.
LongT1,java_long_t1_sensor_02,T1,FULL,DISCOVRE_NUMERIC,8,30,0.6958981510902015,0.5050651858571065,0.19083296523309506,1.0,1.0,1.0,SensorQualityA.<init>()V,SensorQualityA.<init>()V,SensorQualityA.evaluate([I[Ljava/lang/String;Ljava/lang/String;I)I,SensorQualityA.evaluate([I[Ljava/lang/String;Ljava/lang/String;I)I,0.719528103729538,3384,811,3375,success,,CONTROL_FLOW_REORDER,L2,,Long exact-style clone; comments and formatting differ.
LongT1,java_long_t1_sensor_02,T1,FULL,RAW_HASH_BUCKET,8,30,0.6608695982733123,0.569980240453554,0.09088935781975825,1.0,1.0,1.0,SensorQualityA.<init>()V,SensorQualityA.<init>()V,SensorQualityA.evaluate([I[Ljava/lang/String;Ljava/lang/String;I)I,SensorQualityA.evaluate([I[Ljava/lang/String;Ljava/lang/String;I)I,0.7853350137269064,2444,313,4185,success,,CONTROL_FLOW_REORDER,L2,,Long exact-style clone; comments and formatting differ.
LongT1,java_long_t1_sensor_02,T1,FULL,HYBRID_NUMERIC_HASH,8,30,0.6889846021547279,0.5717241498772118,0.1172604522775162,1.0,1.0,1.0,SensorQualityA.<init>()V,SensorQualityA.<init>()V,SensorQualityA.evaluate([I[Ljava/lang/String;Ljava/lang/String;I)I,SensorQualityA.evaluate([I[Ljava/lang/String;Ljava/lang/String;I)I,0.8427416231371226,2788,312,4489,success,,CONTROL_FLOW_REORDER,L2,,Long exact-style clone; comments and formatting differ.
LongT2,java_long_t2_sensor_02,T2,FULL,DISCOVRE_NUMERIC,8,30,0.5620472236414532,0.47751467991977514,0.084532543721678,1.0,1.0,1.0,SensorQualityA.<init>()V,SensorQualityB.<init>()V,SensorQualityA.evaluate([I[Ljava/lang/String;Ljava/lang/String;I)I,SensorQualityB.compute([I[Ljava/lang/String;Ljava/lang/String;I)I,0.6838254093440412,3241,878,3417,success,,RENAMING,L2,THRESHOLDS_HEURISTIC,"Long class with renamed class, methods, parameters, and locals."
LongT2,java_long_t2_sensor_02,T2,FULL,RAW_HASH_BUCKET,8,30,0.6608695982733123,0.5458334150567287,0.11503618321658364,1.0,1.0,1.0,SensorQualityA.<init>()V,SensorQualityB.<init>()V,SensorQualityA.distributionScore([I)I,SensorQualityB.distributionScore([I)I,0.7891117317218509,2444,303,4253,success,,RENAMING,L2,THRESHOLDS_HEURISTIC,"Long class with renamed class, methods, parameters, and locals."
LongT2,java_long_t2_sensor_02,T2,FULL,HYBRID_NUMERIC_HASH,8,30,0.6889846021547279,0.5475773244803863,0.1414072776743416,1.0,1.0,1.0,SensorQualityA.<init>()V,SensorQualityB.<init>()V,SensorQualityA.distributionScore([I)I,SensorQualityB.distributionScore([I)I,0.84738380299974,2788,302,4415,success,,RENAMING,L2,THRESHOLDS_HEURISTIC,"Long class with renamed class, methods, parameters, and locals."
LongT3,java_long_t3_sensor_02,T3,FULL,DISCOVRE_NUMERIC,8,30,0.5655826147170507,0.47656407477739926,0.08901853993965139,1.0,1.0,1.0,SensorQualityA.<init>()V,SensorQualityC.<init>()V,SensorQualityA.evaluate([I[Ljava/lang/String;Ljava/lang/String;I)I,SensorQualityC.compute([I[Ljava/lang/String;Ljava/lang/String;I)I,0.6844823482005631,3235,873,3533,success,,STATEMENT_INSERT_DELETE,L3,THRESHOLDS_HEURISTIC,Long Type-3 clone with guard insertion and scoring edits.
LongT3,java_long_t3_sensor_02,T3,FULL,RAW_HASH_BUCKET,8,30,0.6570234444271585,0.5284857569727959,0.1285376874543627,1.0,1.0,1.0,SensorQualityA.<init>()V,SensorQualityC.<init>()V,SensorQualityA.checksumBonus([Ljava/lang/String;Ljava/lang/String;)I,SensorQualityC.checksumBonus([Ljava/lang/String;Ljava/lang/String;)I,0.7871598136406814,2466,291,4333,success,,STATEMENT_INSERT_DELETE,L3,THRESHOLDS_HEURISTIC,Long Type-3 clone with guard insertion and scoring edits.
LongT3,java_long_t3_sensor_02,T3,FULL,HYBRID_NUMERIC_HASH,8,30,0.6944138975039014,0.5379202538854803,0.156493643618421,1.0,1.0,1.0,SensorQualityA.<init>()V,SensorQualityC.<init>()V,SensorQualityA.checksumBonus([Ljava/lang/String;Ljava/lang/String;)I,SensorQualityC.checksumBonus([Ljava/lang/String;Ljava/lang/String;)I,0.8435069592554068,2812,293,4315,success,,STATEMENT_INSERT_DELETE,L3,THRESHOLDS_HEURISTIC,Long Type-3 clone with guard insertion and scoring edits.
LongInternalHelper,java_long_helper_sensor_02,T4_WEAK,FULL,DISCOVRE_NUMERIC,8,30,0.5620472236414532,0.47751467991977514,0.084532543721678,1.0,1.0,1.0,SensorQualityA.<init>()V,SensorQualityD.<init>()V,SensorQualityA.evaluate([I[Ljava/lang/String;Ljava/lang/String;I)I,SensorQualityD.compute([I[Ljava/lang/String;Ljava/lang/String;I)I,0.6835216493628617,3241,880,3353,success,,INLINE_TO_HELPER,L3,CALL_GRAPH_NOT_EXPANDED,Long inline-to-helper extraction case.
LongInternalHelper,java_long_helper_sensor_02,T4_WEAK,FULL,RAW_HASH_BUCKET,8,30,0.6580918204955346,0.5393254785487922,0.11876634194674238,1.0,1.0,1.0,SensorQualityA.<init>()V,SensorQualityD.<init>()V,SensorQualityA.checksumBonus([Ljava/lang/String;Ljava/lang/String;)I,SensorQualityD.checksumBonus([Ljava/lang/String;Ljava/lang/String;)I,0.7920012658911659,2431,297,4359,success,,INLINE_TO_HELPER,L3,CALL_GRAPH_NOT_EXPANDED,Long inline-to-helper extraction case.
LongInternalHelper,java_long_helper_sensor_02,T4_WEAK,FULL,HYBRID_NUMERIC_HASH,8,30,0.6862068243769502,0.5493233562264181,0.1368834681505321,1.0,1.0,1.0,SensorQualityA.<init>()V,SensorQualityD.<init>()V,SensorQualityA.checksumBonus([Ljava/lang/String;Ljava/lang/String;)I,SensorQualityD.checksumBonus([Ljava/lang/String;Ljava/lang/String;)I,0.8462510453613707,2775,300,4085,success,,INLINE_TO_HELPER,L3,CALL_GRAPH_NOT_EXPANDED,Long inline-to-helper extraction case.
LongCallChain,java_long_call_chain_sensor_02,T4_WEAK,MIXED,DISCOVRE_NUMERIC,8,30,0.5519086835202706,0.44419300175686505,0.10771568176340547,1.0,1.0,1.0,SensorQualityA.<init>()V,SensorQualityE.<init>()V,SensorQualityA.checksumBonus([Ljava/lang/String;Ljava/lang/String;)I,SensorQualityE.checksumBonus([Ljava/lang/String;Ljava/lang/String;)I,0.6885376948507334,3163,785,3374,success,,CALL_CHAIN_REFACTOR,L4,CALL_GRAPH_NOT_EXPANDED,Main workflow is split into staged internal calls.
LongCallChain,java_long_call_chain_sensor_02,T4_WEAK,MIXED,RAW_HASH_BUCKET,8,30,0.6453603096114319,0.5213231990435111,0.12403711056792067,1.0,1.0,1.0,SensorQualityA.<init>()V,SensorQualityE.<init>()V,SensorQualityA.checksumBonus([Ljava/lang/String;Ljava/lang/String;)I,SensorQualityE.checksumBonus([Ljava/lang/String;Ljava/lang/String;)I,0.8154834815312763,2390,278,5089,success,,CALL_CHAIN_REFACTOR,L4,CALL_GRAPH_NOT_EXPANDED,Main workflow is split into staged internal calls.
LongCallChain,java_long_call_chain_sensor_02,T4_WEAK,MIXED,HYBRID_NUMERIC_HASH,8,30,0.6819350621101599,0.5313179597517997,0.15061710235836012,1.0,1.0,1.0,SensorQualityA.<init>()V,SensorQualityE.<init>()V,SensorQualityA.checksumBonus([Ljava/lang/String;Ljava/lang/String;)I,SensorQualityE.checksumBonus([Ljava/lang/String;Ljava/lang/String;)I,0.8355962545122093,2606,283,4644,success,,CALL_CHAIN_REFACTOR,L4,CALL_GRAPH_NOT_EXPANDED,Main workflow is split into staged internal calls.
LongNonClone,java_long_nonclone_sensor_02,NON_CLONE,UNKNOWN,DISCOVRE_NUMERIC,8,30,0.4285945417029358,0.396489299878578,0.03210524182435783,1.0,1.0,0.5991746845481033,SensorQualityA.<init>()V,SensorQualityUnrelatedZ.<init>()V,SensorQualityA.normalizeToken(Ljava/lang/String;)Ljava/lang/String;,SensorQualityUnrelatedZ.cleanRow(Ljava/lang/String;)Ljava/lang/String;,0.7016811821758162,3007,887,3558,success,,UNRELATED,L3,THRESHOLDS_HEURISTIC,Both files are long and loop-heavy but solve different problems.
LongNonClone,java_long_nonclone_sensor_02,NON_CLONE,UNKNOWN,RAW_HASH_BUCKET,8,30,0.35947806887687944,0.18339054122672874,0.17608752765015068,1.0,1.0,0.33333333333333326,SensorQualityA.<init>()V,SensorQualityUnrelatedZ.<init>()V,SensorQualityA.scoreSensorQualityLabels([Ljava/lang/String;)I,SensorQualityUnrelatedZ.countLinesWithDigits([Ljava/lang/String;)I,0.8211446848366538,1662,136,4323,success,,UNRELATED,L3,THRESHOLDS_HEURISTIC,Both files are long and loop-heavy but solve different problems.
LongNonClone,java_long_nonclone_sensor_02,NON_CLONE,UNKNOWN,HYBRID_NUMERIC_HASH,8,30,0.41402616386128915,0.20312994716891766,0.21089621669237155,1.0,1.0,0.38095238095238093,SensorQualityA.<init>()V,SensorQualityUnrelatedZ.<init>()V,SensorQualityA.scoreSensorQualityLabels([Ljava/lang/String;)I,SensorQualityUnrelatedZ.countWords([Ljava/lang/String;)I,0.8843764764699357,2334,136,4547,success,,UNRELATED,L3,THRESHOLDS_HEURISTIC,Both files are long and loop-heavy but solve different problems.
LongT1,java_long_t1_invoice_03,T1,FULL,DISCOVRE_NUMERIC,8,30,0.6958981510902015,0.5050651858571065,0.19083296523309506,1.0,1.0,1.0,InvoiceAuditA.<init>()V,InvoiceAuditA.<init>()V,InvoiceAuditA.evaluate([I[Ljava/lang/String;Ljava/lang/String;I)I,InvoiceAuditA.evaluate([I[Ljava/lang/String;Ljava/lang/String;I)I,0.719528103729538,3384,811,3540,success,,CONTROL_FLOW_REORDER,L2,,Long exact-style clone; comments and formatting differ.
LongT1,java_long_t1_invoice_03,T1,FULL,RAW_HASH_BUCKET,8,30,0.6608695982733123,0.5681130387661006,0.09275655950721173,1.0,1.0,1.0,InvoiceAuditA.<init>()V,InvoiceAuditA.<init>()V,InvoiceAuditA.evaluate([I[Ljava/lang/String;Ljava/lang/String;I)I,InvoiceAuditA.evaluate([I[Ljava/lang/String;Ljava/lang/String;I)I,0.7883787160563231,2444,312,4415,success,,CONTROL_FLOW_REORDER,L2,,Long exact-style clone; comments and formatting differ.
LongT1,java_long_t1_invoice_03,T1,FULL,HYBRID_NUMERIC_HASH,8,30,0.6889846021547279,0.5744787555863035,0.11450584656842452,1.0,1.0,1.0,InvoiceAuditA.<init>()V,InvoiceAuditA.<init>()V,InvoiceAuditA.evaluate([I[Ljava/lang/String;Ljava/lang/String;I)I,InvoiceAuditA.evaluate([I[Ljava/lang/String;Ljava/lang/String;I)I,0.8404854836567303,2788,314,4626,success,,CONTROL_FLOW_REORDER,L2,,Long exact-style clone; comments and formatting differ.
LongT2,java_long_t2_invoice_03,T2,FULL,DISCOVRE_NUMERIC,8,30,0.5620472236414532,0.47751467991977514,0.084532543721678,1.0,1.0,1.0,InvoiceAuditA.<init>()V,InvoiceAuditB.<init>()V,InvoiceAuditA.evaluate([I[Ljava/lang/String;Ljava/lang/String;I)I,InvoiceAuditB.compute([I[Ljava/lang/String;Ljava/lang/String;I)I,0.6838254093440412,3241,878,3515,success,,RENAMING,L2,THRESHOLDS_HEURISTIC,"Long class with renamed class, methods, parameters, and locals."
LongT2,java_long_t2_invoice_03,T2,FULL,RAW_HASH_BUCKET,8,30,0.6608695982733123,0.5374582768613387,0.12341132141197363,1.0,1.0,1.0,InvoiceAuditA.<init>()V,InvoiceAuditB.<init>()V,InvoiceAuditA.distributionScore([I)I,InvoiceAuditB.distributionScore([I)I,0.7938403996492767,2444,299,4177,success,,RENAMING,L2,THRESHOLDS_HEURISTIC,"Long class with renamed class, methods, parameters, and locals."
LongT2,java_long_t2_invoice_03,T2,FULL,HYBRID_NUMERIC_HASH,8,30,0.6872498527707033,0.5438239936815416,0.14342585908916178,1.0,1.0,1.0,InvoiceAuditA.<init>()V,InvoiceAuditB.<init>()V,InvoiceAuditA.distributionScore([I)I,InvoiceAuditB.distributionScore([I)I,0.8457271592254166,2770,300,4456,success,,RENAMING,L2,THRESHOLDS_HEURISTIC,"Long class with renamed class, methods, parameters, and locals."
LongT3,java_long_t3_invoice_03,T3,FULL,DISCOVRE_NUMERIC,8,30,0.5655826147170507,0.47656407477739926,0.08901853993965139,1.0,1.0,1.0,InvoiceAuditA.<init>()V,InvoiceAuditC.<init>()V,InvoiceAuditA.evaluate([I[Ljava/lang/String;Ljava/lang/String;I)I,InvoiceAuditC.compute([I[Ljava/lang/String;Ljava/lang/String;I)I,0.6844823482005631,3235,873,3553,success,,STATEMENT_INSERT_DELETE,L3,THRESHOLDS_HEURISTIC,Long Type-3 clone with guard insertion and scoring edits.
LongT3,java_long_t3_invoice_03,T3,FULL,RAW_HASH_BUCKET,8,30,0.6570234444271585,0.5185184216794928,0.13850502274766568,1.0,1.0,1.0,InvoiceAuditA.<init>()V,InvoiceAuditC.<init>()V,InvoiceAuditA.checksumBonus([Ljava/lang/String;Ljava/lang/String;)I,InvoiceAuditC.checksumBonus([Ljava/lang/String;Ljava/lang/String;)I,0.7962725601605293,2466,285,4320,success,,STATEMENT_INSERT_DELETE,L3,THRESHOLDS_HEURISTIC,Long Type-3 clone with guard insertion and scoring edits.
LongT3,java_long_t3_invoice_03,T3,FULL,HYBRID_NUMERIC_HASH,8,30,0.6944138975039014,0.5353027176876902,0.15911117981621115,1.0,1.0,1.0,InvoiceAuditA.<init>()V,InvoiceAuditC.<init>()V,InvoiceAuditA.checksumBonus([Ljava/lang/String;Ljava/lang/String;)I,InvoiceAuditC.checksumBonus([Ljava/lang/String;Ljava/lang/String;)I,0.8475970369108882,2812,291,4273,success,,STATEMENT_INSERT_DELETE,L3,THRESHOLDS_HEURISTIC,Long Type-3 clone with guard insertion and scoring edits.
LongInternalHelper,java_long_helper_invoice_03,T4_WEAK,FULL,DISCOVRE_NUMERIC,8,30,0.5620472236414532,0.47751467991977514,0.084532543721678,1.0,1.0,1.0,InvoiceAuditA.<init>()V,InvoiceAuditD.<init>()V,InvoiceAuditA.evaluate([I[Ljava/lang/String;Ljava/lang/String;I)I,InvoiceAuditD.compute([I[Ljava/lang/String;Ljava/lang/String;I)I,0.6835216493628617,3241,880,3947,success,,INLINE_TO_HELPER,L3,CALL_GRAPH_NOT_EXPANDED,Long inline-to-helper extraction case.
LongInternalHelper,java_long_helper_invoice_03,T4_WEAK,FULL,RAW_HASH_BUCKET,8,30,0.6580918204955346,0.5330138324168943,0.1250779880786403,1.0,1.0,1.0,InvoiceAuditA.<init>()V,InvoiceAuditD.<init>()V,InvoiceAuditA.distributionScore([I)I,InvoiceAuditD.distributionScore([I)I,0.7956510288266431,2431,295,5074,success,,INLINE_TO_HELPER,L3,CALL_GRAPH_NOT_EXPANDED,Long inline-to-helper extraction case.
LongInternalHelper,java_long_helper_invoice_03,T4_WEAK,FULL,HYBRID_NUMERIC_HASH,8,30,0.6937475241882527,0.5486851047926525,0.14506241939560016,1.0,1.0,1.0,InvoiceAuditA.<init>()V,InvoiceAuditD.<init>()V,InvoiceAuditA.checksumBonus([Ljava/lang/String;Ljava/lang/String;)I,InvoiceAuditD.checksumBonus([Ljava/lang/String;Ljava/lang/String;)I,0.8433356108316483,2759,302,5670,success,,INLINE_TO_HELPER,L3,CALL_GRAPH_NOT_EXPANDED,Long inline-to-helper extraction case.
LongCallChain,java_long_call_chain_invoice_03,T4_WEAK,MIXED,DISCOVRE_NUMERIC,8,30,0.5519086835202706,0.44419300175686505,0.10771568176340547,1.0,1.0,1.0,InvoiceAuditA.<init>()V,InvoiceAuditE.<init>()V,InvoiceAuditA.checksumBonus([Ljava/lang/String;Ljava/lang/String;)I,InvoiceAuditE.checksumBonus([Ljava/lang/String;Ljava/lang/String;)I,0.6885376948507334,3163,785,4066,success,,CALL_CHAIN_REFACTOR,L4,CALL_GRAPH_NOT_EXPANDED,Main workflow is split into staged internal calls.
LongCallChain,java_long_call_chain_invoice_03,T4_WEAK,MIXED,RAW_HASH_BUCKET,8,30,0.6453603096114319,0.5197201816232435,0.12564012798818835,1.0,1.0,1.0,InvoiceAuditA.<init>()V,InvoiceAuditE.<init>()V,InvoiceAuditA.distributionScore([I)I,InvoiceAuditE.distributionScore([I)I,0.8182636245379539,2390,278,5084,success,,CALL_CHAIN_REFACTOR,L4,CALL_GRAPH_NOT_EXPANDED,Main workflow is split into staged internal calls.
LongCallChain,java_long_call_chain_invoice_03,T4_WEAK,MIXED,HYBRID_NUMERIC_HASH,8,30,0.6819350621101599,0.5292523453659336,0.1526827167442263,1.0,1.0,1.0,InvoiceAuditA.<init>()V,InvoiceAuditE.<init>()V,InvoiceAuditA.checksumBonus([Ljava/lang/String;Ljava/lang/String;)I,InvoiceAuditE.checksumBonus([Ljava/lang/String;Ljava/lang/String;)I,0.8390601226419714,2606,283,5385,success,,CALL_CHAIN_REFACTOR,L4,CALL_GRAPH_NOT_EXPANDED,Main workflow is split into staged internal calls.
