pair_id,ref_index,range_index,kind,clone_type,operator,left_begin,left_end,right_begin,right_end
R00011,0,0,CLONE_INTERVAL,T2,t2_change_string_literal,8,15,8,15
R00011,1,0,MUTATION,T2,t2_change_string_literal,8,8,8,8
R00011,2,1,CLONE_INTERVAL,T3,t3_insert_statement,26,32,26,32
R00011,3,1,MUTATION,T3,t3_insert_statement,,,33,33
R00011,4,-1,UNTOUCHED,T1,none,5,7,5,7
R00011,5,-1,UNTOUCHED,T1,none,16,25,16,25
R00011,6,-1,UNTOUCHED,T1,none,33,35,34,36
R00012,0,0,CLONE_INTERVAL,T1,t1_add_block_comment,13,25,13,26
R00012,1,0,MUTATION,T1,t1_add_block_comment,,,20,20
R00012,2,1,CLONE_INTERVAL,T3,t3_insert_statement,31,40,32,42
R00012,3,1,MUTATION,T3,t3_insert_statement,,,37,37
R00012,4,-1,UNTOUCHED,T1,none,3,12,3,12
R00012,5,-1,UNTOUCHED,T1,none,26,30,27,31
R00012,6,-1,UNTOUCHED,T1,none,41,46,43,48
R00013,0,0,CLONE_INTERVAL,T1,t1_add_blank_line,7,13,7,14
R00013,1,0,MUTATION,T1,t1_add_blank_line,,,10,10
R00013,2,1,CLONE_INTERVAL,T2,t2_change_string_literal,30,37,31,38
R00013,3,1,MUTATION,T2,t2_change_string_literal,31,31,32,32
R00013,4,-1,UNTOUCHED,T1,none,3,6,3,6
R00013,5,-1,UNTOUCHED,T1,none,14,29,15,30
R00013,6,-1,UNTOUCHED,T1,none,38,42,39,43
R00014,0,0,CLONE_INTERVAL,T1,t1_add_eol_comment,15,21,15,21
R00014,1,0,MUTATION,T1,t1_add_eol_comment,19,19,19,19
R00014,2,1,CLONE_INTERVAL,T2,t2_rename_local_x3,25,56,25,56
R00014,3,1,MUTATION,T2,t2_rename_local_x3,25,27,25,27
R00014,4,1,MUTATION,T2,t2_rename_local_x3,29,30,29,30
R00014,5,1,MUTATION,T2,t2_rename_local_x3,32,32,32,32
R00014,6,1,MUTATION,T2,t2_rename_local_x3,36,38,36,38
R00014,7,1,MUTATION,T2,t2_rename_local_x3,43,43,43,43
R00014,8,1,MUTATION,T2,t2_rename_local_x3,47,47,47,47
R00014,9,1,MUTATION,T2,t2_rename_local_x3,49,50,49,50
R00014,10,1,MUTATION,T2,t2_rename_local_x3,52,52,52,52
R00014,11,-1,UNTOUCHED,T1,none,12,14,12,14
R00014,12,-1,UNTOUCHED,T1,none,22,24,22,24
R00014,13,-1,UNTOUCHED,T1,none,57,60,57,60
R00015,0,0,CLONE_INTERVAL,T3,t3_wrap_statement,12,18,12,20
R00015,1,0,MUTATION,T3,t3_wrap_statement,,,12,12
R00015,2,1,CLONE_INTERVAL,T2,t2_change_string_literal,22,28,24,30
R00015,3,1,MUTATION,T2,t2_change_string_literal,22,22,24,24
R00015,4,-1,UNTOUCHED,T1,none,5,11,5,11
R00015,5,-1,UNTOUCHED,T1,none,19,21,21,23
R00015,6,-1,UNTOUCHED,T1,none,29,38,31,40
R00016,0,0,CLONE_INTERVAL,T2,t2_change_string_literal,19,26,19,26
R00016,1,0,MUTATION,T2,t2_change_string_literal,23,23,23,23
R00016,2,1,CLONE_INTERVAL,T1,t1_reindent,176,181,176,181
R00016,3,1,MUTATION,T1,t1_reindent,176,181,176,181
R00016,4,-1,UNTOUCHED,T1,none,13,18,13,18
R00016,5,-1,UNTOUCHED,T1,none,27,30,27,30
R00016,6,-1,UNTOUCHED,T1,none,161,175,161,175
R00016,7,-1,UNTOUCHED,T1,none,182,185,182,185
R00017,0,0,CLONE_INTERVAL,T2,t2_rename_local_x2,6,11,6,11
R00017,1,0,MUTATION,T2,t2_rename_local_x2,7,10,7,10
R00017,2,1,CLONE_INTERVAL,T2,t2_change_int_literal,19,41,19,41
R00017,3,1,MUTATION,T2,t2_change_int_literal,19,19,19,19
R00017,4,-1,UNTOUCHED,T1,none,3,5,3,5
R00017,5,-1,UNTOUCHED,T1,none,12,18,12,18
R00017,6,-1,UNTOUCHED,T1,none,42,83,42,83
R00018,0,0,CLONE_INTERVAL,T3,t3_wrap_statement,7,15,7,17
R00018,1,0,MUTATION,T3,t3_wrap_statement,,,9,9
R00018,2,1,CLONE_INTERVAL,T1,t1_add_eol_comment,23,29,25,31
R00018,3,1,MUTATION,T1,t1_add_eol_comment,27,27,29,29
R00018,4,-1,UNTOUCHED,T1,none,3,6,3,6
R00018,5,-1,UNTOUCHED,T1,none,16,22,18,24
R00018,6,-1,UNTOUCHED,T1,none,30,33,32,35
R00019,0,0,CLONE_INTERVAL,T2,t2_change_int_literal,50,55,50,55
R00019,1,0,MUTATION,T2,t2_change_int_literal,54,54,54,54
R00019,2,1,CLONE_INTERVAL,T2,t2_change_int_literal,92,99,92,99
R00019,3,1,MUTATION,T2,t2_change_int_literal,93,93,93,93
R00019,4,-1,UNTOUCHED,T1,none,43,49,43,49
R00019,5,-1,UNTOUCHED,T1,none,56,60,56,60
R00019,6,-1,UNTOUCHED,T1,none,81,91,81,91
R00019,7,-1,UNTOUCHED,T1,none,100,104,100,104
R00020,0,0,CLONE_INTERVAL,T1,t1_reindent,9,14,9,14
R00020,1,0,MUTATION,T1,t1_reindent,9,14,9,14
R00020,2,1,CLONE_INTERVAL,T2,t2_change_string_literal,23,31,23,31
R00020,3,1,MUTATION,T2,t2_change_string_literal,29,29,29,29
R00020,4,-1,UNTOUCHED,T1,none,3,8,3,8
R00020,5,-1,UNTOUCHED,T1,none,15,22,15,22
R00020,6,-1,UNTOUCHED,T1,none,32,34,32,34
R00021,0,0,CLONE_INTERVAL,T3,t3_wrap_statement,7,13,7,15
R00021,1,0,MUTATION,T3,t3_wrap_statement,,,10,10
R00021,2,1,CLONE_INTERVAL,T1,t1_add_eol_comment,25,46,27,48
R00021,3,1,MUTATION,T1,t1_add_eol_comment,26,26,28,28
R00021,4,-1,UNTOUCHED,T1,none,3,6,3,6
R00021,5,-1,UNTOUCHED,T1,none,14,24,16,26
R00021,6,-1,UNTOUCHED,T1,none,47,63,49,65
R00022,0,0,CLONE_INTERVAL,T2,t2_change_string_literal,21,26,21,26
R00022,1,0,MUTATION,T2,t2_change_string_literal,24,24,24,24
R00022,2,1,CLONE_INTERVAL,T3,t3_delete_statement,32,37,32,36
R00022,3,1,MUTATION,T3,t3_delete_statement,37,37,,
R00022,4,-1,UNTOUCHED,T1,none,4,20,4,20
R00022,5,-1,UNTOUCHED,T1,none,27,31,27,31
R00022,6,-1,UNTOUCHED,T1,none,38,40,37,39
R00023,0,0,CLONE_INTERVAL,T2,t2_change_string_literal,8,15,8,15
R00023,1,0,MUTATION,T2,t2_change_string_literal,11,11,11,11
R00023,2,1,CLONE_INTERVAL,T1,t1_add_block_comment,19,27,19,28
R00023,3,1,MUTATION,T1,t1_add_block_comment,,,21,21
R00023,4,-1,UNTOUCHED,T1,none,5,7,5,7
R00023,5,-1,UNTOUCHED,T1,none,16,18,16,18
R00023,6,-1,UNTOUCHED,T1,none,28,38,29,39
R00024,0,0,CLONE_INTERVAL,T3,t3_insert_statement,9,14,9,15
R00024,1,0,MUTATION,T3,t3_insert_statement,,,13,13
R00024,2,1,CLONE_INTERVAL,T3,t3_wrap_statement,21,29,22,32
R00024,3,1,MUTATION,T3,t3_wrap_statement,,,22,22
R00024,4,-1,UNTOUCHED,T1,none,5,8,5,8
R00024,5,-1,UNTOUCHED,T1,none,15,20,16,21
R00024,6,-1,UNTOUCHED,T1,none,30,32,33,35
R00025,0,0,CLONE_INTERVAL,T1,t1_reindent,7,12,7,12
R00025,1,0,MUTATION,T1,t1_reindent,7,12,7,12
R00025,2,1,CLONE_INTERVAL,T1,t1_add_eol_comment,16,26,16,26
R00025,3,1,MUTATION,T1,t1_add_eol_comment,23,23,23,23
R00025,4,-1,UNTOUCHED,T1,none,3,6,3,6
R00025,5,-1,UNTOUCHED,T1,none,13,15,13,15
R00025,6,-1,UNTOUCHED,T1,none,27,30,27,30
R00026,0,0,CLONE_INTERVAL,T2,t2_change_int_literal,7,12,7,12
R00026,1,0,MUTATION,T2,t2_change_int_literal,9,9,9,9
R00026,2,1,CLONE_INTERVAL,T1,t1_add_blank_line,16,21,16,22
R00026,3,1,MUTATION,T1,t1_add_blank_line,,,18,18
R00026,4,-1,UNTOUCHED,T1,none,3,6,3,6
R00026,5,-1,UNTOUCHED,T1,none,13,15,13,15
R00026,6,-1,UNTOUCHED,T1,none,22,33,23,34
R00027,0,0,CLONE_INTERVAL,T3,t3_insert_statement,141,146,141,147
R00027,1,0,MUTATION,T3,t3_insert_statement,,,142,142
R00027,2,1,CLONE_INTERVAL,T1,t1_add_block_comment,160,165,161,167
R00027,3,1,MUTATION,T1,t1_add_block_comment,,,165,165
R00027,4,-1,UNTOUCHED,T1,none,138,140,138,140
R00027,5,-1,UNTOUCHED,T1,none,147,155,148,156
R00027,6,-1,UNTOUCHED,T1,none,157,159,158,160
R00027,7,-1,UNTOUCHED,T1,none,166,174,168,176
R00028,0,0,CLONE_INTERVAL,T1,t1_add_block_comment,23,30,23,31
R00028,1,0,MUTATION,T1,t1_add_block_comment,,,27,27
R00028,2,1,CLONE_INTERVAL,T1,t1_reindent,42,50,43,51
R00028,3,1,MUTATION,T1,t1_reindent,42,50,43,51
R00028,4,-1,UNTOUCHED,T1,none,8,22,8,22
R00028,5,-1,UNTOUCHED,T1,none,31,41,32,42
R00028,6,-1,UNTOUCHED,T1,none,51,53,52,54
R00029,0,0,CLONE_INTERVAL,T3,t3_insert_statement,85,90,85,91
R00029,1,0,MUTATION,T3,t3_insert_statement,,,88,88
R00029,2,1,CLONE_INTERVAL,T1,t1_add_blank_line,124,129,125,131
R00029,3,1,MUTATION,T1,t1_add_blank_line,,,126,126
R00029,4,-1,UNTOUCHED,T1,none,78,84,78,84
R00029,5,-1,UNTOUCHED,T1,none,91,95,92,96
R00029,6,-1,UNTOUCHED,T1,none,116,123,117,124
R00029,7,-1,UNTOUCHED,T1,none,130,139,132,141
R00030,0,0,CLONE_INTERVAL,T2,t2_rename_local_x2,27,34,27,34
R00030,1,0,MUTATION,T2,t2_rename_local_x2,27,29,27,29
R00030,2,1,CLONE_INTERVAL,T1,t1_add_block_comment,94,99,94,100
R00030,3,1,MUTATION,T1,t1_add_block_comment,,,96,96
R00030,4,-1,UNTOUCHED,T1,none,24,26,24,26
R00030,5,-1,UNTOUCHED,T1,none,35,40,35,40
R00030,6,-1,UNTOUCHED,T1,none,89,93,89,93
R00030,7,-1,UNTOUCHED,T1,none,100,105,101,106
R00031,0,0,CLONE_INTERVAL,T2,t2_change_string_literal,101,106,101,106
R00031,1,0,MUTATION,T2,t2_change_string_literal,106,106,106,106
R00031,2,1,CLONE_INTERVAL,T3,t3_insert_statement,190,198,190,199
R00031,3,1,MUTATION,T3,t3_insert_statement,,,191,191
R00031,4,-1,UNTOUCHED,T1,none,98,100,98,100
R00031,5,-1,UNTOUCHED,T1,none,107,109,107,109
R00031,6,-1,UNTOUCHED,T1,none,186,189,186,189
R00031,7,-1,UNTOUCHED,T1,none,199,208,200,209
R00032,0,0,CLONE_INTERVAL,T1,t1_add_blank_line,10,19,10,20
R00032,1,0,MUTATION,T1,t1_add_blank_line,,,18,18
R00032,2,1,CLONE_INTERVAL,T3,t3_wrap_statement,26,32,27,35
R00032,3,1,MUTATION,T3,t3_wrap_statement,,,27,27
R00032,4,-1,UNTOUCHED,T1,none,5,9,5,9
R00032,5,-1,UNTOUCHED,T1,none,20,25,21,26
R00032,6,-1,UNTOUCHED,T1,none,33,39,36,42
R00033,0,0,CLONE_INTERVAL,T1,t1_add_block_comment,6,11,6,12
R00033,1,0,MUTATION,T1,t1_add_block_comment,,,10,10
R00033,2,1,CLONE_INTERVAL,T2,t2_rename_local_x2,17,27,18,28
R00033,3,1,MUTATION,T2,t2_rename_local_x2,17,20,18,21
R00033,4,1,MUTATION,T2,t2_rename_local_x2,23,24,24,25
R00033,5,-1,UNTOUCHED,T1,none,3,5,3,5
R00033,6,-1,UNTOUCHED,T1,none,12,16,13,17
R00033,7,-1,UNTOUCHED,T1,none,28,30,29,31
R00034,0,0,CLONE_INTERVAL,T2,t2_change_string_literal,8,13,8,13
R00034,1,0,MUTATION,T2,t2_change_string_literal,8,8,8,8
R00034,2,1,CLONE_INTERVAL,T1,t1_add_eol_comment,17,23,17,23
R00034,3,1,MUTATION,T1,t1_add_eol_comment,21,21,21,21
R00034,4,-1,UNTOUCHED,T1,none,5,7,5,7
R00034,5,-1,UNTOUCHED,T1,none,14,16,14,16
R00034,6,-1,UNTOUCHED,T1,none,24,36,24,36
R00035,0,0,CLONE_INTERVAL,T2,t2_rename_local_x1,7,13,7,13
R00035,1,0,MUTATION,T2,t2_rename_local_x1,8,9,8,9
R00035,2,1,CLONE_INTERVAL,T3,t3_delete_statement,18,23,18,22
R00035,3,1,MUTATION,T3,t3_delete_statement,19,19,,
R00035,4,-1,UNTOUCHED,T1,none,3,6,3,6
R00035,5,-1,UNTOUCHED,T1,none,14,17,14,17
R00035,6,-1,UNTOUCHED,T1,none,24,28,23,27
R00036,0,0,CLONE_INTERVAL,T2,t2_change_int_literal,9,14,9,14
R00036,1,0,MUTATION,T2,t2_change_int_literal,9,9,9,9
R00036,2,1,CLONE_INTERVAL,T1,t1_add_block_comment,24,29,24,30
R00036,3,1,MUTATION,T1,t1_add_block_comment,,,28,28
R00036,4,-1,UNTOUCHED,T1,none,4,8,4,8
R00036,5,-1,UNTOUCHED,T1,none,15,23,15,23
R00036,6,-1,UNTOUCHED,T1,none,30,33,31,34
R00037,0,0,CLONE_INTERVAL,T1,t1_reindent,24,32,24,32
R00037,1,0,MUTATION,T1,t1_reindent,24,32,24,32
R00037,2,1,CLONE_INTERVAL,T3,t3_insert_statement,103,109,103,110
R00037,3,1,MUTATION,T3,t3_insert_statement,,,105,105
R00037,4,-1,UNTOUCHED,T1,none,21,23,21,23
R00037,5,-1,UNTOUCHED,T1,none,33,35,33,35
R00037,6,-1,UNTOUCHED,T1,none,99,102,99,102
R00037,7,-1,UNTOUCHED,T1,none,110,124,111,125
R00038,0,0,CLONE_INTERVAL,T3,t3_delete_statement,11,18,11,17
R00038,1,0,MUTATION,T3,t3_delete_statement,12,12,,
R00038,2,1,CLONE_INTERVAL,T3,t3_delete_statement,22,27,21,25
R00038,3,1,MUTATION,T3,t3_delete_statement,22,22,,
R00038,4,-1,UNTOUCHED,T1,none,4,10,4,10
R00038,5,-1,UNTOUCHED,T1,none,19,21,18,20
R00038,6,-1,UNTOUCHED,T1,none,28,40,26,38
R00039,0,0,CLONE_INTERVAL,T1,t1_add_block_comment,27,32,27,33
R00039,1,0,MUTATION,T1,t1_add_block_comment,,,30,30
R00039,2,1,CLONE_INTERVAL,T1,t1_add_block_comment,36,42,37,44
R00039,3,1,MUTATION,T1,t1_add_block_comment,,,39,39
R00039,4,-1,UNTOUCHED,T1,none,24,26,24,26
R00039,5,-1,UNTOUCHED,T1,none,33,35,34,36
R00039,6,-1,UNTOUCHED,T1,none,43,61,45,63
R00040,0,0,CLONE_INTERVAL,T1,t1_add_blank_line,37,42,37,43
R00040,1,0,MUTATION,T1,t1_add_blank_line,,,38,38
R00040,2,1,CLONE_INTERVAL,T3,t3_delete_statement,50,58,51,58
R00040,3,1,MUTATION,T3,t3_delete_statement,53,53,,
R00040,4,-1,UNTOUCHED,T1,none,33,36,33,36
R00040,5,-1,UNTOUCHED,T1,none,43,49,44,50
R00040,6,-1,UNTOUCHED,T1,none,59,101,59,101
R00041,0,0,CLONE_INTERVAL,T1,t1_reindent,8,17,8,17
R00041,1,0,MUTATION,T1,t1_reindent,8,17,8,17
R00041,2,1,CLONE_INTERVAL,T2,t2_change_string_literal,22,30,22,30
R00041,3,1,MUTATION,T2,t2_change_string_literal,24,24,24,24
R00041,4,-1,UNTOUCHED,T1,none,3,7,3,7
R00041,5,-1,UNTOUCHED,T1,none,18,21,18,21
R00041,6,-1,UNTOUCHED,T1,none,31,34,31,34
R00042,0,0,CLONE_INTERVAL,T1,t1_add_block_comment,122,127,122,128
R00042,1,0,MUTATION,T1,t1_add_block_comment,,,127,127
R00042,2,1,CLONE_INTERVAL,T1,t1_add_eol_comment,141,146,142,147
R00042,3,1,MUTATION,T1,t1_add_eol_comment,143,143,144,144
R00042,4,-1,UNTOUCHED,T1,none,119,121,119,121
R00042,5,-1,UNTOUCHED,T1,none,128,136,129,137
R00042,6,-1,UNTOUCHED,T1,none,138,140,139,141
R00042,7,-1,UNTOUCHED,T1,none,147,155,148,156
R00043,0,0,CLONE_INTERVAL,T2,t2_change_int_literal,6,11,6,11
R00043,1,0,MUTATION,T2,t2_change_int_literal,8,8,8,8
R00043,2,1,CLONE_INTERVAL,T1,t1_reindent,27,34,27,34
R00043,3,1,MUTATION,T1,t1_reindent,27,34,27,34
R00043,4,-1,UNTOUCHED,T1,none,3,5,3,5
R00043,5,-1,UNTOUCHED,T1,none,12,26,12,26
R00043,6,-1,UNTOUCHED,T1,none,35,37,35,37
R00044,0,0,CLONE_INTERVAL,T3,t3_wrap_statement,8,13,8,15
R00044,1,0,MUTATION,T3,t3_wrap_statement,,,9,9
R00044,2,1,CLONE_INTERVAL,T2,t2_change_int_literal,18,23,20,25
R00044,3,1,MUTATION,T2,t2_change_int_literal,19,19,21,21
R00044,4,-1,UNTOUCHED,T1,none,3,7,3,7
R00044,5,-1,UNTOUCHED,T1,none,14,17,16,19
R00044,6,-1,UNTOUCHED,T1,none,24,31,26,33
R00045,0,0,CLONE_INTERVAL,T1,t1_reindent,7,12,7,12
R00045,1,0,MUTATION,T1,t1_reindent,7,12,7,12
R00045,2,1,CLONE_INTERVAL,T3,t3_insert_statement,20,31,20,31
R00045,3,1,MUTATION,T3,t3_insert_statement,,,32,32
R00045,4,-1,UNTOUCHED,T1,none,3,6,3,6
R00045,5,-1,UNTOUCHED,T1,none,13,19,13,19
R00045,6,-1,UNTOUCHED,T1,none,32,34,33,35
R00046,0,0,CLONE_INTERVAL,T1,t1_add_block_comment,74,82,74,83
R00046,1,0,MUTATION,T1,t1_add_block_comment,,,75,75
R00046,2,1,CLONE_INTERVAL,T1,t1_add_eol_comment,90,97,91,98
R00046,3,1,MUTATION,T1,t1_add_eol_comment,97,97,98,98
R00046,4,-1,UNTOUCHED,T1,none,69,73,69,73
R00046,5,-1,UNTOUCHED,T1,none,83,89,84,90
R00046,6,-1,UNTOUCHED,T1,none,98,105,99,106
R00047,0,0,CLONE_INTERVAL,T2,t2_rename_local_x1,9,14,9,14
R00047,1,0,MUTATION,T2,t2_rename_local_x1,11,11,11,11
R00047,2,1,CLONE_INTERVAL,T2,t2_change_int_literal,18,26,18,26
R00047,3,1,MUTATION,T2,t2_change_int_literal,20,20,20,20
R00047,4,-1,UNTOUCHED,T1,none,4,8,4,8
R00047,5,-1,UNTOUCHED,T1,none,15,17,15,17
R00047,6,-1,UNTOUCHED,T1,none,27,33,27,33
R00048,0,0,CLONE_INTERVAL,T1,t1_add_block_comment,21,33,21,34
R00048,1,0,MUTATION,T1,t1_add_block_comment,,,26,26
R00048,2,1,CLONE_INTERVAL,T2,t2_rename_local_x3,94,99,95,100
R00048,3,1,MUTATION,T2,t2_rename_local_x3,94,98,95,99
R00048,4,-1,UNTOUCHED,T1,none,11,20,11,20
R00048,5,-1,UNTOUCHED,T1,none,34,36,35,37
R00048,6,-1,UNTOUCHED,T1,none,91,93,92,94
R00048,7,-1,UNTOUCHED,T1,none,100,114,101,115
R00049,0,0,CLONE_INTERVAL,T3,t3_delete_statement,63,82,63,81
R00049,1,0,MUTATION,T3,t3_delete_statement,64,64,,
R00049,2,1,CLONE_INTERVAL,T1,t1_add_block_comment,210,216,209,216
R00049,3,1,MUTATION,T1,t1_add_block_comment,,,212,212
R00049,4,-1,UNTOUCHED,T1,none,60,62,60,62
R00049,5,-1,UNTOUCHED,T1,none,83,85,82,84
R00049,6,-1,UNTOUCHED,T1,none,206,209,205,208
R00049,7,-1,UNTOUCHED,T1,none,217,231,217,231
R00050,0,0,CLONE_INTERVAL,T1,t1_reindent,7,15,7,15
R00050,1,0,MUTATION,T1,t1_reindent,7,15,7,15
R00050,2,1,CLONE_INTERVAL,T2,t2_rename_local_x1,27,33,27,33
R00050,3,1,MUTATION,T2,t2_rename_local_x1,29,29,29,29
R00050,4,1,MUTATION,T2,t2_rename_local_x1,31,31,31,31
R00050,5,1,MUTATION,T2,t2_rename_local_x1,33,33,33,33
R00050,6,-1,UNTOUCHED,T1,none,3,6,3,6
R00050,7,-1,UNTOUCHED,T1,none,16,22,16,22
R00050,8,-1,UNTOUCHED,T1,none,24,26,24,26
R00050,9,-1,UNTOUCHED,T1,none,34,41,34,41
R00051,0,0,CLONE_INTERVAL,T2,t2_rename_local_x2,9,14,9,14
R00051,1,0,MUTATION,T2,t2_rename_local_x2,9,10,9,10
R00051,2,1,CLONE_INTERVAL,T2,t2_rename_local_x2,20,38,20,38
R00051,3,1,MUTATION,T2,t2_rename_local_x2,24,25,24,25
R00051,4,1,MUTATION,T2,t2_rename_local_x2,29,30,29,30
R00051,5,1,MUTATION,T2,t2_rename_local_x2,34,35,34,35
R00051,6,-1,UNTOUCHED,T1,none,3,8,3,8
R00051,7,-1,UNTOUCHED,T1,none,15,19,15,19
R00051,8,-1,UNTOUCHED,T1,none,39,42,39,42
R00052,0,0,CLONE_INTERVAL,T1,t1_add_blank_line,51,56,51,57
R00052,1,0,MUTATION,T1,t1_add_blank_line,,,53,53
R00052,2,1,CLONE_INTERVAL,T3,t3_wrap_statement,70,75,71,78
R00052,3,1,MUTATION,T3,t3_wrap_statement,,,71,71
R00052,4,-1,UNTOUCHED,T1,none,48,50,48,50
R00052,5,-1,UNTOUCHED,T1,none,57,65,58,66
R00052,6,-1,UNTOUCHED,T1,none,67,69,68,70
R00052,7,-1,UNTOUCHED,T1,none,76,90,79,93
R00053,0,0,CLONE_INTERVAL,T3,t3_insert_statement,7,12,7,13
R00053,1,0,MUTATION,T3,t3_insert_statement,,,10,10
R00053,2,1,CLONE_INTERVAL,T3,t3_insert_statement,16,21,17,23
