pair_id,region_index,clone_type,operator,left_begin,left_end
R00055,1,T3,insert_statement,37,43
R00056,0,T2,rename_local_x1,15,22
R00056,1,T3,insert_statement,100,106
R00057,0,T2,rename_local_x5,10,24
R00057,1,T3,insert_statement,105,111
R00058,0,T2,rename_local_x4,7,14
R00058,1,T3,insert_statement,116,121
R00059,0,T2,rename_local_x1,15,20
R00059,1,T3,insert_statement,91,96
R00060,0,T2,rename_local_x1,9,15
R00060,1,T3,insert_statement,23,28
R00061,0,T2,rename_local_x1,30,44
R00061,1,T3,insert_statement,119,124
R00062,0,T2,rename_local_x1,31,38
R00062,1,T3,insert_statement,68,79
R00063,0,T2,rename_local_x2,20,25
R00063,1,T3,insert_statement,146,151
R00064,0,T2,rename_local_x1,21,35
R00064,1,T3,insert_statement,150,156
R00065,0,T2,rename_local_x1,10,18
R00065,1,T3,insert_statement,89,95
R00066,0,T2,rename_local_x1,13,21
R00066,1,T3,insert_statement,96,102
R00067,0,T2,rename_local_x1,10,18
R00067,1,T3,insert_statement,24,30
R00068,0,T2,rename_local_x2,9,14
R00068,1,T3,insert_statement,89,95
R00069,0,T2,rename_local_x5,12,18
R00069,1,T3,insert_statement,80,85
R00070,0,T2,rename_local_x1,17,23
R00070,1,T3,insert_statement,98,104
R00071,0,T2,rename_local_x1,7,12
R00071,1,T3,insert_statement,26,31
R00072,0,T2,rename_local_x1,20,27
R00072,1,T3,insert_statement,31,40
R00073,0,T2,rename_local_x2,6,14
R00073,1,T3,insert_statement,22,29
R00074,0,T2,rename_local_x2,9,33
R00074,1,T3,insert_statement,48,53
R00075,0,T2,rename_local_x1,15,48
R00075,1,T3,insert_statement,84,93
R00076,0,T2,rename_local_x1,9,14
R00076,1,T3,insert_statement,79,84
R00077,0,T2,rename_local_x2,33,53
R00077,1,T3,insert_statement,104,109
R00078,0,T2,rename_local_x3,8,25
R00078,1,T3,insert_statement,35,41
R00079,0,T2,rename_local_x1,9,15
R00079,1,T3,insert_statement,22,30
R00080,0,T2,rename_local_x1,26,31
R00080,1,T3,insert_statement,112,118
R00081,0,T2,rename_local_x1,108,116
R00081,1,T3,insert_statement,174,179
R00082,0,T2,rename_local_x4,34,49
R00082,1,T3,insert_statement,248,253
R00083,0,T2,rename_local_x5,19,24
R00083,1,T3,insert_statement,47,55
R00084,0,T2,rename_local_x4,11,30
R00084,1,T3,insert_statement,36,45
R00085,0,T2,rename_local_x3,16,28
R00085,1,T3,insert_statement,99,105
R00086,0,T2,rename_local_x2,6,19
R00086,1,T3,insert_statement,34,49
R00087,0,T2,rename_local_x1,15,21
R00087,1,T3,insert_statement,27,39
R00088,0,T2,rename_local_x1,7,12
R00088,1,T3,insert_statement,28,33
R00089,0,T2,rename_local_x2,7,14
R00089,1,T3,insert_statement,19,32
R00090,0,T2,rename_local_x2,135,141
R00090,1,T3,insert_statement,150,155
R00091,0,T2,rename_local_x2,16,21
R00091,1,T3,insert_statement,30,37
R00092,0,T2,rename_local_x1,7,13
R00092,1,T3,insert_statement,20,25
R00093,0,T2,rename_local_x1,29,35
R00093,1,T3,insert_statement,71,77
R00094,0,T2,rename_local_x1,74,79
R00094,1,T3,insert_statement,86,92
R00095,0,T2,rename_local_x1,44,51
R00095,1,T3,insert_statement,115,121
R00096,0,T2,rename_local_x1,6,11
R00096,1,T3,insert_statement,19,41
R00097,0,T2,rename_local_x4,8,14
R00097,1,T3,insert_statement,231,236
R00098,0,T2,rename_local_x1,7,12
R00098,1,T3,insert_statement,19,24
R00099,0,T2,rename_local_x2,9,14
R00099,1,T3,insert_statement,83,88
