pair_id,status,analysis_mode,regions_emitted,regions_at_min_size,fp_reference_range,fp_strict_product,claims_syntactic_type,types,largest_region_lines,left_problem,right_problem,left_program,right_program,shared_tokens
N00025,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02848,p02916,s086406558.java,s359276375.java,11
N00026,ok,SOURCE_PLUS_WALA_SMT,1,1,False,True,False,POSSIBLE_T4_CANDIDATE,11,p02401,p02393,s732078405.java,s575926620.java,17
N00027,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02897,p02917,s206443375.java,s569496500.java,13
N00028,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02957,p02946,s011192828.java,s809964406.java,15
N00029,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02552,p02612,s856740186.java,s602703976.java,17
N00030,ok,SOURCE_PLUS_WALA_SMT,1,1,False,True,False,POSSIBLE_T4_CANDIDATE,17,p03478,p03644,s546348625.java,s735721720.java,23
N00031,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02416,p02417,s984339552.java,s407125089.java,16
N00032,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p03316,p03325,s871286498.java,s284671872.java,14
N00033,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p03316,p03315,s144792408.java,s417915886.java,22
N00034,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p03220,p03239,s715444483.java,s540227412.java,27
N00035,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p03632,p03470,s550079661.java,s875092546.java,17
N00036,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02718,p02713,s197373485.java,s678441621.java,12
N00037,ok,SOURCE_PLUS_WALA_SMT,1,0,False,False,False,,5,p02730,p02771,s467135734.java,s332343959.java,29
N00038,ok,SOURCE_PLUS_WALA_SMT,1,0,False,False,False,,3,p03469,p03493,s551819658.java,s351265607.java,15
N00039,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02403,p02406,s369298416.java,s280740963.java,14
N00040,ok,SOURCE_PLUS_WALA_SMT,1,1,False,True,False,POSSIBLE_T4_CANDIDATE,17,p02791,p02786,s289535939.java,s752913882.java,17
N00041,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02989,p02988,s441239551.java,s982437625.java,24
N00042,ok,SOURCE_PLUS_WALA_SMT,1,1,True,True,False,POSSIBLE_T4_CANDIDATE,19,p03161,p03160,s124067484.java,s465279637.java,23
N00043,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p03456,p03493,s274671393.java,s077260821.java,28
N00044,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02414,p02409,s543370572.java,s092188465.java,15
N00045,ok,SOURCE_PLUS_WALA_SMT,1,0,False,False,False,,2,p02391,p02268,s338651129.java,s037507773.java,22
N00046,ok,SOURCE_PLUS_WALA_SMT,2,0,False,False,False,,2,p02413,p03695,s079627335.java,s847178289.java,18
N00047,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02731,p02729,s513579505.java,s930546627.java,11
N00048,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02622,p02595,s277574064.java,s329957176.java,27
N00049,ok,SOURCE_PLUS_WALA_SMT,1,1,False,True,False,POSSIBLE_T4_CANDIDATE,21,p03680,p03478,s240260913.java,s488295844.java,9
N00050,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02416,p02419,s399098223.java,s307918897.java,11
N00051,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p03493,p03632,s791726518.java,s439184144.java,27
N00052,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02388,p00007,s735003059.java,s891392154.java,15
N00053,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02923,p02922,s865696452.java,s807659560.java,23
N00054,ok,SOURCE_PLUS_WALA_SMT,3,1,False,True,False,POSSIBLE_T4_CANDIDATE,39,p02719,p02622,s573993837.java,s952727666.java,20
N00055,ok,SOURCE_PLUS_WALA_SMT,1,1,False,True,False,POSSIBLE_T4_CANDIDATE,45,p02659,p03545,s762747894.java,s904803212.java,11
N00056,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p03680,p03644,s380444442.java,s287479902.java,15
N00057,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p03012,p03043,s060170052.java,s107759001.java,15
N00058,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p03087,p03086,s204312137.java,s384186510.java,27
N00059,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p04030,p02257,s073623655.java,s408107974.java,17
N00060,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p03854,p03814,s404827656.java,s045860146.java,28
N00061,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p03126,p03146,s318378891.java,s377840044.java,16
N00062,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02388,p02612,s776468250.java,s109623496.java,17
N00063,ok,SOURCE_PLUS_WALA_SMT,4,3,False,True,True,POSSIBLE_T4_CANDIDATE|T3,11,p02688,p02699,s352632620.java,s063894826.java,17
N00064,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p04030,p03998,s446594206.java,s595811266.java,23
N00065,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02639,p02612,s679013210.java,s381263472.java,23
N00066,ok,SOURCE_PLUS_WALA_SMT,1,0,False,False,False,,5,p02570,p02571,s380885512.java,s706290736.java,27
N00067,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02957,p02958,s119113404.java,s038288579.java,17
N00068,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p03324,p03308,s496865820.java,s714593858.java,26
N00069,ok,SOURCE_PLUS_WALA_SMT,1,1,False,True,False,POSSIBLE_T4_CANDIDATE,22,p02414,p02264,s454364056.java,s626685723.java,13
N00070,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02408,p02409,s325266231.java,s135217213.java,16
N00071,ok,SOURCE_PLUS_WALA_SMT,1,0,False,False,False,,3,p03001,p03011,s035089225.java,s561767846.java,15
N00072,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02836,p02835,s049294756.java,s557514877.java,16
N00073,ok,SOURCE_PLUS_WALA_SMT,1,1,False,True,False,POSSIBLE_T4_CANDIDATE,47,p02725,p02547,s741328709.java,s476598313.java,18
N00074,ok,SOURCE_PLUS_WALA_SMT,1,1,False,True,True,T3,7,p02711,p02699,s932917657.java,s704602491.java,15
N00075,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02392,p02393,s773128282.java,s304508706.java,13
N00076,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p03072,p03073,s056923702.java,s598802047.java,15
N00077,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02753,p02723,s850842437.java,s743080156.java,13
N00078,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02415,p02417,s782277292.java,s482023144.java,14
N00079,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p03075,p03001,s211331951.java,s273792075.java,27
N00080,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p03371,p03324,s031175728.java,s859118548.java,11
N00081,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02785,p02779,s970040686.java,s948250480.java,21
N00082,ok,SOURCE_PLUS_WALA_SMT,1,0,False,False,False,,1,p02812,p02818,s802633995.java,s314534671.java,9
N00083,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02993,p02994,s400644463.java,s122109140.java,13
N00084,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p03106,p03102,s109420265.java,s451067287.java,15
N00085,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02812,p02818,s824474736.java,s045327153.java,10
N00086,ok,SOURCE_PLUS_WALA_SMT,1,0,False,False,False,,3,p02613,p02571,s455839495.java,s461391278.java,17
N00087,ok,SOURCE_PLUS_WALA_SMT,1,0,False,False,False,,5,p03126,p03102,s562327845.java,s095348744.java,26
N00088,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02259,p02258,s401044612.java,s066337774.java,13
N00089,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02390,p00006,s271421024.java,s780843034.java,15
N00090,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02772,p02790,s855931155.java,s594047045.java,17
N00091,ok,SOURCE_PLUS_WALA_SMT,2,2,False,True,False,POSSIBLE_T4_CANDIDATE,14,p02403,p02268,s233014542.java,s360475762.java,10
N00092,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p03072,p03075,s466685748.java,s536529807.java,28
N00093,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02411,p02410,s160386131.java,s935637673.java,13
N00094,ok,SOURCE_PLUS_WALA_SMT,2,2,False,True,False,POSSIBLE_T4_CANDIDATE,12,p03160,p00005,s287393973.java,s122663111.java,10
N00095,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p03041,p03042,s218211838.java,s251920392.java,28
N00096,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02389,p00007,s026967785.java,s744403082.java,16
N00097,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p03469,p02922,s254960540.java,s024167360.java,11
N00098,ok,SOURCE_PLUS_WALA_SMT,2,0,False,False,False,,5,p03281,p03289,s620854251.java,s973326695.java,10
N00099,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02688,p02693,s563257729.java,s134342953.java,21
N00100,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p00003,p00006,s682030516.java,s872899451.java,17
N00101,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02791,p02812,s868038098.java,s480064880.java,17
N00102,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p00011,p00003,s138514331.java,s766970181.java,12
N00103,ok,SOURCE_PLUS_WALA_SMT,1,1,False,True,False,POSSIBLE_T4_CANDIDATE,16,p02719,p02706,s652554409.java,s282743123.java,16
N00104,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p03289,p03261,s554130232.java,s566354875.java,27
N00105,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p03261,p03220,s043135116.java,s362533809.java,28
N00106,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02659,p02657,s751126015.java,s949735422.java,17
N00107,ok,SOURCE_PLUS_WALA_SMT,5,2,False,True,True,POSSIBLE_T4_CANDIDATE|T3,12,p02553,p04030,s431429342.java,s919950923.java,22
N00108,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02790,p02783,s986553642.java,s776989162.java,27
N00109,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02981,p02987,s869382501.java,s670427634.java,23
N00110,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02405,p02406,s943052417.java,s491933789.java,12
N00111,ok,SOURCE_PLUS_WALA_SMT,1,1,False,True,True,T3,9,p02391,p02392,s868786358.java,s805408265.java,13
N00112,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02831,p02832,s961665341.java,s100626730.java,16
N00113,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02409,p02394,s336166208.java,s802690802.java,15
N00114,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p03775,p03720,s934325755.java,s135976440.java,13
N00115,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p03037,p03043,s467924215.java,s604597230.java,27
N00116,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p03041,p03059,s880714714.java,s505726009.java,27
N00117,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02419,p02418,s045858858.java,s725472980.java,10
N00118,ok,SOURCE_PLUS_WALA_SMT,1,1,False,True,False,POSSIBLE_T4_CANDIDATE,69,p02879,p02777,s767139097.java,s556399651.java,17
N00119,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p03455,p03493,s927495995.java,s522491756.java,9
N00120,ok,SOURCE_PLUS_WALA_SMT,2,1,False,True,True,T3,62,p03239,p03220,s623235619.java,s030769932.java,23
N00121,ok,SOURCE_PLUS_WALA_SMT,2,2,False,True,False,POSSIBLE_T4_CANDIDATE,9,p02860,p02909,s782707293.java,s909319780.java,11
N00122,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p03076,p03013,s477412986.java,s677609278.java,15
N00123,ok,SOURCE_PLUS_WALA_SMT,1,1,False,True,False,POSSIBLE_T4_CANDIDATE,7,p03457,p03456,s193852129.java,s127709151.java,22
N00124,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02953,p02947,s155890801.java,s988436669.java,20
N00125,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02957,p02970,s305078727.java,s155370168.java,28
N00126,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p03072,p03071,s045738684.java,s329602988.java,16
N00127,ok,SOURCE_PLUS_WALA_SMT,3,1,False,True,True,T3,6,p02819,p03285,s665861096.java,s364817103.java,11
N00128,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02754,p02759,s724847095.java,s383538163.java,11
N00129,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p00002,p04043,s539210905.java,s693970929.java,21
N00130,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p03281,p03242,s112338708.java,s979607222.java,25
N00131,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p03106,p03087,s895963155.java,s958768613.java,11
N00132,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p03360,p03289,s077327263.java,s620240299.java,11
N00133,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02778,p02766,s644191185.java,s965619699.java,21
N00134,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02922,p02970,s572247036.java,s620223421.java,11
N00135,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p03000,p03035,s273956480.java,s189198697.java,10
N00136,ok,SOURCE_PLUS_WALA_SMT,2,1,False,True,False,POSSIBLE_T4_CANDIDATE,33,p02706,p02712,s676754636.java,s687686447.java,22
N00137,ok,SOURCE_PLUS_WALA_SMT,1,0,False,False,False,,3,p02971,p02983,s869062866.java,s135532585.java,15
N00138,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02899,p02898,s505020239.java,s686830835.java,23
N00139,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02778,p02766,s027986769.java,s944079586.java,17
N00140,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02699,p02701,s222438237.java,s382727440.java,16
N00141,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02994,p03000,s730677619.java,s458587815.java,22
N00142,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02400,p02399,s879338430.java,s295379351.java,11
N00143,ok,SOURCE_PLUS_WALA_SMT,1,0,False,False,False,,5,p02414,p02268,s065962788.java,s972241357.java,22
N00144,ok,SOURCE_PLUS_WALA_SMT,3,2,False,True,True,POSSIBLE_T4_CANDIDATE|T3,10,p02831,p02772,s955024782.java,s461400119.java,16
N00145,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02773,p02802,s258468992.java,s190815691.java,28
N00146,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02921,p02922,s994442366.java,s841050631.java,14
N00147,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02412,p02411,s913952588.java,s670333393.java,9
N00148,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02687,p02681,s391221156.java,s461085787.java,22
N00149,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02898,p02897,s472953206.java,s956262190.java,27
N00150,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p03043,p03042,s386638378.java,s598108357.java,10
N00151,ok,SOURCE_PLUS_WALA_SMT,1,1,False,True,False,POSSIBLE_T4_CANDIDATE,31,p02916,p02935,s853947828.java,s623542029.java,19
N00152,ok,SOURCE_PLUS_WALA_SMT,1,1,False,True,False,POSSIBLE_T4_CANDIDATE,14,p03494,p03478,s419509903.java,s971774773.java,14
N00153,ok,SOURCE_PLUS_WALA_SMT,1,0,False,False,False,,2,p02818,p02819,s749149160.java,s085907336.java,9
N00154,ok,SOURCE_PLUS_WALA_SMT,4,1,False,True,False,POSSIBLE_T4_CANDIDATE,13,p02582,p04012,s332402790.java,s428153761.java,11
N00155,ok,SOURCE_PLUS_WALA_SMT,1,1,False,True,False,POSSIBLE_T4_CANDIDATE,25,p03086,p03060,s149418092.java,s438812287.java,28
N00156,ok,SOURCE_PLUS_WALA_SMT,2,0,False,False,False,,1,p03106,p03087,s844641987.java,s494647487.java,20
N00157,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p03455,p03324,s009205987.java,s409990323.java,17
N00158,ok,SOURCE_PLUS_WALA_SMT,1,1,False,True,False,POSSIBLE_T4_CANDIDATE,28,p02971,p03102,s635300736.java,s891362393.java,19
N00159,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p03107,p03136,s281143461.java,s524006302.java,29
N00160,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p03043,p03042,s684214871.java,s619442064.java,21
N00161,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02613,p02582,s008418854.java,s877968384.java,10
N00162,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p03011,p03012,s455168616.java,s051056635.java,26
N00163,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02767,p02718,s318589220.java,s268982380.java,17
N00164,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02639,p02627,s769438864.java,s928512198.java,9
N00165,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02401,p02393,s060995341.java,s807729014.java,15
N00166,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02887,p02897,s270622973.java,s035477851.java,27
N00167,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p03281,p03282,s344326435.java,s361348485.java,16
N00168,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02256,p02390,s386565059.java,s831656337.java,11
N00169,ok,SOURCE_PLUS_WALA_SMT,2,2,False,True,True,POSSIBLE_T4_CANDIDATE|T3,12,p02713,p02687,s475851659.java,s793675754.java,16
N00170,ok,SOURCE_PLUS_WALA_SMT,1,1,False,True,False,POSSIBLE_T4_CANDIDATE,9,p02982,p03013,s113746520.java,s696716469.java,22
N00171,ok,SOURCE_PLUS_WALA_SMT,1,1,False,True,False,POSSIBLE_T4_CANDIDATE,31,p02995,p03632,s608985517.java,s848967251.java,16
N00172,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02848,p02847,s644639492.java,s507221409.java,15
N00173,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p03316,p03324,s390331237.java,s940758873.java,13
N00174,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02983,p02971,s116541269.java,s775166655.java,13
N00175,ok,SOURCE_PLUS_WALA_SMT,1,1,False,True,False,POSSIBLE_T4_CANDIDATE,8,p00003,p02705,s167676087.java,s019005998.java,11
N00176,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02945,p02909,s132050837.java,s848518370.java,16
N00177,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02898,p02899,s861414269.java,s238445041.java,15
N00178,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02705,p02724,s985823752.java,s780219637.java,14
N00179,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p03239,p03147,s315973001.java,s105383015.java,28
N00180,ok,SOURCE_PLUS_WALA_SMT,2,1,False,True,False,POSSIBLE_T4_CANDIDATE,21,p02260,p02259,s524741959.java,s336324870.java,15
N00181,ok,SOURCE_PLUS_WALA_SMT,1,1,False,True,False,POSSIBLE_T4_CANDIDATE,11,p03720,p04044,s877243493.java,s021216891.java,14
N00182,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p03073,p03072,s870581815.java,s923293794.java,27
N00183,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p03814,p03493,s075866057.java,s748602177.java,13
N00184,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02994,p02993,s760529505.java,s928048993.java,15
N00185,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02408,p02413,s710531644.java,s431027389.java,12
N00186,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02399,p02677,s229937159.java,s521762276.java,15
N00187,ok,SOURCE_PLUS_WALA_SMT,1,0,False,False,False,,5,p02981,p03041,s646205292.java,s319198441.java,13
N00188,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02951,p02946,s837203323.java,s845095496.java,17
N00189,ok,SOURCE_PLUS_WALA_SMT,2,0,False,False,False,,3,p02778,p02753,s983461399.java,s583642739.java,16
N00190,ok,SOURCE_PLUS_WALA_SMT,1,0,False,False,False,,5,p03308,p03075,s000761991.java,s313168316.java,15
N00191,ok,SOURCE_PLUS_WALA_SMT,1,1,False,True,False,POSSIBLE_T4_CANDIDATE,7,p02881,p02947,s139655796.java,s751707968.java,17
N00192,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p03416,p03470,s760650863.java,s243885267.java,11
N00193,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p03545,p03435,s793302255.java,s695867084.java,15
N00194,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02411,p02408,s918298540.java,s494187533.java,27
N00195,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02390,p02389,s089939739.java,s969279327.java,16
N00196,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p03075,p03073,s247107666.java,s939113433.java,10
N00197,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02658,p02640,s625320832.java,s655331419.java,17
N00198,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p03680,p03545,s390582055.java,s334908837.java,11
N00199,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02754,p02717,s280394208.java,s262077542.java,27
N00200,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02381,p02391,s952540632.java,s593559352.java,14
N00201,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02393,p02390,s877574722.java,s663573065.java,16
N00202,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02819,p02835,s109230557.java,s319931032.java,13
N00203,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02410,p02409,s499844318.java,s386724908.java,15
N00204,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02417,p02416,s335376110.java,s940109470.java,21
N00205,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p03059,p03071,s879284400.java,s140261158.java,16
N00206,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02766,p02759,s073397202.java,s469940122.java,23
N00207,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02399,p02390,s492435536.java,s374899013.java,11
N00208,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p03261,p03239,s081604778.java,s913708529.java,15
