stratum,pair_id,status,analysis_mode,regions_emitted,regions_at_min_size,fp_reference_range,fp_strict_product,claims_syntactic_type,types,largest_region_lines,left_problem,right_problem,left_program,right_program,shared_tokens
"emits region, no syntactic claim",N00971,ok,SOURCE_PLUS_WALA_SMT,1,1,False,True,False,POSSIBLE_T4_CANDIDATE,45,p03087,p03308,s964538310.java,s007321375.java,19
"emits region, no syntactic claim",N00406,ok,SOURCE_PLUS_WALA_SMT,1,1,False,True,False,POSSIBLE_T4_CANDIDATE,44,p02829,p02778,s449024502.java,s611529512.java,24
"emits region, no syntactic claim",N00054,ok,SOURCE_PLUS_WALA_SMT,3,1,False,True,False,POSSIBLE_T4_CANDIDATE,39,p02719,p02622,s573993837.java,s952727666.java,20
"emits region, no syntactic claim",N00868,ok,SOURCE_PLUS_WALA_SMT,6,4,False,True,False,POSSIBLE_T4_CANDIDATE,39,p03494,p02621,s000070940.java,s577365744.java,16
"emits region, no syntactic claim",N00494,ok,SOURCE_PLUS_WALA_SMT,2,1,False,True,False,POSSIBLE_T4_CANDIDATE,35,p02959,p02773,s230757054.java,s096779347.java,17
covers >= 70 % of both files,N00989,ok,SOURCE_PLUS_WALA_SMT,1,1,True,True,False,POSSIBLE_T4_CANDIDATE,21,p02773,p02767,s698897601.java,s371209653.java,11
covers >= 70 % of both files,N00042,ok,SOURCE_PLUS_WALA_SMT,1,1,True,True,False,POSSIBLE_T4_CANDIDATE,19,p03161,p03160,s124067484.java,s465279637.java,23
clean,N00037,ok,SOURCE_PLUS_WALA_SMT,1,0,False,False,False,,5,p02730,p02771,s467135734.java,s332343959.java,29
clean,N00066,ok,SOURCE_PLUS_WALA_SMT,1,0,False,False,False,,5,p02570,p02571,s380885512.java,s706290736.java,27
clean,N00087,ok,SOURCE_PLUS_WALA_SMT,1,0,False,False,False,,5,p03126,p03102,s562327845.java,s095348744.java,26
clean,N00098,ok,SOURCE_PLUS_WALA_SMT,2,0,False,False,False,,5,p03281,p03289,s620854251.java,s973326695.java,10
clean,N00143,ok,SOURCE_PLUS_WALA_SMT,1,0,False,False,False,,5,p02414,p02268,s065962788.java,s972241357.java,22
clean,N00187,ok,SOURCE_PLUS_WALA_SMT,1,0,False,False,False,,5,p02981,p03041,s646205292.java,s319198441.java,13
clean,N00190,ok,SOURCE_PLUS_WALA_SMT,1,0,False,False,False,,5,p03308,p03075,s000761991.java,s313168316.java,15
clean,N00463,ok,SOURCE_PLUS_WALA_SMT,1,0,False,False,False,,5,p02971,p03126,s603388624.java,s910494713.java,19
clean,N00518,ok,SOURCE_PLUS_WALA_SMT,1,0,False,False,False,,5,p02951,p02945,s580786736.java,s954937641.java,28
clean,N00699,ok,SOURCE_PLUS_WALA_SMT,1,0,False,False,False,,5,p02766,p02755,s579259826.java,s509127167.java,10
clean,N00712,ok,SOURCE_PLUS_WALA_SMT,2,0,False,False,False,,5,p02578,p02571,s663826745.java,s360376412.java,23
clean,N00738,ok,SOURCE_PLUS_WALA_SMT,4,0,False,False,False,,5,p04044,p02759,s319414787.java,s111700726.java,11
clean,N00772,ok,SOURCE_PLUS_WALA_SMT,1,0,False,False,False,,5,p03455,p03456,s819173853.java,s028309580.java,23
clean,N00792,ok,SOURCE_PLUS_WALA_SMT,1,0,False,False,False,,5,p02831,p02836,s932294774.java,s087064143.java,14
clean,N00795,ok,SOURCE_PLUS_WALA_SMT,1,0,False,False,False,,5,p02396,p03545,s358079641.java,s256016363.java,10
clean,N00851,ok,SOURCE_PLUS_WALA_SMT,1,0,False,False,False,,5,p02880,p02772,s114283456.java,s307014296.java,17
clean,N00887,ok,SOURCE_PLUS_WALA_SMT,3,0,False,False,False,,5,p02982,p02989,s623245408.java,s096395712.java,16
clean,N00960,ok,SOURCE_PLUS_WALA_SMT,1,0,False,False,False,,5,p02753,p02723,s264253922.java,s982483725.java,26
clean,N00003,ok,SOURCE_PLUS_WALA_SMT,1,0,False,False,False,,4,p03035,p03043,s637974557.java,s427612013.java,6
clean,N00242,ok,SOURCE_PLUS_WALA_SMT,1,0,False,False,False,,4,p03469,p03493,s854303322.java,s420796151.java,21
