pair_id,region_index,expected,operator,analysis_mode,status,left_begin,left_end,right_begin,right_end,detected,primary_type,type_correct,coverage_min,precision_min,iou_min,predictions
R00010,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,110,131,110,131,True,T3,True,1.0,0.5641,0.5641,2
R00011,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,24,29,24,29,True,T3,False,1.0,0.0458,0.0458,1
R00011,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,47,52,47,53,True,T3,True,1.0,0.0462,0.0462,1
R00012,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,10,15,10,15,True,T3,False,1.0,0.0429,0.0429,1
R00012,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,85,90,85,91,True,T3,True,1.0,0.0432,0.0432,1
R00013,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,8,16,8,16,True,T3,False,1.0,0.2432,0.2432,1
R00013,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,24,31,24,31,True,T3,True,1.0,0.2162,0.2162,1
R00014,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,6,11,6,11,True,T3,False,1.0,0.2727,0.2727,1
R00014,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,15,23,15,23,True,T3,True,1.0,0.4091,0.4091,1
R00015,0,T2,rename_local_x2,SOURCE_PLUS_WALA_SMT,ok,8,13,8,13,True,T3,False,1.0,0.2308,0.2308,1
R00015,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,17,27,17,27,True,T3,True,1.0,0.4231,0.4231,1
R00016,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,34,42,34,42,True,T3,False,1.0,0.1915,0.1915,1
R00016,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,46,61,46,61,True,T3,True,1.0,0.3404,0.3404,1
R00017,0,T2,rename_local_x2,SOURCE_PLUS_WALA_SMT,ok,11,20,11,20,True,T3,False,1.0,0.1923,0.1923,1
R00017,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,24,30,24,30,True,T3,True,1.0,0.1346,0.1346,1
R00018,0,T2,rename_local_x5,SOURCE_PLUS_WALA_SMT,ok,16,32,16,32,True,T3,False,1.0,0.1104,0.1104,1
R00018,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,110,116,110,117,True,T3,True,1.0,0.0458,0.0458,1
R00019,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,26,31,26,31,True,T3,False,1.0,0.0625,0.0625,1
R00019,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,87,94,87,95,True,T3,True,1.0,0.0842,0.0842,1
R00020,0,T2,rename_local_x3,SOURCE_PLUS_WALA_SMT,ok,101,115,101,115,True,T2,True,0.9333,0.5833,0.56,6
R00020,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,152,157,152,158,True,T3,True,1.0,0.4615,0.4615,6
R00021,0,T2,rename_local_x2,SOURCE_PLUS_WALA_SMT,ok,9,27,9,27,True,T3,False,1.0,0.4318,0.4318,1
R00021,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,33,42,33,43,True,T3,True,1.0,0.2326,0.2326,1
R00022,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,13,23,13,23,True,T3,False,1.0,0.0917,0.0917,1
R00022,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,98,105,98,105,True,T3,True,1.0,0.0667,0.0667,1
R00023,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,13,21,13,21,True,T3,False,1.0,0.0811,0.0811,1
R00023,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,98,104,98,105,True,T3,True,1.0,0.0636,0.0636,1
R00024,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,29,35,29,35,True,T3,False,1.0,0.1556,0.1556,1
R00024,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,43,50,43,51,True,T3,True,1.0,0.1818,0.1818,1
R00025,0,T2,rename_local_x2,SOURCE_PLUS_WALA_SMT,ok,8,14,8,14,True,T3,False,1.0,0.0263,0.0263,1
R00025,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,196,201,196,202,True,T3,True,1.0,0.0226,0.0226,1
R00026,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,7,18,7,18,True,T3,False,1.0,0.375,0.375,1
R00026,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,24,30,24,30,True,T3,True,1.0,0.2188,0.2188,1
R00027,0,T2,rename_local_x3,SOURCE_PLUS_WALA_SMT,ok,17,31,17,30,True,T2,True,1.0,0.1094,0.1094,2
R00027,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,93,98,92,97,True,T2,False,1.0,0.0469,0.0469,2
R00028,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,8,15,8,15,True,T3,False,1.0,0.16,0.16,1
R00028,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,20,36,20,37,True,T3,True,1.0,0.3469,0.3469,1
R00029,0,T2,rename_local_x2,SOURCE_PLUS_WALA_SMT,ok,45,52,45,52,True,T1,False,1.0,0.0899,0.0899,2
R00029,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,106,111,106,112,True,T3,True,1.0,0.5455,0.5455,2
R00030,0,T2,rename_local_x2,SOURCE_PLUS_WALA_SMT,ok,10,16,10,16,True,T3,False,1.0,0.3043,0.3043,1
R00030,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,20,26,20,26,True,T3,True,1.0,0.3043,0.3043,1
R00031,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,7,17,7,17,True,T3,False,1.0,0.3667,0.3667,1
R00031,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,22,27,22,28,True,T3,True,1.0,0.2069,0.2069,1
R00032,0,T2,rename_local_x2,SOURCE_PLUS_WALA_SMT,ok,13,21,13,21,True,T3,False,1.0,0.0647,0.0647,1
R00032,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,114,119,114,120,True,T3,True,1.0,0.0435,0.0435,1
R00033,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,8,13,8,13,True,T3,False,1.0,0.0375,0.0375,1
R00033,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,147,152,147,153,True,T3,True,1.0,0.0377,0.0377,1
R00034,0,T2,rename_local_x2,SOURCE_PLUS_WALA_SMT,ok,11,22,11,22,True,T3,False,1.0,0.0638,0.0638,1
R00034,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,162,167,162,168,True,T3,True,1.0,0.0321,0.0321,1
R00035,0,T2,rename_local_x3,SOURCE_PLUS_WALA_SMT,ok,7,12,7,12,True,T3,False,1.0,0.0645,0.0645,1
R00035,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,24,30,24,30,True,T3,True,1.0,0.0753,0.0753,1
R00036,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,31,40,31,40,True,T3,False,1.0,0.0877,0.0877,1
R00036,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,93,98,93,98,True,T3,True,1.0,0.0526,0.0526,1
R00037,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,18,25,18,25,True,T2,True,1.0,0.0625,0.0625,2
R00037,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,89,94,89,94,True,T2,False,1.0,0.0469,0.0469,2
R00038,0,T2,rename_local_x3,SOURCE_PLUS_WALA_SMT,ok,54,65,54,65,True,T2,True,1.0,0.2222,0.2222,3
R00038,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,112,117,112,118,True,T3,True,1.0,0.0438,0.0438,3
R00039,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,12,19,12,19,False,,False,0.125,0.0357,0.0286,1
R00039,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,28,39,28,39,True,T3,True,1.0,0.4286,0.4286,1
R00040,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,8,13,8,13,True,T3,False,0.8333,0.2083,0.2,1
R00040,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,22,27,22,28,True,T3,True,1.0,0.2609,0.2609,1
R00041,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,32,43,32,43,True,T3,False,1.0,0.0889,0.0889,1
R00041,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,95,100,95,100,True,T3,True,1.0,0.0444,0.0444,1
R00042,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,6,11,6,11,True,T3,False,1.0,0.24,0.24,1
R00042,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,17,25,17,26,True,T3,True,1.0,0.375,0.375,1
R00043,0,T2,rename_local_x3,SOURCE_PLUS_WALA_SMT,ok,9,14,9,14,True,T2,True,1.0,0.075,0.075,3
R00043,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,46,53,46,53,True,T2,False,1.0,0.1,0.1,3
R00044,0,T2,rename_local_x4,SOURCE_PLUS_WALA_SMT,ok,10,29,10,29,True,T3,False,1.0,0.3704,0.3704,1
R00044,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,37,42,37,42,True,T3,True,1.0,0.1111,0.1111,1
R00045,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,6,12,6,12,True,T3,False,1.0,0.1892,0.1892,1
R00045,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,27,37,27,38,True,T3,True,1.0,0.3056,0.3056,1
R00046,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,10,17,10,17,True,T3,False,1.0,0.2424,0.2424,1
R00046,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,21,36,21,37,True,T3,True,1.0,0.5,0.5,1
R00047,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,30,115,30,115,True,T3,False,1.0,0.6277,0.6277,1
R00047,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,125,130,125,131,True,T3,True,1.0,0.0441,0.0441,1
R00048,0,T2,rename_local_x3,SOURCE_PLUS_WALA_SMT,ok,7,12,7,12,True,T3,False,1.0,0.0652,0.0652,1
R00048,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,23,29,23,29,True,T3,True,1.0,0.0761,0.0761,1
R00049,0,T2,rename_local_x2,SOURCE_PLUS_WALA_SMT,ok,13,23,13,23,True,T3,False,1.0,0.2821,0.2821,1
R00049,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,33,38,33,39,True,T3,True,1.0,0.1579,0.1579,1
R00050,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,8,14,8,14,True,T3,False,1.0,0.1707,0.1707,1
R00050,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,27,37,27,38,True,T3,True,1.0,0.275,0.275,1
R00051,0,T2,rename_local_x2,SOURCE_PLUS_WALA_SMT,ok,31,36,31,36,True,T3,False,1.0,0.0472,0.0472,1
R00051,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,83,88,83,89,True,T3,True,1.0,0.0476,0.0476,1
R00052,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,27,39,27,39,True,T3,False,1.0,0.1912,0.1912,4
R00052,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,57,81,57,82,True,T3,True,1.0,0.3731,0.3731,4
R00053,0,T2,rename_local_x5,SOURCE_PLUS_WALA_SMT,ok,6,11,6,11,False,,False,0.3333,0.1,0.0833,1
R00053,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,16,22,16,22,True,T3,True,1.0,0.35,0.35,1
R00054,0,T2,rename_local_x5,SOURCE_PLUS_WALA_SMT,ok,6,13,6,13,False,,False,0.125,0.0357,0.0286,1
R00054,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,23,38,23,38,True,T3,True,1.0,0.5714,0.5714,1
R00055,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,7,17,7,17,True,T3,False,1.0,0.1038,0.1038,1
R00055,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,37,43,37,43,True,T3,True,1.0,0.066,0.066,1
R00056,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,15,22,15,22,True,T3,False,1.0,0.0556,0.0556,1
R00056,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,100,106,100,107,True,T3,True,1.0,0.049,0.049,1
R00057,0,T2,rename_local_x5,SOURCE_PLUS_WALA_SMT,ok,10,24,10,24,True,T3,False,1.0,0.1145,0.1145,1
R00057,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,105,111,105,112,True,T3,True,1.0,0.0538,0.0538,1
R00058,0,T2,rename_local_x4,SOURCE_PLUS_WALA_SMT,ok,7,14,7,14,True,T3,False,1.0,0.0462,0.0462,1
R00058,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,116,121,116,122,True,T3,True,1.0,0.0349,0.0349,1
R00059,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,15,20,15,20,True,T2,True,1.0,0.0455,0.0455,2
R00059,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,91,96,91,96,True,T2,False,1.0,0.0455,0.0455,2
R00060,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,9,15,9,15,True,T3,False,1.0,0.2059,0.2059,1
R00060,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,23,28,23,28,True,T3,True,1.0,0.1765,0.1765,1
R00061,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,30,44,30,44,True,T3,False,1.0,0.1163,0.1163,1
R00061,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,119,124,119,125,True,T3,True,1.0,0.0469,0.0469,1
R00062,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,31,38,31,38,True,T3,False,1.0,0.1096,0.1096,1
R00062,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,68,79,68,79,True,T3,True,1.0,0.1644,0.1644,1
R00063,0,T2,rename_local_x2,SOURCE_PLUS_WALA_SMT,ok,20,25,20,25,True,T3,False,1.0,0.0408,0.0408,1
R00063,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,146,151,146,151,True,T3,True,1.0,0.0408,0.0408,1
R00064,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,21,35,21,35,True,T3,False,1.0,0.0872,0.0872,1
R00064,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,150,156,150,156,True,T3,True,1.0,0.0407,0.0407,1
R00065,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,10,18,10,18,True,T3,False,1.0,0.0763,0.0763,1
R00065,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,89,95,89,96,True,T3,True,1.0,0.0598,0.0598,1
R00066,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,13,21,13,21,True,T3,False,1.0,0.0629,0.0629,1
R00066,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,96,102,96,103,True,T3,True,1.0,0.0493,0.0493,1
R00067,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,10,18,10,18,True,T3,False,1.0,0.1636,0.1636,1
R00067,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,24,30,24,30,True,T3,True,1.0,0.1273,0.1273,1
R00068,0,T2,rename_local_x2,SOURCE_PLUS_WALA_SMT,ok,9,14,9,14,True,T3,False,1.0,0.0588,0.0588,1
R00068,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,89,95,89,95,True,T3,True,1.0,0.0686,0.0686,1
R00069,0,T2,rename_local_x5,SOURCE_PLUS_WALA_SMT,ok,12,18,12,18,True,T2,True,1.0,0.0603,0.0603,2
R00069,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,80,85,80,85,True,T2,False,1.0,0.0517,0.0517,2
R00070,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,17,23,17,23,True,T3,False,1.0,0.0496,0.0496,1
R00070,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,98,104,98,104,True,T3,True,1.0,0.0496,0.0496,1
R00071,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,7,12,7,12,True,T3,False,1.0,0.1333,0.1333,1
R00071,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,26,31,26,32,True,T3,True,1.0,0.1364,0.1364,1
R00072,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,20,27,20,27,True,T3,False,1.0,0.2162,0.2162,1
R00072,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,31,40,31,40,True,T3,True,1.0,0.2703,0.2703,1
R00073,0,T2,rename_local_x2,SOURCE_PLUS_WALA_SMT,ok,6,14,6,14,True,T3,False,1.0,0.2368,0.2368,1
R00073,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,22,29,22,29,True,T3,True,1.0,0.2105,0.2105,1
R00074,0,T2,rename_local_x2,SOURCE_PLUS_WALA_SMT,ok,9,33,9,33,True,T3,False,1.0,0.3333,0.3333,1
R00074,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,48,53,48,54,True,T3,True,1.0,0.0811,0.0811,1
R00075,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,15,48,15,48,True,T3,False,1.0,0.382,0.382,1
R00075,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,84,93,84,93,True,T3,True,1.0,0.1124,0.1124,1
R00076,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,9,14,9,14,True,T3,False,1.0,0.042,0.042,1
R00076,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,79,84,79,85,True,T3,True,1.0,0.0423,0.0423,1
R00077,0,T2,rename_local_x2,SOURCE_PLUS_WALA_SMT,ok,33,53,33,53,True,T3,False,1.0,0.168,0.168,1
R00077,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,104,109,104,110,True,T3,True,1.0,0.0484,0.0484,1
R00078,0,T2,rename_local_x3,SOURCE_PLUS_WALA_SMT,ok,8,25,8,25,True,T3,False,1.0,0.4091,0.4091,1
R00078,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,35,41,35,41,True,T3,True,1.0,0.1591,0.1591,1
R00079,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,9,15,9,15,True,T3,False,1.0,0.2414,0.2414,1
R00079,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,22,30,22,31,True,T3,True,1.0,0.3214,0.3214,1
R00080,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,26,31,26,31,True,T3,False,1.0,0.0382,0.0382,1
R00080,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,112,118,112,119,True,T3,True,1.0,0.0449,0.0449,1
R00081,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,108,116,108,116,True,T3,False,1.0,0.0386,0.0386,1
R00081,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,174,179,174,179,True,T3,True,1.0,0.0258,0.0258,1
R00082,0,T2,rename_local_x4,SOURCE_PLUS_WALA_SMT,ok,34,49,34,49,True,T2,True,1.0,0.64,0.64,24
R00082,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,248,253,248,254,True,T3,True,1.0,0.3,0.3,24
R00083,0,T2,rename_local_x5,SOURCE_PLUS_WALA_SMT,ok,19,24,19,24,True,T3,False,1.0,0.0896,0.0896,2
R00083,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,47,55,47,55,True,T3,True,1.0,0.1343,0.1343,2
R00084,0,T2,rename_local_x4,SOURCE_PLUS_WALA_SMT,ok,11,30,11,30,True,T3,False,1.0,0.4348,0.4348,1
R00084,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,36,45,36,45,True,T3,True,1.0,0.2174,0.2174,1
R00085,0,T2,rename_local_x3,SOURCE_PLUS_WALA_SMT,ok,16,28,16,28,True,T3,False,1.0,0.089,0.089,1
R00085,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,99,105,99,105,True,T3,True,1.0,0.0479,0.0479,1
R00086,0,T2,rename_local_x2,SOURCE_PLUS_WALA_SMT,ok,6,19,6,19,True,T2,True,1.0,0.6667,0.6667,2
R00086,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,34,49,34,50,True,T3,True,1.0,0.6667,0.6667,2
R00087,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,15,21,15,21,True,T3,False,1.0,0.1522,0.1522,2
R00087,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,27,39,27,40,True,T3,True,1.0,0.2889,0.2889,2
R00088,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,7,12,7,12,True,T3,False,1.0,0.1818,0.1818,1
R00088,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,28,33,28,34,True,T3,True,1.0,0.1875,0.1875,1
R00089,0,T2,rename_local_x2,SOURCE_PLUS_WALA_SMT,ok,7,14,7,14,True,T3,False,1.0,0.2222,0.2222,1
R00089,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,19,32,19,32,True,T3,True,1.0,0.3889,0.3889,1
R00090,0,T2,rename_local_x2,SOURCE_PLUS_WALA_SMT,ok,135,141,135,141,True,T3,False,1.0,0.0355,0.0355,2
R00090,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,150,155,150,156,True,T3,True,1.0,0.0306,0.0306,2
R00091,0,T2,rename_local_x2,SOURCE_PLUS_WALA_SMT,ok,16,21,16,21,True,T3,False,1.0,0.1935,0.1935,1
R00091,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,30,37,30,38,True,T3,True,1.0,0.2667,0.2667,1
R00092,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,7,13,7,13,True,T3,False,1.0,0.25,0.25,1
R00092,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,20,25,20,25,True,T3,True,1.0,0.2143,0.2143,1
R00093,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,29,35,29,35,True,T2,True,1.0,0.2188,0.2188,2
R00093,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,71,77,71,77,True,T3,True,1.0,0.2692,0.2692,2
R00094,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,74,79,74,79,True,T3,False,1.0,0.0682,0.0682,1
R00094,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,86,92,86,92,True,T3,True,1.0,0.0795,0.0795,1
R00095,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,44,51,44,51,True,T3,False,1.0,0.0523,0.0523,1
R00095,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,115,121,115,122,True,T3,True,1.0,0.0461,0.0461,1
R00096,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,6,11,6,11,True,T3,False,1.0,0.15,0.15,1
R00096,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,19,41,19,41,True,T3,True,1.0,0.575,0.575,1
R00097,0,T2,rename_local_x4,SOURCE_PLUS_WALA_SMT,ok,8,14,8,14,True,T3,False,1.0,0.022,0.022,1
R00097,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,231,236,231,237,True,T3,True,1.0,0.0189,0.0189,1
R00098,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,7,12,7,12,True,T3,False,1.0,0.1765,0.1765,1
R00098,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,19,24,19,24,True,T3,True,1.0,0.1765,0.1765,1
R00099,0,T2,rename_local_x2,SOURCE_PLUS_WALA_SMT,ok,9,14,9,14,True,T3,False,1.0,0.042,0.042,1
R00099,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,83,88,83,88,True,T3,True,1.0,0.042,0.042,1
