pair_id,ref_index,kind,clone_type,operator,left_begin,left_end,right_begin,right_end
R00013,0,CLONE_INTERVAL,T3,t3_delete_statement,8,13,8,12
R00013,1,MUTATION,T3,t3_delete_statement,12,12,,
R00013,2,UNTOUCHED,T1,none,4,7,4,7
R00013,3,UNTOUCHED,T1,none,14,19,13,18
R00014,0,CLONE_INTERVAL,T1,t1_add_block_comment,7,13,7,14
R00014,1,MUTATION,T1,t1_add_block_comment,,,10,10
R00014,2,UNTOUCHED,T1,none,3,6,3,6
R00014,3,UNTOUCHED,T1,none,14,26,15,27
R00015,0,CLONE_INTERVAL,T2,t2_change_int_literal,6,16,6,16
R00015,1,MUTATION,T2,t2_change_int_literal,8,8,8,8
R00015,2,UNTOUCHED,T1,none,3,5,3,5
R00015,3,UNTOUCHED,T1,none,17,20,17,20
R00016,0,CLONE_INTERVAL,T2,t2_change_int_literal,26,31,26,31
R00016,1,MUTATION,T2,t2_change_int_literal,26,26,26,26
R00016,2,UNTOUCHED,T1,none,21,25,21,25
R00016,3,UNTOUCHED,T1,none,32,34,32,34
R00017,0,CLONE_INTERVAL,T3,t3_wrap_statement,11,16,11,18
R00017,1,MUTATION,T3,t3_wrap_statement,15,15,15,17
R00017,2,UNTOUCHED,T1,none,3,10,3,10
R00017,3,UNTOUCHED,T1,none,17,23,19,25
R00018,0,CLONE_INTERVAL,T1,t1_reindent,6,17,6,17
R00018,1,MUTATION,T1,t1_reindent,6,17,6,17
R00018,2,UNTOUCHED,T1,none,3,5,3,5
R00018,3,UNTOUCHED,T1,none,18,24,18,24
R00019,0,CLONE_INTERVAL,T3,t3_insert_statement,10,16,10,17
R00019,1,MUTATION,T3,t3_insert_statement,,,14,14
R00019,2,UNTOUCHED,T1,none,3,9,3,9
R00019,3,UNTOUCHED,T1,none,17,21,18,22
R00020,0,CLONE_INTERVAL,T1,t1_add_block_comment,10,16,10,17
R00020,1,MUTATION,T1,t1_add_block_comment,,,14,14
R00020,2,UNTOUCHED,T1,none,3,9,3,9
R00020,3,UNTOUCHED,T1,none,17,24,18,25
R00021,0,CLONE_INTERVAL,T2,t2_rename_local_x3,10,22,10,22
R00021,1,MUTATION,T2,t2_rename_local_x3,10,14,10,14
R00021,2,UNTOUCHED,T1,none,3,9,3,9
R00021,3,UNTOUCHED,T1,none,23,30,23,30
R00022,0,CLONE_INTERVAL,T1,t1_reindent,6,11,6,11
R00022,1,MUTATION,T1,t1_reindent,6,11,6,11
R00022,2,UNTOUCHED,T1,none,3,5,3,5
R00022,3,UNTOUCHED,T1,none,12,20,12,20
R00023,0,CLONE_INTERVAL,T1,t1_add_blank_line,8,13,8,14
R00023,1,MUTATION,T1,t1_add_blank_line,,,9,9
R00023,2,UNTOUCHED,T1,none,3,7,3,7
R00023,3,UNTOUCHED,T1,none,14,21,15,22
R00024,0,CLONE_INTERVAL,T1,t1_add_eol_comment,11,19,11,19
R00024,1,MUTATION,T1,t1_add_eol_comment,12,12,12,12
R00024,2,UNTOUCHED,T1,none,3,10,3,10
R00024,3,UNTOUCHED,T1,none,20,24,20,24
R00025,0,CLONE_INTERVAL,T1,t1_add_block_comment,6,11,6,12
R00025,1,MUTATION,T1,t1_add_block_comment,,,7,7
R00025,2,UNTOUCHED,T1,none,3,5,3,5
R00025,3,UNTOUCHED,T1,none,12,20,13,21
R00026,0,CLONE_INTERVAL,T3,t3_wrap_statement,9,14,9,16
R00026,1,MUTATION,T3,t3_wrap_statement,11,13,11,15
R00026,2,UNTOUCHED,T1,none,3,8,3,8
R00026,3,UNTOUCHED,T1,none,15,20,17,22
R00027,0,CLONE_INTERVAL,T1,t1_add_blank_line,6,11,6,12
R00027,1,MUTATION,T1,t1_add_blank_line,,,8,8
R00027,2,UNTOUCHED,T1,none,3,5,3,5
R00027,3,UNTOUCHED,T1,none,12,27,13,28
R00028,0,CLONE_INTERVAL,T1,t1_add_blank_line,10,15,10,16
R00028,1,MUTATION,T1,t1_add_blank_line,,,11,11
R00028,2,UNTOUCHED,T1,none,3,9,3,9
R00028,3,UNTOUCHED,T1,none,16,18,17,19
R00029,0,CLONE_INTERVAL,T1,t1_add_block_comment,8,13,8,14
R00029,1,MUTATION,T1,t1_add_block_comment,,,9,9
R00029,2,UNTOUCHED,T1,none,5,7,5,7
R00029,3,UNTOUCHED,T1,none,14,24,15,25
R00030,0,CLONE_INTERVAL,T3,t3_wrap_statement,8,16,8,18
R00030,1,MUTATION,T3,t3_wrap_statement,12,14,12,16
R00030,2,UNTOUCHED,T1,none,3,7,3,7
R00030,3,UNTOUCHED,T1,none,17,22,19,24
R00031,0,CLONE_INTERVAL,T1,t1_reindent,11,17,11,17
R00031,1,MUTATION,T1,t1_reindent,11,17,11,17
R00031,2,UNTOUCHED,T1,none,3,10,3,10
R00031,3,UNTOUCHED,T1,none,18,31,18,31
R00032,0,CLONE_INTERVAL,T1,t1_reindent,10,16,10,16
R00032,1,MUTATION,T1,t1_reindent,10,16,10,16
R00032,2,UNTOUCHED,T1,none,4,9,4,9
R00032,3,UNTOUCHED,T1,none,17,30,17,30
R00033,0,CLONE_INTERVAL,T3,t3_insert_statement,7,12,7,13
R00033,1,MUTATION,T3,t3_insert_statement,,,10,10
R00033,2,UNTOUCHED,T1,none,4,6,4,6
R00033,3,UNTOUCHED,T1,none,13,16,14,17
R00034,0,CLONE_INTERVAL,T3,t3_delete_statement,6,11,6,10
R00034,1,MUTATION,T3,t3_delete_statement,9,9,,
R00034,2,UNTOUCHED,T1,none,3,5,3,5
R00034,3,UNTOUCHED,T1,none,12,27,11,26
R00035,0,CLONE_INTERVAL,T3,t3_insert_statement,6,11,6,12
R00035,1,MUTATION,T3,t3_insert_statement,,,8,8
R00035,2,UNTOUCHED,T1,none,3,5,3,5
R00035,3,UNTOUCHED,T1,none,12,48,13,49
R00036,0,CLONE_INTERVAL,T3,t3_delete_statement,75,83,75,82
R00036,1,MUTATION,T3,t3_delete_statement,75,75,,
R00036,2,UNTOUCHED,T1,none,61,74,61,74
R00036,3,UNTOUCHED,T1,none,84,87,83,86
R00037,0,CLONE_INTERVAL,T1,t1_add_eol_comment,13,20,13,20
R00037,1,MUTATION,T1,t1_add_eol_comment,15,15,15,15
R00037,2,UNTOUCHED,T1,none,5,12,5,12
R00037,3,UNTOUCHED,T1,none,21,23,21,23
R00038,0,CLONE_INTERVAL,T2,t2_change_string_literal,9,14,9,14
R00038,1,MUTATION,T2,t2_change_string_literal,11,11,11,11
R00038,2,UNTOUCHED,T1,none,6,8,6,8
R00038,3,UNTOUCHED,T1,none,15,25,15,25
R00039,0,CLONE_INTERVAL,T1,t1_add_eol_comment,8,24,8,24
R00039,1,MUTATION,T1,t1_add_eol_comment,23,23,23,23
R00039,2,UNTOUCHED,T1,none,3,7,3,7
R00039,3,UNTOUCHED,T1,none,25,28,25,28
R00040,0,CLONE_INTERVAL,T1,t1_reindent,8,16,8,16
R00040,1,MUTATION,T1,t1_reindent,8,16,8,16
R00040,2,UNTOUCHED,T1,none,3,7,3,7
R00040,3,UNTOUCHED,T1,none,17,22,17,22
R00041,0,CLONE_INTERVAL,T3,t3_insert_statement,11,18,11,18
R00041,1,MUTATION,T3,t3_insert_statement,,,19,19
R00041,2,UNTOUCHED,T1,none,3,10,3,10
R00041,3,UNTOUCHED,T1,none,19,21,20,22
R00042,0,CLONE_INTERVAL,T3,t3_insert_statement,14,19,14,20
R00042,1,MUTATION,T3,t3_insert_statement,,,15,15
R00042,2,UNTOUCHED,T1,none,11,13,11,13
R00042,3,UNTOUCHED,T1,none,20,25,21,26
R00043,0,CLONE_INTERVAL,T2,t2_change_int_literal,7,14,7,14
R00043,1,MUTATION,T2,t2_change_int_literal,9,9,9,9
R00043,2,UNTOUCHED,T1,none,3,6,3,6
R00043,3,UNTOUCHED,T1,none,15,26,15,26
R00044,0,CLONE_INTERVAL,T1,t1_add_blank_line,7,12,7,13
R00044,1,MUTATION,T1,t1_add_blank_line,,,12,12
R00044,2,UNTOUCHED,T1,none,4,6,4,6
R00044,3,UNTOUCHED,T1,none,13,16,14,17
R00045,0,CLONE_INTERVAL,T2,t2_rename_local_x2,7,12,7,12
R00045,1,MUTATION,T2,t2_rename_local_x2,8,11,8,11
R00045,2,UNTOUCHED,T1,none,3,6,3,6
R00045,3,UNTOUCHED,T1,none,13,16,13,16
R00046,0,CLONE_INTERVAL,T1,t1_add_block_comment,12,34,12,35
R00046,1,MUTATION,T1,t1_add_block_comment,,,27,27
R00046,2,UNTOUCHED,T1,none,6,11,6,11
R00046,3,UNTOUCHED,T1,none,35,41,36,42
R00047,0,CLONE_INTERVAL,T3,t3_wrap_statement,7,12,7,14
R00047,1,MUTATION,T3,t3_wrap_statement,12,12,12,14
R00047,2,UNTOUCHED,T1,none,4,6,4,6
R00047,3,UNTOUCHED,T1,none,13,17,15,19
R00048,0,CLONE_INTERVAL,T3,t3_delete_statement,7,12,7,11
R00048,1,MUTATION,T3,t3_delete_statement,12,12,,
R00048,2,UNTOUCHED,T1,none,4,6,4,6
R00048,3,UNTOUCHED,T1,none,13,18,12,17
R00049,0,CLONE_INTERVAL,T3,t3_wrap_statement,9,14,9,16
R00049,1,MUTATION,T3,t3_wrap_statement,10,12,10,14
R00049,2,UNTOUCHED,T1,none,5,8,5,8
R00049,3,UNTOUCHED,T1,none,15,21,17,23
R00050,0,CLONE_INTERVAL,T2,t2_rename_local_x1,6,12,6,12
R00050,1,MUTATION,T2,t2_rename_local_x1,10,11,10,11
R00050,2,UNTOUCHED,T1,none,3,5,3,5
R00050,3,UNTOUCHED,T1,none,13,15,13,15
R00051,0,CLONE_INTERVAL,T1,t1_reindent,6,11,6,11
R00051,1,MUTATION,T1,t1_reindent,6,11,6,11
R00051,2,UNTOUCHED,T1,none,3,5,3,5
R00051,3,UNTOUCHED,T1,none,12,23,12,23
R00052,0,CLONE_INTERVAL,T2,t2_change_int_literal,6,11,6,11
R00052,1,MUTATION,T2,t2_change_int_literal,7,7,7,7
R00052,2,UNTOUCHED,T1,none,3,5,3,5
R00052,3,UNTOUCHED,T1,none,12,19,12,19
R00053,0,CLONE_INTERVAL,T2,t2_change_string_literal,10,34,10,34
R00053,1,MUTATION,T2,t2_change_string_literal,12,12,12,12
R00053,2,UNTOUCHED,T1,none,3,9,3,9
R00053,3,UNTOUCHED,T1,none,35,42,35,42
R00054,0,CLONE_INTERVAL,T2,t2_change_int_literal,6,11,6,11
R00054,1,MUTATION,T2,t2_change_int_literal,7,7,7,7
R00054,2,UNTOUCHED,T1,none,3,5,3,5
R00054,3,UNTOUCHED,T1,none,12,23,12,23
R00055,0,CLONE_INTERVAL,T1,t1_reindent,6,11,6,11
R00055,1,MUTATION,T1,t1_reindent,6,11,6,11
R00055,2,UNTOUCHED,T1,none,3,5,3,5
R00055,3,UNTOUCHED,T1,none,12,23,12,23
R00056,0,CLONE_INTERVAL,T2,t2_change_string_literal,29,74,29,74
R00056,1,MUTATION,T2,t2_change_string_literal,33,33,33,33
R00056,2,UNTOUCHED,T1,none,21,28,21,28
R00056,3,UNTOUCHED,T1,none,75,82,75,82
R00057,0,CLONE_INTERVAL,T3,t3_wrap_statement,33,38,33,40
R00057,1,MUTATION,T3,t3_wrap_statement,33,36,33,38
R00057,2,UNTOUCHED,T1,none,29,32,29,32
R00057,3,UNTOUCHED,T1,none,39,47,41,49
R00058,0,CLONE_INTERVAL,T2,t2_change_int_literal,7,13,7,13
R00058,1,MUTATION,T2,t2_change_int_literal,11,11,11,11
R00058,2,UNTOUCHED,T1,none,4,6,4,6
R00058,3,UNTOUCHED,T1,none,14,21,14,21
R00059,0,CLONE_INTERVAL,T1,t1_add_blank_line,8,23,8,24
R00059,1,MUTATION,T1,t1_add_blank_line,,,11,11
R00059,2,UNTOUCHED,T1,none,4,7,4,7
R00059,3,UNTOUCHED,T1,none,24,32,25,33
R00060,0,CLONE_INTERVAL,T2,t2_change_string_literal,15,40,15,40
R00060,1,MUTATION,T2,t2_change_string_literal,19,19,19,19
R00060,2,UNTOUCHED,T1,none,4,14,4,14
R00060,3,UNTOUCHED,T1,none,41,43,41,43
R00061,0,CLONE_INTERVAL,T1,t1_reindent,30,35,30,35
R00061,1,MUTATION,T1,t1_reindent,30,35,30,35
R00061,2,UNTOUCHED,T1,none,24,29,24,29
R00061,3,UNTOUCHED,T1,none,36,44,36,44
R00062,0,CLONE_INTERVAL,T3,t3_wrap_statement,46,53,46,55
R00062,1,MUTATION,T3,t3_wrap_statement,47,51,47,53
R00062,2,UNTOUCHED,T1,none,40,45,40,45
R00062,3,UNTOUCHED,T1,none,54,56,56,58
R00063,0,CLONE_INTERVAL,T2,t2_change_int_literal,7,12,7,12
R00063,1,MUTATION,T2,t2_change_int_literal,9,9,9,9
R00063,2,UNTOUCHED,T1,none,3,6,3,6
R00063,3,UNTOUCHED,T1,none,13,22,13,22
R00064,0,CLONE_INTERVAL,T1,t1_add_block_comment,7,12,7,13
R00064,1,MUTATION,T1,t1_add_block_comment,,,9,9
R00064,2,UNTOUCHED,T1,none,3,6,3,6
R00064,3,UNTOUCHED,T1,none,13,34,14,35
R00065,0,CLONE_INTERVAL,T3,t3_delete_statement,7,20,7,19
R00065,1,MUTATION,T3,t3_delete_statement,7,7,,
R00065,2,UNTOUCHED,T1,none,3,6,3,6
R00065,3,UNTOUCHED,T1,none,21,34,20,33
R00066,0,CLONE_INTERVAL,T2,t2_change_int_literal,27,33,27,33
R00066,1,MUTATION,T2,t2_change_int_literal,28,28,28,28
R00066,2,UNTOUCHED,T1,none,24,26,24,26
R00066,3,UNTOUCHED,T1,none,34,37,34,37
R00067,0,CLONE_INTERVAL,T1,t1_add_block_comment,12,17,12,18
R00067,1,MUTATION,T1,t1_add_block_comment,,,16,16
R00067,2,UNTOUCHED,T1,none,4,11,4,11
R00067,3,UNTOUCHED,T1,none,18,26,19,27
R00068,0,CLONE_INTERVAL,T3,t3_delete_statement,9,14,9,13
R00068,1,MUTATION,T3,t3_delete_statement,14,14,,
R00068,2,UNTOUCHED,T1,none,6,8,6,8
R00068,3,UNTOUCHED,T1,none,15,17,14,16
R00069,0,CLONE_INTERVAL,T1,t1_reindent,20,25,20,25
R00069,1,MUTATION,T1,t1_reindent,20,25,20,25
R00069,2,UNTOUCHED,T1,none,13,19,13,19
R00069,3,UNTOUCHED,T1,none,26,35,26,35
R00070,0,CLONE_INTERVAL,T3,t3_insert_statement,6,12,6,13
R00070,1,MUTATION,T3,t3_insert_statement,,,8,8
R00070,2,UNTOUCHED,T1,none,3,5,3,5
R00070,3,UNTOUCHED,T1,none,13,32,14,33
R00071,0,CLONE_INTERVAL,T3,t3_delete_statement,6,11,6,10
R00071,1,MUTATION,T3,t3_delete_statement,8,8,,
R00071,2,UNTOUCHED,T1,none,3,5,3,5
R00071,3,UNTOUCHED,T1,none,12,14,11,13
R00072,0,CLONE_INTERVAL,T1,t1_add_blank_line,7,18,7,19
R00072,1,MUTATION,T1,t1_add_blank_line,,,16,16
R00072,2,UNTOUCHED,T1,none,4,6,4,6
R00072,3,UNTOUCHED,T1,none,19,22,20,23
R00073,0,CLONE_INTERVAL,T2,t2_change_string_literal,7,17,7,17
R00073,1,MUTATION,T2,t2_change_string_literal,10,10,10,10
R00073,2,UNTOUCHED,T1,none,3,6,3,6
R00073,3,UNTOUCHED,T1,none,18,20,18,20
R00074,0,CLONE_INTERVAL,T1,t1_add_block_comment,6,12,6,13
R00074,1,MUTATION,T1,t1_add_block_comment,,,8,8
R00074,2,UNTOUCHED,T1,none,3,5,3,5
R00074,3,UNTOUCHED,T1,none,13,18,14,19
R00075,0,CLONE_INTERVAL,T3,t3_delete_statement,11,19,11,18
R00075,1,MUTATION,T3,t3_delete_statement,14,14,,
R00075,2,UNTOUCHED,T1,none,4,10,4,10
R00075,3,UNTOUCHED,T1,none,20,24,19,23
R00076,0,CLONE_INTERVAL,T1,t1_reindent,27,34,27,34
R00076,1,MUTATION,T1,t1_reindent,27,34,27,34
R00076,2,UNTOUCHED,T1,none,24,26,24,26
R00076,3,UNTOUCHED,T1,none,35,39,35,39
R00077,0,CLONE_INTERVAL,T3,t3_insert_statement,99,105,99,106
R00077,1,MUTATION,T3,t3_insert_statement,,,103,103
R00077,2,UNTOUCHED,T1,none,92,98,92,98
R00077,3,UNTOUCHED,T1,none,106,117,107,118
R00078,0,CLONE_INTERVAL,T3,t3_wrap_statement,7,12,7,13
R00078,1,MUTATION,T3,t3_wrap_statement,12,12,12,13
R00078,2,UNTOUCHED,T1,none,4,6,4,6
R00078,3,UNTOUCHED,T1,none,13,13,14,14
R00078,4,UNTOUCHED,T1,none,14,25,16,27
R00079,0,CLONE_INTERVAL,T2,t2_change_string_literal,6,11,6,11
R00079,1,MUTATION,T2,t2_change_string_literal,7,7,7,7
R00079,2,UNTOUCHED,T1,none,3,5,3,5
R00079,3,UNTOUCHED,T1,none,12,22,12,22
R00080,0,CLONE_INTERVAL,T3,t3_delete_statement,12,17,12,16
R00080,1,MUTATION,T3,t3_delete_statement,13,13,,
R00080,2,UNTOUCHED,T1,none,4,11,4,11
R00080,3,UNTOUCHED,T1,none,18,22,17,21
R00081,0,CLONE_INTERVAL,T1,t1_reindent,6,15,6,15
R00081,1,MUTATION,T1,t1_reindent,6,15,6,15
R00081,2,UNTOUCHED,T1,none,3,5,3,5
R00081,3,UNTOUCHED,T1,none,16,24,16,24
R00082,0,CLONE_INTERVAL,T3,t3_wrap_statement,9,15,9,17
R00082,1,MUTATION,T3,t3_wrap_statement,13,14,13,16
R00082,2,UNTOUCHED,T1,none,3,8,3,8
R00082,3,UNTOUCHED,T1,none,16,23,18,25
R00083,0,CLONE_INTERVAL,T2,t2_change_int_literal,6,11,6,11
R00083,1,MUTATION,T2,t2_change_int_literal,7,7,7,7
R00083,2,UNTOUCHED,T1,none,3,5,3,5
R00083,3,UNTOUCHED,T1,none,12,17,12,17
R00084,0,CLONE_INTERVAL,T1,t1_add_eol_comment,9,14,9,14
R00084,1,MUTATION,T1,t1_add_eol_comment,13,13,13,13
R00084,2,UNTOUCHED,T1,none,3,8,3,8
R00084,3,UNTOUCHED,T1,none,15,20,15,20
R00085,0,CLONE_INTERVAL,T3,t3_wrap_statement,15,34,15,36
R00085,1,MUTATION,T3,t3_wrap_statement,15,32,15,33
R00085,2,UNTOUCHED,T1,none,3,14,3,14
R00085,3,UNTOUCHED,T1,none,35,37,37,39
R00086,0,CLONE_INTERVAL,T3,t3_delete_statement,6,11,6,10
R00086,1,MUTATION,T3,t3_delete_statement,10,10,,
R00086,2,UNTOUCHED,T1,none,3,5,3,5
R00086,3,UNTOUCHED,T1,none,12,19,11,18
R00087,0,CLONE_INTERVAL,T1,t1_add_eol_comment,14,26,14,26
R00087,1,MUTATION,T1,t1_add_eol_comment,21,21,21,21
R00087,2,UNTOUCHED,T1,none,4,13,4,13
R00087,3,UNTOUCHED,T1,none,27,29,27,29
R00088,0,CLONE_INTERVAL,T3,t3_delete_statement,6,11,6,10
R00088,1,MUTATION,T3,t3_delete_statement,9,9,,
R00088,2,UNTOUCHED,T1,none,3,5,3,5
R00088,3,UNTOUCHED,T1,none,12,17,11,16
R00089,0,CLONE_INTERVAL,T1,t1_add_eol_comment,97,102,97,102
R00089,1,MUTATION,T1,t1_add_eol_comment,102,102,102,102
R00089,2,UNTOUCHED,T1,none,92,96,92,96
R00089,3,UNTOUCHED,T1,none,103,117,103,117
R00090,0,CLONE_INTERVAL,T2,t2_rename_local_x6,6,25,6,25
R00090,1,MUTATION,T2,t2_rename_local_x6,8,22,8,22
R00090,2,UNTOUCHED,T1,none,3,5,3,5
R00090,3,UNTOUCHED,T1,none,26,28,26,28
R00091,0,CLONE_INTERVAL,T1,t1_add_block_comment,7,16,7,17
R00091,1,MUTATION,T1,t1_add_block_comment,,,15,15
R00091,2,UNTOUCHED,T1,none,3,6,3,6
R00091,3,UNTOUCHED,T1,none,17,23,18,24
R00092,0,CLONE_INTERVAL,T1,t1_add_eol_comment,6,11,6,11
R00092,1,MUTATION,T1,t1_add_eol_comment,6,6,6,6
R00092,2,UNTOUCHED,T1,none,3,5,3,5
R00092,3,UNTOUCHED,T1,none,12,15,12,15
R00093,0,CLONE_INTERVAL,T2,t2_rename_local_x1,8,18,8,18
R00093,1,MUTATION,T2,t2_rename_local_x1,9,10,9,10
R00093,2,UNTOUCHED,T1,none,3,7,3,7
R00093,3,UNTOUCHED,T1,none,19,21,19,21
R00094,0,CLONE_INTERVAL,T3,t3_wrap_statement,27,32,27,34
R00094,1,MUTATION,T3,t3_wrap_statement,28,30,28,32
R00094,2,UNTOUCHED,T1,none,4,26,4,26
R00094,3,UNTOUCHED,T1,none,33,39,35,41
R00095,0,CLONE_INTERVAL,T3,t3_delete_statement,15,24,15,23
R00095,1,MUTATION,T3,t3_delete_statement,16,16,,
R00095,2,UNTOUCHED,T1,none,5,14,5,14
R00095,3,UNTOUCHED,T1,none,25,27,24,26
R00096,0,CLONE_INTERVAL,T3,t3_delete_statement,13,21,13,20
R00096,1,MUTATION,T3,t3_delete_statement,14,14,,
R00096,2,UNTOUCHED,T1,none,4,12,4,12
R00096,3,UNTOUCHED,T1,none,22,25,21,24
R00097,0,CLONE_INTERVAL,T3,t3_wrap_statement,11,16,11,18
R00097,1,MUTATION,T3,t3_wrap_statement,16,16,16,18
R00097,2,UNTOUCHED,T1,none,3,10,3,10
R00097,3,UNTOUCHED,T1,none,17,109,19,111
R00098,0,CLONE_INTERVAL,T1,t1_add_eol_comment,62,71,62,71
R00098,1,MUTATION,T1,t1_add_eol_comment,68,68,68,68
R00098,2,UNTOUCHED,T1,none,51,61,51,61
R00098,3,UNTOUCHED,T1,none,72,75,72,75
R00099,0,CLONE_INTERVAL,T2,t2_change_int_literal,6,13,6,13
R00099,1,MUTATION,T2,t2_change_int_literal,6,6,6,6
R00099,2,UNTOUCHED,T1,none,3,5,3,5
R00099,3,UNTOUCHED,T1,none,14,26,14,26
R00100,0,CLONE_INTERVAL,T2,t2_change_int_literal,15,22,15,22
R00100,1,MUTATION,T2,t2_change_int_literal,18,18,18,18
R00100,2,UNTOUCHED,T1,none,3,14,3,14
R00100,3,UNTOUCHED,T1,none,23,28,23,28
R00101,0,CLONE_INTERVAL,T1,t1_add_blank_line,6,13,6,14
R00101,1,MUTATION,T1,t1_add_blank_line,,,13,13
R00101,2,UNTOUCHED,T1,none,3,5,3,5
R00101,3,UNTOUCHED,T1,none,14,16,15,17
R00102,0,CLONE_INTERVAL,T1,t1_add_block_comment,21,26,21,27
R00102,1,MUTATION,T1,t1_add_block_comment,,,25,25
R00102,2,UNTOUCHED,T1,none,3,20,3,20
R00102,3,UNTOUCHED,T1,none,27,31,28,32
R00103,0,CLONE_INTERVAL,T2,t2_change_string_literal,7,12,7,12
R00103,1,MUTATION,T2,t2_change_string_literal,7,7,7,7
R00103,2,UNTOUCHED,T1,none,4,6,4,6
R00103,3,UNTOUCHED,T1,none,13,16,13,16
R00104,0,CLONE_INTERVAL,T1,t1_add_eol_comment,8,13,8,13
R00104,1,MUTATION,T1,t1_add_eol_comment,11,11,11,11
R00104,2,UNTOUCHED,T1,none,3,7,3,7
R00104,3,UNTOUCHED,T1,none,14,49,14,49
R00105,0,CLONE_INTERVAL,T1,t1_reindent,7,12,7,12
R00105,1,MUTATION,T1,t1_reindent,7,12,7,12
R00105,2,UNTOUCHED,T1,none,3,6,3,6
R00105,3,UNTOUCHED,T1,none,13,20,13,20
R00106,0,CLONE_INTERVAL,T2,t2_rename_local_x1,10,16,10,16
R00106,1,MUTATION,T2,t2_rename_local_x1,11,12,11,12
R00106,2,UNTOUCHED,T1,none,7,9,7,9
R00106,3,UNTOUCHED,T1,none,17,24,17,24
R00107,0,CLONE_INTERVAL,T3,t3_wrap_statement,6,11,6,13
R00107,1,MUTATION,T3,t3_wrap_statement,11,11,11,13
R00107,2,UNTOUCHED,T1,none,3,5,3,5
R00107,3,UNTOUCHED,T1,none,12,18,14,20
R00108,0,CLONE_INTERVAL,T2,t2_change_int_literal,11,16,11,16
R00108,1,MUTATION,T2,t2_change_int_literal,11,11,11,11
R00108,2,UNTOUCHED,T1,none,3,10,3,10
R00108,3,UNTOUCHED,T1,none,17,22,17,22
R00109,0,CLONE_INTERVAL,T1,t1_add_block_comment,25,31,25,32
R00109,1,MUTATION,T1,t1_add_block_comment,,,31,31
R00109,2,UNTOUCHED,T1,none,22,24,22,24
