pair_id,file_a,file_b,expected_type
neg_ListPrinter__SlugBuilder,samples/java/nonclone/ListPrinter.java,samples/java/nonclone/SlugBuilder.java,NON_CLONE
neg_ListPrinter__TemperatureAlert,samples/java/nonclone/ListPrinter.java,samples/java/nonclone/TemperatureAlert.java,NON_CLONE
neg_ListPrinter__UserParser,samples/java/nonclone/ListPrinter.java,samples/java/nonclone/UserParser.java,NON_CLONE
neg_ListPrinter__WordFrequency,samples/java/nonclone/ListPrinter.java,samples/java/nonclone/WordFrequency.java,NON_CLONE
neg_NameCollector__PasswordMasker,samples/java/nonclone/NameCollector.java,samples/java/nonclone/PasswordMasker.java,NON_CLONE
neg_NameCollector__PrimeCounter,samples/java/nonclone/NameCollector.java,samples/java/nonclone/PrimeCounter.java,NON_CLONE
neg_NameCollector__RangeLimiter,samples/java/nonclone/NameCollector.java,samples/java/nonclone/RangeLimiter.java,NON_CLONE
neg_NameCollector__ScoreCalculator,samples/java/nonclone/NameCollector.java,samples/java/nonclone/ScoreCalculator.java,NON_CLONE
neg_NameCollector__SessionCleaner,samples/java/nonclone/NameCollector.java,samples/java/nonclone/SessionCleaner.java,NON_CLONE
neg_NameCollector__SlugBuilder,samples/java/nonclone/NameCollector.java,samples/java/nonclone/SlugBuilder.java,NON_CLONE
neg_NameCollector__TemperatureAlert,samples/java/nonclone/NameCollector.java,samples/java/nonclone/TemperatureAlert.java,NON_CLONE
neg_NameCollector__UserParser,samples/java/nonclone/NameCollector.java,samples/java/nonclone/UserParser.java,NON_CLONE
neg_NameCollector__WordFrequency,samples/java/nonclone/NameCollector.java,samples/java/nonclone/WordFrequency.java,NON_CLONE
neg_PasswordMasker__PrimeCounter,samples/java/nonclone/PasswordMasker.java,samples/java/nonclone/PrimeCounter.java,NON_CLONE
neg_PasswordMasker__RangeLimiter,samples/java/nonclone/PasswordMasker.java,samples/java/nonclone/RangeLimiter.java,NON_CLONE
neg_PasswordMasker__ScoreCalculator,samples/java/nonclone/PasswordMasker.java,samples/java/nonclone/ScoreCalculator.java,NON_CLONE
neg_PasswordMasker__SessionCleaner,samples/java/nonclone/PasswordMasker.java,samples/java/nonclone/SessionCleaner.java,NON_CLONE
neg_PasswordMasker__SlugBuilder,samples/java/nonclone/PasswordMasker.java,samples/java/nonclone/SlugBuilder.java,NON_CLONE
neg_PasswordMasker__TemperatureAlert,samples/java/nonclone/PasswordMasker.java,samples/java/nonclone/TemperatureAlert.java,NON_CLONE
neg_PasswordMasker__UserParser,samples/java/nonclone/PasswordMasker.java,samples/java/nonclone/UserParser.java,NON_CLONE
neg_PasswordMasker__WordFrequency,samples/java/nonclone/PasswordMasker.java,samples/java/nonclone/WordFrequency.java,NON_CLONE
neg_PrimeCounter__RangeLimiter,samples/java/nonclone/PrimeCounter.java,samples/java/nonclone/RangeLimiter.java,NON_CLONE
neg_PrimeCounter__ScoreCalculator,samples/java/nonclone/PrimeCounter.java,samples/java/nonclone/ScoreCalculator.java,NON_CLONE
neg_PrimeCounter__SessionCleaner,samples/java/nonclone/PrimeCounter.java,samples/java/nonclone/SessionCleaner.java,NON_CLONE
neg_PrimeCounter__SlugBuilder,samples/java/nonclone/PrimeCounter.java,samples/java/nonclone/SlugBuilder.java,NON_CLONE
neg_PrimeCounter__TemperatureAlert,samples/java/nonclone/PrimeCounter.java,samples/java/nonclone/TemperatureAlert.java,NON_CLONE
neg_PrimeCounter__UserParser,samples/java/nonclone/PrimeCounter.java,samples/java/nonclone/UserParser.java,NON_CLONE
neg_PrimeCounter__WordFrequency,samples/java/nonclone/PrimeCounter.java,samples/java/nonclone/WordFrequency.java,NON_CLONE
neg_RangeLimiter__ScoreCalculator,samples/java/nonclone/RangeLimiter.java,samples/java/nonclone/ScoreCalculator.java,NON_CLONE
neg_RangeLimiter__SessionCleaner,samples/java/nonclone/RangeLimiter.java,samples/java/nonclone/SessionCleaner.java,NON_CLONE
neg_RangeLimiter__SlugBuilder,samples/java/nonclone/RangeLimiter.java,samples/java/nonclone/SlugBuilder.java,NON_CLONE
neg_RangeLimiter__TemperatureAlert,samples/java/nonclone/RangeLimiter.java,samples/java/nonclone/TemperatureAlert.java,NON_CLONE
neg_RangeLimiter__UserParser,samples/java/nonclone/RangeLimiter.java,samples/java/nonclone/UserParser.java,NON_CLONE
neg_RangeLimiter__WordFrequency,samples/java/nonclone/RangeLimiter.java,samples/java/nonclone/WordFrequency.java,NON_CLONE
neg_ScoreCalculator__SessionCleaner,samples/java/nonclone/ScoreCalculator.java,samples/java/nonclone/SessionCleaner.java,NON_CLONE
neg_ScoreCalculator__SlugBuilder,samples/java/nonclone/ScoreCalculator.java,samples/java/nonclone/SlugBuilder.java,NON_CLONE
neg_ScoreCalculator__TemperatureAlert,samples/java/nonclone/ScoreCalculator.java,samples/java/nonclone/TemperatureAlert.java,NON_CLONE
neg_ScoreCalculator__UserParser,samples/java/nonclone/ScoreCalculator.java,samples/java/nonclone/UserParser.java,NON_CLONE
neg_ScoreCalculator__WordFrequency,samples/java/nonclone/ScoreCalculator.java,samples/java/nonclone/WordFrequency.java,NON_CLONE
neg_SessionCleaner__SlugBuilder,samples/java/nonclone/SessionCleaner.java,samples/java/nonclone/SlugBuilder.java,NON_CLONE
neg_SessionCleaner__TemperatureAlert,samples/java/nonclone/SessionCleaner.java,samples/java/nonclone/TemperatureAlert.java,NON_CLONE
neg_SessionCleaner__UserParser,samples/java/nonclone/SessionCleaner.java,samples/java/nonclone/UserParser.java,NON_CLONE
neg_SessionCleaner__WordFrequency,samples/java/nonclone/SessionCleaner.java,samples/java/nonclone/WordFrequency.java,NON_CLONE
neg_SlugBuilder__TemperatureAlert,samples/java/nonclone/SlugBuilder.java,samples/java/nonclone/TemperatureAlert.java,NON_CLONE
neg_SlugBuilder__UserParser,samples/java/nonclone/SlugBuilder.java,samples/java/nonclone/UserParser.java,NON_CLONE
neg_SlugBuilder__WordFrequency,samples/java/nonclone/SlugBuilder.java,samples/java/nonclone/WordFrequency.java,NON_CLONE
neg_TemperatureAlert__UserParser,samples/java/nonclone/TemperatureAlert.java,samples/java/nonclone/UserParser.java,NON_CLONE
neg_TemperatureAlert__WordFrequency,samples/java/nonclone/TemperatureAlert.java,samples/java/nonclone/WordFrequency.java,NON_CLONE
neg_UserParser__WordFrequency,samples/java/nonclone/UserParser.java,samples/java/nonclone/WordFrequency.java,NON_CLONE
neg_java_long_nonclone_order_01,samples/java_long/java_long_nonclone_order_01_A.java,samples/java_long/java_long_nonclone_order_01_B.java,NON_CLONE
neg_java_long_nonclone_sensor_02,samples/java_long/java_long_nonclone_sensor_02_A.java,samples/java_long/java_long_nonclone_sensor_02_B.java,NON_CLONE
neg_java_long_nonclone_invoice_03,samples/java_long/java_long_nonclone_invoice_03_A.java,samples/java_long/java_long_nonclone_invoice_03_B.java,NON_CLONE
neg_java_long_nonclone_student_04,samples/java_long/java_long_nonclone_student_04_A.java,samples/java_long/java_long_nonclone_student_04_B.java,NON_CLONE
neg_java_long_nonclone_shipment_05,samples/java_long/java_long_nonclone_shipment_05_A.java,samples/java_long/java_long_nonclone_shipment_05_B.java,NON_CLONE
neg_java_long_nonclone_ticket_06,samples/java_long/java_long_nonclone_ticket_06_A.java,samples/java_long/java_long_nonclone_ticket_06_B.java,NON_CLONE
