project,pair_id,language,file_a,file_b,expected_type,expected_scope,transformation_tag,difficulty,expected_behavior,limitation_tag,notes
T3,java_t3_reverse_loop_07,JAVA,samples/java/t3/StatementBase.java,samples/java/t3/StatementReverseLoop.java,T3,FULL,CONTROL_FLOW_REORDER,L2,Should detect reordered loop traversal,THRESHOLDS_HEURISTIC,Index loop instead of enhanced loop
T3,java_t3_param_threshold_08,JAVA,samples/java/t3/StatementBase.java,samples/java/t3/StatementThresholdParam.java,T3,FULL,STATEMENT_INSERT_DELETE,L2,Should detect parameterized threshold modification,THRESHOLDS_HEURISTIC,Literal threshold becomes parameter
InternalHelper,java_t4_inline_helper_01,JAVA,samples/java/t4_internal_call/InlineScore.java,samples/java/t4_internal_call/HelperScore.java,T4_WEAK,FULL,INLINE_TO_HELPER,L1,Should detect similarity despite a small helper call,CALL_GRAPH_NOT_EXPANDED,Tests professor question about internal function calls
InternalHelper,java_t4_helper_inline_02,JAVA,samples/java/t4_internal_call/HelperScore.java,samples/java/t4_internal_call/InlineScore.java,T4_WEAK,FULL,HELPER_TO_INLINE,L1,Should behave symmetrically for helper-to-inline,CALL_GRAPH_NOT_EXPANDED,Reverse direction of inline helper pair
InternalHelper,java_t4_inline_guard_03,JAVA,samples/java/t4_internal_call/InlineGuard.java,samples/java/t4_internal_call/HelperGuard.java,T4_WEAK,FULL,INLINE_TO_HELPER,L1,Should detect helper predicate extraction,CALL_GRAPH_NOT_EXPANDED,Guard condition moved to helper
InternalHelper,java_t4_inline_tax_04,JAVA,samples/java/t4_internal_call/InlineTax.java,samples/java/t4_internal_call/HelperTax.java,T4_WEAK,FULL,INLINE_TO_HELPER,L2,Should detect extracted calculation helper,CALL_GRAPH_NOT_EXPANDED,Tax formula moved to helper
InternalHelper,java_t4_inline_normalize_05,JAVA,samples/java/t4_internal_call/InlineNormalize.java,samples/java/t4_internal_call/HelperNormalize.java,T4_WEAK,FULL,INLINE_TO_HELPER,L2,Should detect string normalization helper,CALL_GRAPH_NOT_EXPANDED,String cleanup moved to helper
InternalHelper,java_t4_inline_string_score_06,JAVA,samples/java/t4_internal_call/InlineStringScore.java,samples/java/t4_internal_call/HelperStringScore.java,T4_WEAK,FULL,INLINE_TO_HELPER,L2,Should detect char scoring helper,CALL_GRAPH_NOT_EXPANDED,Character predicate and value helper
InternalHelper,java_t4_inline_max_07,JAVA,samples/java/t4_internal_call/InlineMax.java,samples/java/t4_internal_call/HelperMax.java,T4_WEAK,FULL,INLINE_TO_HELPER,L1,Should detect max helper extraction,CALL_GRAPH_NOT_EXPANDED,Comparison moved to helper
InternalHelper,java_t4_inline_discount_08,JAVA,samples/java/t4_internal_call/InlineDiscount.java,samples/java/t4_internal_call/HelperDiscount.java,T4_WEAK,FULL,INLINE_TO_HELPER,L2,Should detect discount helper extraction,CALL_GRAPH_NOT_EXPANDED,Branch calculation moved to helper
MethodRefactor,java_t4_extract_method_01,JAVA,samples/java/t4_internal_call/InlineFilterSort.java,samples/java/t4_internal_call/HelperFilterSort.java,T4_WEAK,FULL,EXTRACT_METHOD,L2,Should detect similarity when main loop is extracted,CALL_GRAPH_NOT_EXPANDED,One-to-many method organization
MethodRefactor,java_t4_merge_methods_02,JAVA,samples/java/t4_internal_call/HelperFilterSort.java,samples/java/t4_internal_call/InlineFilterSort.java,T4_WEAK,FULL,MERGE_METHODS,L2,Should detect similarity when helpers are merged,CALL_GRAPH_NOT_EXPANDED,Many-to-one method organization
MethodRefactor,java_t4_extract_order_03,JAVA,samples/java/t4_internal_call/InlineOrderTotal.java,samples/java/t4_internal_call/ExtractOrderTotal.java,T4_WEAK,FULL,EXTRACT_METHOD,L2,Should detect extracted subtotal logic,CALL_GRAPH_NOT_EXPANDED,Subtotal helper extraction
MethodRefactor,java_t4_merge_order_04,JAVA,samples/java/t4_internal_call/ExtractOrderTotal.java,samples/java/t4_internal_call/InlineOrderTotal.java,T4_WEAK,FULL,MERGE_METHODS,L2,Should detect merged subtotal logic,CALL_GRAPH_NOT_EXPANDED,Reverse subtotal helper
MethodRefactor,java_t4_extract_stats_05,JAVA,samples/java/t4_internal_call/InlineStats.java,samples/java/t4_internal_call/ExtractStats.java,T4_WEAK,FULL,EXTRACT_METHOD,L2,Should detect extracted average helper,CALL_GRAPH_NOT_EXPANDED,Average and count helpers
MethodRefactor,java_t4_merge_stats_06,JAVA,samples/java/t4_internal_call/ExtractStats.java,samples/java/t4_internal_call/InlineStats.java,T4_WEAK,FULL,MERGE_METHODS,L2,Should detect merged average helper,CALL_GRAPH_NOT_EXPANDED,Reverse stats helper
MethodRefactor,java_t4_extract_join_07,JAVA,samples/java/t4_internal_call/InlineSanitizeJoin.java,samples/java/t4_internal_call/ExtractSanitizeJoin.java,T4_WEAK,FULL,EXTRACT_METHOD,L2,Should detect extracted sanitizer helper,CALL_GRAPH_NOT_EXPANDED,String sanitizer helper
MethodRefactor,java_t4_merge_join_08,JAVA,samples/java/t4_internal_call/ExtractSanitizeJoin.java,samples/java/t4_internal_call/InlineSanitizeJoin.java,T4_WEAK,FULL,MERGE_METHODS,L2,Should detect merged sanitizer helper,CALL_GRAPH_NOT_EXPANDED,Reverse sanitizer helper
CallChain,java_t4_call_chain_01,JAVA,samples/java/t4_internal_call/InlinePipeline.java,samples/java/t4_internal_call/CallChainPipeline.java,T4_WEAK,MIXED,CALL_CHAIN_REFACTOR,L3,Should expose weak similarity and call graph limitation,CALL_GRAPH_NOT_EXPANDED,Multiple internal helper calls
CallChain,java_t4_call_chain_auth_02,JAVA,samples/java/t4_internal_call/InlineAuth.java,samples/java/t4_internal_call/CallChainAuth.java,T4_WEAK,MIXED,CALL_CHAIN_REFACTOR,L3,Should detect auth workflow split into helpers,CALL_GRAPH_NOT_EXPANDED,Validate normalize check sequence
CallChain,java_t4_call_chain_invoice_03,JAVA,samples/java/t4_internal_call/InlineInvoice.java,samples/java/t4_internal_call/CallChainInvoice.java,T4_WEAK,MIXED,CALL_CHAIN_REFACTOR,L3,Should detect invoice workflow split,CALL_GRAPH_NOT_EXPANDED,Subtotal tax discount helpers
CallChain,java_t4_call_chain_text_04,JAVA,samples/java/t4_internal_call/InlineTextClean.java,samples/java/t4_internal_call/CallChainTextClean.java,T4_WEAK,MIXED,CALL_CHAIN_REFACTOR,L3,Should detect text cleanup chain,CALL_GRAPH_NOT_EXPANDED,Normalize filter compact helpers
CallChain,java_t4_call_chain_risk_05,JAVA,samples/java/t4_internal_call/InlineRiskScore.java,samples/java/t4_internal_call/CallChainRiskScore.java,T4_WEAK,MIXED,CALL_CHAIN_REFACTOR,L3,Should detect risk scoring chain,CALL_GRAPH_NOT_EXPANDED,Several helper stages
SemanticDifficult,java_semantic_recursion_iteration_01,JAVA,samples/java/t4_internal_call/RecursiveSum.java,samples/java/t4_internal_call/IterativeSum.java,INCONCLUSIVE,UNKNOWN,RECURSION_VS_ITERATION,L4,May fail without dynamic or semantic reasoning,T4_WEAK_NOT_SEMANTIC_PROOF,Semantic equivalence is not proven statically
SemanticDifficult,java_semantic_recursive_max_02,JAVA,samples/java/t4_internal_call/RecursiveMax.java,samples/java/t4_internal_call/IterativeMax.java,INCONCLUSIVE,UNKNOWN,RECURSION_VS_ITERATION,L4,May fail without dynamic or semantic reasoning,T4_WEAK_NOT_SEMANTIC_PROOF,Recursive max vs loop max
SemanticDifficult,java_semantic_set_bool_03,JAVA,samples/java/t4_internal_call/SetUnique.java,samples/java/t4_internal_call/BooleanArrayUnique.java,INCONCLUSIVE,UNKNOWN,DATA_STRUCTURE_SWAP,L4,Should expose data-structure semantic limitation,T4_WEAK_NOT_SEMANTIC_PROOF,Set vs boolean array
SemanticDifficult,java_semantic_sort_stream_04,JAVA,samples/java/t4_internal_call/SortThenScan.java,samples/java/t4_internal_call/StreamDistinct.java,INCONCLUSIVE,UNKNOWN,API_EQUIVALENT_USAGE,L4,Should expose API-equivalent limitation,T4_WEAK_NOT_SEMANTIC_PROOF,Loop sorting vs stream usage
SemanticDifficult,java_semantic_loop_set_05,JAVA,samples/java/t4_internal_call/LoopContains.java,samples/java/t4_internal_call/SetContains.java,INCONCLUSIVE,UNKNOWN,DATA_STRUCTURE_SWAP,L4,Should expose lookup data-structure limitation,T4_WEAK_NOT_SEMANTIC_PROOF,Linear scan vs set lookup
SemanticDifficult,java_semantic_dfs_06,JAVA,samples/java/t4_internal_call/RecursiveDepth.java,samples/java/t4_internal_call/IterativeDepth.java,INCONCLUSIVE,UNKNOWN,RECURSION_VS_ITERATION,L4,Should expose DFS semantic limitation,T4_WEAK_NOT_SEMANTIC_PROOF,Recursive depth vs stack
SemanticDifficult,java_semantic_reverse_07,JAVA,samples/java/t4_internal_call/StringBuilderReverse.java,samples/java/t4_internal_call/CharArrayReverse.java,INCONCLUSIVE,UNKNOWN,DATA_STRUCTURE_SWAP,L4,Should expose implementation-equivalent limitation,T4_WEAK_NOT_SEMANTIC_PROOF,Two string reverse implementations
SemanticDifficult,java_semantic_count_08,JAVA,samples/java/t4_internal_call/MapCount.java,samples/java/t4_internal_call/ArrayCount.java,INCONCLUSIVE,UNKNOWN,DATA_STRUCTURE_SWAP,L4,Should expose counting data-structure limitation,T4_WEAK_NOT_SEMANTIC_PROOF,Map vs fixed array
NonClone,java_nonclone_01,JAVA,samples/java/nonclone/ScoreCalculator.java,samples/java/nonclone/UserParser.java,NON_CLONE,UNKNOWN,UNRELATED,L1,Should reject unrelated code,,Different problem domains
NonClone,java_nonclone_api_overlap_02,JAVA,samples/java/nonclone/ListPrinter.java,samples/java/nonclone/NameCollector.java,NON_CLONE,UNKNOWN,API_EQUIVALENT_USAGE,L2,Should avoid false positive from light API overlap,THRESHOLDS_HEURISTIC,Both use List but tasks differ
NonClone,java_nonclone_sorting_03,JAVA,samples/java/nonclone/GradeSorter.java,samples/java/nonclone/WordFrequency.java,NON_CLONE,UNKNOWN,API_EQUIVALENT_USAGE,L2,Should avoid false positive from collection usage,THRESHOLDS_HEURISTIC,Collections and maps in different tasks
NonClone,java_nonclone_loop_04,JAVA,samples/java/nonclone/TemperatureAlert.java,samples/java/nonclone/PasswordMasker.java,NON_CLONE,UNKNOWN,UNRELATED,L1,Should reject generic loop overlap,,Generic loops but unrelated output
NonClone,java_nonclone_string_05,JAVA,samples/java/nonclone/CsvColumnPicker.java,samples/java/nonclone/SlugBuilder.java,NON_CLONE,UNKNOWN,API_EQUIVALENT_USAGE,L2,Should reject string API overlap,THRESHOLDS_HEURISTIC,String APIs overlap
NonClone,java_nonclone_numbers_06,JAVA,samples/java/nonclone/PrimeCounter.java,samples/java/nonclone/BudgetBalancer.java,NON_CLONE,UNKNOWN,UNRELATED,L2,Should reject numeric loop overlap,,Numeric loops have different meaning
NonClone,java_nonclone_maps_07,JAVA,samples/java/nonclone/InventoryLookup.java,samples/java/nonclone/SessionCleaner.java,NON_CLONE,UNKNOWN,API_EQUIVALENT_USAGE,L2,Should reject map API overlap,THRESHOLDS_HEURISTIC,Map APIs overlap
NonClone,java_nonclone_validation_08,JAVA,samples/java/nonclone/EmailValidator.java,samples/java/nonclone/RangeLimiter.java,NON_CLONE,UNKNOWN,UNRELATED,L1,Should reject validation pattern overlap,,Guard clauses but unrelated semantics
