project,pair_id,language,file_a,file_b,expected_type,expected_scope,transformation_tag,difficulty,expected_behavior,limitation_tag,notes
LongCallChain,java_long_call_chain_student_04,JAVA,samples/java_long/java_long_call_chain_student_04_A.java,samples/java_long/java_long_call_chain_student_04_B.java,T4_WEAK,MIXED,CALL_CHAIN_REFACTOR,L4,Should expose whether a long call-chain refactor remains connected.,CALL_GRAPH_NOT_EXPANDED,Main workflow is split into staged internal calls.
LongNonClone,java_long_nonclone_student_04,JAVA,samples/java_long/java_long_nonclone_student_04_A.java,samples/java_long/java_long_nonclone_student_04_B.java,NON_CLONE,UNKNOWN,UNRELATED,L3,Should reject long unrelated programs with generic loop/API overlap.,THRESHOLDS_HEURISTIC,Both files are long and loop-heavy but solve different problems.
LongT1,java_long_t1_shipment_05,JAVA,samples/java_long/java_long_t1_shipment_05_A.java,samples/java_long/java_long_t1_shipment_05_B.java,T1,FULL,CONTROL_FLOW_REORDER,L2,Should detect a long near-identical clone with comment and spacing changes.,,Long exact-style clone; comments and formatting differ.
LongT2,java_long_t2_shipment_05,JAVA,samples/java_long/java_long_t2_shipment_05_A.java,samples/java_long/java_long_t2_shipment_05_B.java,T2,FULL,RENAMING,L2,Should detect a long renamed clone.,THRESHOLDS_HEURISTIC,"Long class with renamed class, methods, parameters, and locals."
LongT3,java_long_t3_shipment_05,JAVA,samples/java_long/java_long_t3_shipment_05_A.java,samples/java_long/java_long_t3_shipment_05_B.java,T3,FULL,STATEMENT_INSERT_DELETE,L3,Should detect a long modified clone with added branches and threshold changes.,THRESHOLDS_HEURISTIC,Long Type-3 clone with guard insertion and scoring edits.
LongInternalHelper,java_long_helper_shipment_05,JAVA,samples/java_long/java_long_helper_shipment_05_A.java,samples/java_long/java_long_helper_shipment_05_B.java,T4_WEAK,FULL,INLINE_TO_HELPER,L3,Should keep evidence when repeated inline checks are moved into helpers.,CALL_GRAPH_NOT_EXPANDED,Long inline-to-helper extraction case.
LongCallChain,java_long_call_chain_shipment_05,JAVA,samples/java_long/java_long_call_chain_shipment_05_A.java,samples/java_long/java_long_call_chain_shipment_05_B.java,T4_WEAK,MIXED,CALL_CHAIN_REFACTOR,L4,Should expose whether a long call-chain refactor remains connected.,CALL_GRAPH_NOT_EXPANDED,Main workflow is split into staged internal calls.
LongNonClone,java_long_nonclone_shipment_05,JAVA,samples/java_long/java_long_nonclone_shipment_05_A.java,samples/java_long/java_long_nonclone_shipment_05_B.java,NON_CLONE,UNKNOWN,UNRELATED,L3,Should reject long unrelated programs with generic loop/API overlap.,THRESHOLDS_HEURISTIC,Both files are long and loop-heavy but solve different problems.
LongT1,java_long_t1_ticket_06,JAVA,samples/java_long/java_long_t1_ticket_06_A.java,samples/java_long/java_long_t1_ticket_06_B.java,T1,FULL,CONTROL_FLOW_REORDER,L2,Should detect a long near-identical clone with comment and spacing changes.,,Long exact-style clone; comments and formatting differ.
LongT2,java_long_t2_ticket_06,JAVA,samples/java_long/java_long_t2_ticket_06_A.java,samples/java_long/java_long_t2_ticket_06_B.java,T2,FULL,RENAMING,L2,Should detect a long renamed clone.,THRESHOLDS_HEURISTIC,"Long class with renamed class, methods, parameters, and locals."
LongT3,java_long_t3_ticket_06,JAVA,samples/java_long/java_long_t3_ticket_06_A.java,samples/java_long/java_long_t3_ticket_06_B.java,T3,FULL,STATEMENT_INSERT_DELETE,L3,Should detect a long modified clone with added branches and threshold changes.,THRESHOLDS_HEURISTIC,Long Type-3 clone with guard insertion and scoring edits.
LongInternalHelper,java_long_helper_ticket_06,JAVA,samples/java_long/java_long_helper_ticket_06_A.java,samples/java_long/java_long_helper_ticket_06_B.java,T4_WEAK,FULL,INLINE_TO_HELPER,L3,Should keep evidence when repeated inline checks are moved into helpers.,CALL_GRAPH_NOT_EXPANDED,Long inline-to-helper extraction case.
LongCallChain,java_long_call_chain_ticket_06,JAVA,samples/java_long/java_long_call_chain_ticket_06_A.java,samples/java_long/java_long_call_chain_ticket_06_B.java,T4_WEAK,MIXED,CALL_CHAIN_REFACTOR,L4,Should expose whether a long call-chain refactor remains connected.,CALL_GRAPH_NOT_EXPANDED,Main workflow is split into staged internal calls.
LongNonClone,java_long_nonclone_ticket_06,JAVA,samples/java_long/java_long_nonclone_ticket_06_A.java,samples/java_long/java_long_nonclone_ticket_06_B.java,NON_CLONE,UNKNOWN,UNRELATED,L3,Should reject long unrelated programs with generic loop/API overlap.,THRESHOLDS_HEURISTIC,Both files are long and loop-heavy but solve different problems.
