pair_id,region_index,expected,operator,analysis_mode,status,left_begin,left_end,right_begin,right_end,detected,primary_type,type_correct,coverage_min,precision_min,iou_min,box_coverage_min,box_precision_min,box_iou_min,box_detected,predictions
R00013,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,8,16,8,16,True,T3,False,1.0,0.2432,0.2432,1.0,0.2432,0.2432,True,1
R00013,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,24,31,24,31,True,T3,True,1.0,0.2162,0.2162,1.0,0.2162,0.2162,True,1
R00014,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,6,11,6,11,True,T3,False,1.0,0.2727,0.2727,1.0,0.2727,0.2727,True,1
R00014,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,15,23,15,23,True,T3,True,1.0,0.4091,0.4091,1.0,0.4091,0.4091,True,1
R00015,0,T2,rename_local_x2,SOURCE_PLUS_WALA_SMT,ok,8,13,8,13,True,T3,False,1.0,0.2308,0.2308,1.0,0.2308,0.2308,True,1
R00015,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,17,27,17,27,True,T3,True,1.0,0.4231,0.4231,1.0,0.4231,0.4231,True,1
R00016,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,34,42,34,42,True,T3,False,1.0,0.2308,0.2308,1.0,0.1915,0.1915,True,1
R00016,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,46,61,46,61,True,T3,True,1.0,0.4103,0.4103,1.0,0.3404,0.3404,True,1
R00017,0,T2,rename_local_x2,SOURCE_PLUS_WALA_SMT,ok,11,20,11,20,True,T3,False,1.0,0.2222,0.2222,1.0,0.1923,0.1923,True,1
R00017,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,24,30,24,30,True,T3,True,1.0,0.1556,0.1556,1.0,0.1346,0.1346,True,1
R00018,0,T2,rename_local_x5,SOURCE_PLUS_WALA_SMT,ok,16,32,16,32,True,T3,False,1.0,0.1545,0.1545,1.0,0.1104,0.1104,True,1
R00018,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,110,116,110,117,True,T3,True,1.0,0.0642,0.0642,1.0,0.0458,0.0458,True,1
R00019,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,26,31,26,31,True,T3,False,0.8333,0.082,0.0806,1.0,0.0625,0.0625,True,1
R00019,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,87,94,87,95,True,T3,True,0.875,0.1167,0.1148,1.0,0.0842,0.0842,True,1
R00020,0,T2,rename_local_x3,SOURCE_PLUS_WALA_SMT,ok,101,115,101,115,True,T2,True,0.9333,0.7,0.6667,0.9333,0.5833,0.56,True,6
R00020,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,152,157,152,158,True,T3,True,1.0,0.4615,0.4615,1.0,0.4615,0.4615,True,6
R00021,0,T2,rename_local_x2,SOURCE_PLUS_WALA_SMT,ok,9,27,9,27,True,T3,False,1.0,0.4318,0.4318,1.0,0.4318,0.4318,True,1
R00021,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,33,42,33,43,True,T3,True,1.0,0.2326,0.2326,1.0,0.2326,0.2326,True,1
R00022,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,13,23,13,23,True,T3,False,1.0,0.1294,0.1294,1.0,0.0917,0.0917,True,1
R00022,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,98,105,98,105,True,T3,True,1.0,0.0941,0.0941,1.0,0.0667,0.0667,True,1
R00023,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,13,21,13,21,True,T3,False,1.0,0.1268,0.1268,1.0,0.0811,0.0811,True,1
R00023,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,98,104,98,105,True,T3,True,1.0,0.1,0.1,1.0,0.0636,0.0636,True,1
R00024,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,29,35,29,35,True,T3,False,0.8571,0.1667,0.1622,1.0,0.1556,0.1556,True,1
R00024,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,43,50,43,51,True,T3,True,1.0,0.2286,0.2286,1.0,0.1818,0.1818,True,1
R00025,0,T2,rename_local_x2,SOURCE_PLUS_WALA_SMT,ok,8,14,8,14,True,T3,False,1.0,0.0714,0.0714,1.0,0.0263,0.0263,True,1
R00025,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,196,201,196,202,True,T3,True,1.0,0.0619,0.0619,1.0,0.0226,0.0226,True,1
R00026,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,7,18,7,18,True,T3,False,0.8333,0.3704,0.3448,1.0,0.375,0.375,True,1
R00026,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,24,30,24,30,True,T3,True,1.0,0.2593,0.2593,1.0,0.2188,0.2188,True,1
R00027,0,T2,rename_local_x3,SOURCE_PLUS_WALA_SMT,ok,17,31,17,30,True,T2,True,1.0,0.4,0.4,1.0,0.1094,0.1094,True,2
R00027,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,93,98,92,97,False,,False,0.0,0.0,0.0,1.0,0.0469,0.0469,True,2
R00028,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,8,15,8,15,True,T3,False,0.875,0.1522,0.1489,1.0,0.16,0.16,True,1
R00028,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,20,36,20,37,True,T3,True,0.9412,0.3556,0.3478,1.0,0.3469,0.3469,True,1
R00029,0,T2,rename_local_x2,SOURCE_PLUS_WALA_SMT,ok,45,52,45,52,False,,False,0.0,0.0,0.0,1.0,0.0899,0.0899,True,2
R00029,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,106,111,106,112,True,T3,True,0.8333,0.5,0.4545,1.0,0.5455,0.5455,True,2
R00030,0,T2,rename_local_x2,SOURCE_PLUS_WALA_SMT,ok,10,16,10,16,True,T3,False,1.0,0.3043,0.3043,1.0,0.3043,0.3043,True,1
R00030,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,20,26,20,26,True,T3,True,1.0,0.3043,0.3043,1.0,0.3043,0.3043,True,1
R00031,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,7,17,7,17,True,T3,False,1.0,0.3667,0.3667,1.0,0.3667,0.3667,True,1
R00031,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,22,27,22,28,True,T3,True,1.0,0.2069,0.2069,1.0,0.2069,0.2069,True,1
R00032,0,T2,rename_local_x2,SOURCE_PLUS_WALA_SMT,ok,13,21,13,21,True,T3,False,1.0,0.0978,0.0978,1.0,0.0647,0.0647,True,1
R00032,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,114,119,114,120,True,T3,True,1.0,0.0659,0.0659,1.0,0.0435,0.0435,True,1
R00033,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,8,13,8,13,True,T3,False,1.0,0.0638,0.0638,1.0,0.0375,0.0375,True,1
R00033,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,147,152,147,153,True,T3,True,1.0,0.0645,0.0645,1.0,0.0377,0.0377,True,1
R00034,0,T2,rename_local_x2,SOURCE_PLUS_WALA_SMT,ok,11,22,11,22,True,T3,False,1.0,0.1091,0.1091,1.0,0.0638,0.0638,True,1
R00034,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,162,167,162,168,True,T3,True,0.8333,0.0459,0.0455,1.0,0.0321,0.0321,True,1
R00035,0,T2,rename_local_x3,SOURCE_PLUS_WALA_SMT,ok,7,12,7,12,True,T3,False,1.0,0.1091,0.1091,1.0,0.0645,0.0645,True,1
R00035,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,24,30,24,30,True,T3,True,1.0,0.1273,0.1273,1.0,0.0753,0.0753,True,1
R00036,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,31,40,31,40,True,T3,False,1.0,0.1266,0.1266,1.0,0.0877,0.0877,True,1
R00036,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,93,98,93,98,True,T3,True,1.0,0.0759,0.0759,1.0,0.0526,0.0526,True,1
R00037,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,18,25,18,25,True,T2,True,1.0,0.2857,0.2857,1.0,0.0625,0.0625,True,2
R00037,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,89,94,89,94,False,,False,0.0,0.0,0.0,1.0,0.0469,0.0469,True,2
R00038,0,T2,rename_local_x3,SOURCE_PLUS_WALA_SMT,ok,54,65,54,65,True,T2,True,1.0,0.4,0.4,1.0,0.2222,0.2222,True,3
R00038,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,112,117,112,118,True,T3,True,1.0,0.0723,0.0723,1.0,0.0438,0.0438,True,3
R00039,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,12,19,12,19,False,,False,0.125,0.0417,0.0323,0.125,0.0357,0.0286,False,1
R00039,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,28,39,28,39,True,T3,True,1.0,0.5,0.5,1.0,0.4286,0.4286,True,1
R00040,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,8,13,8,13,True,T3,False,0.8333,0.2273,0.2174,0.8333,0.2083,0.2,True,1
R00040,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,22,27,22,28,True,T3,True,0.8333,0.2381,0.2273,1.0,0.2609,0.2609,True,1
R00041,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,32,43,32,43,True,T3,False,1.0,0.1558,0.1558,1.0,0.0889,0.0889,True,1
R00041,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,95,100,95,100,True,T3,True,1.0,0.0779,0.0779,1.0,0.0444,0.0444,True,1
R00042,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,6,11,6,11,True,T3,False,1.0,0.24,0.24,1.0,0.24,0.24,True,1
R00042,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,17,25,17,26,True,T3,True,1.0,0.375,0.375,1.0,0.375,0.375,True,1
R00043,0,T2,rename_local_x3,SOURCE_PLUS_WALA_SMT,ok,9,14,9,14,True,T2,True,1.0,0.2222,0.2222,1.0,0.075,0.075,True,3
R00043,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,46,53,46,53,False,,False,0.0,0.0,0.0,1.0,0.1,0.1,True,3
R00044,0,T2,rename_local_x4,SOURCE_PLUS_WALA_SMT,ok,10,29,10,29,True,T3,False,1.0,0.3774,0.3774,1.0,0.3704,0.3704,True,1
R00044,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,37,42,37,42,True,T3,True,1.0,0.1132,0.1132,1.0,0.1111,0.1111,True,1
R00045,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,6,12,6,12,True,T3,False,1.0,0.25,0.25,1.0,0.1892,0.1892,True,1
R00045,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,27,37,27,38,True,T3,True,0.9091,0.3704,0.3571,1.0,0.3056,0.3056,True,1
R00046,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,10,17,10,17,True,T3,False,1.0,0.2424,0.2424,1.0,0.2424,0.2424,True,1
R00046,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,21,36,21,37,True,T3,True,1.0,0.5,0.5,1.0,0.5,0.5,True,1
R00047,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,30,115,30,115,True,T3,False,1.0,0.6515,0.6515,1.0,0.6277,0.6277,True,1
R00047,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,125,130,125,131,True,T3,True,1.0,0.0458,0.0458,1.0,0.0441,0.0441,True,1
R00048,0,T2,rename_local_x3,SOURCE_PLUS_WALA_SMT,ok,7,12,7,12,True,T3,False,1.0,0.1132,0.1132,1.0,0.0652,0.0652,True,1
R00048,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,23,29,23,29,True,T3,True,1.0,0.1321,0.1321,1.0,0.0761,0.0761,True,1
R00049,0,T2,rename_local_x2,SOURCE_PLUS_WALA_SMT,ok,13,23,13,23,True,T3,False,1.0,0.3056,0.3056,1.0,0.2821,0.2821,True,1
R00049,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,33,38,33,39,True,T3,True,1.0,0.1714,0.1714,1.0,0.1579,0.1579,True,1
R00050,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,8,14,8,14,True,T3,False,1.0,0.1842,0.1842,1.0,0.1707,0.1707,True,1
R00050,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,27,37,27,38,True,T3,True,1.0,0.2973,0.2973,1.0,0.275,0.275,True,1
R00051,0,T2,rename_local_x2,SOURCE_PLUS_WALA_SMT,ok,31,36,31,36,True,T3,False,1.0,0.0833,0.0833,1.0,0.0472,0.0472,True,1
R00051,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,83,88,83,89,True,T3,True,1.0,0.0845,0.0845,1.0,0.0476,0.0476,True,1
R00052,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,27,39,27,39,True,T3,False,1.0,0.1912,0.1912,1.0,0.1912,0.1912,True,4
R00052,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,57,81,57,82,True,T3,True,1.0,0.3731,0.3731,1.0,0.3731,0.3731,True,4
R00053,0,T2,rename_local_x5,SOURCE_PLUS_WALA_SMT,ok,6,11,6,11,False,,False,0.3333,0.1538,0.1176,0.3333,0.1,0.0833,False,1
R00053,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,16,22,16,22,True,T3,True,0.7143,0.3846,0.3333,1.0,0.35,0.35,True,1
R00054,0,T2,rename_local_x5,SOURCE_PLUS_WALA_SMT,ok,6,13,6,13,False,,False,0.125,0.0385,0.0303,0.125,0.0357,0.0286,False,1
R00054,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,23,38,23,38,True,T3,True,1.0,0.6154,0.6154,1.0,0.5714,0.5714,True,1
R00055,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,7,17,7,17,True,T3,False,1.0,0.1618,0.1618,1.0,0.1038,0.1038,True,1
R00055,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,37,43,37,43,True,T3,True,1.0,0.1029,0.1029,1.0,0.066,0.066,True,1
R00056,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,15,22,15,22,True,T3,False,1.0,0.08,0.08,1.0,0.0556,0.0556,True,1
R00056,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,100,106,100,107,True,T3,True,1.0,0.0707,0.0707,1.0,0.049,0.049,True,1
R00057,0,T2,rename_local_x5,SOURCE_PLUS_WALA_SMT,ok,10,24,10,24,True,T3,False,0.9333,0.1728,0.1707,1.0,0.1145,0.1145,True,1
R00057,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,105,111,105,112,True,T3,True,1.0,0.0875,0.0875,1.0,0.0538,0.0538,True,1
R00058,0,T2,rename_local_x4,SOURCE_PLUS_WALA_SMT,ok,7,14,7,14,True,T3,False,1.0,0.0714,0.0714,1.0,0.0462,0.0462,True,1
R00058,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,116,121,116,122,True,T3,True,1.0,0.0541,0.0541,1.0,0.0349,0.0349,True,1
R00059,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,15,20,15,20,True,T2,True,1.0,0.1818,0.1818,1.0,0.0455,0.0455,True,2
R00059,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,91,96,91,96,False,,False,0.0,0.0,0.0,1.0,0.0455,0.0455,True,2
R00060,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,9,15,9,15,True,T3,False,1.0,0.2593,0.2593,1.0,0.2059,0.2059,True,1
R00060,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,23,28,23,28,True,T3,True,1.0,0.2222,0.2222,1.0,0.1765,0.1765,True,1
R00061,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,30,44,30,44,True,T3,False,1.0,0.1899,0.1899,1.0,0.1163,0.1163,True,1
R00061,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,119,124,119,125,True,T3,True,1.0,0.0769,0.0769,1.0,0.0469,0.0469,True,1
R00062,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,31,38,31,38,True,T3,False,1.0,0.1667,0.1667,1.0,0.1096,0.1096,True,1
R00062,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,68,79,68,79,True,T3,True,1.0,0.25,0.25,1.0,0.1644,0.1644,True,1
R00063,0,T2,rename_local_x2,SOURCE_PLUS_WALA_SMT,ok,20,25,20,25,True,T3,False,1.0,0.069,0.069,1.0,0.0408,0.0408,True,1
R00063,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,146,151,146,151,True,T3,True,0.8333,0.0575,0.0568,1.0,0.0408,0.0408,True,1
R00064,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,21,35,21,35,True,T3,False,1.0,0.1786,0.1786,1.0,0.0872,0.0872,True,1
R00064,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,150,156,150,156,True,T3,True,1.0,0.0833,0.0833,1.0,0.0407,0.0407,True,1
R00065,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,10,18,10,18,True,T3,False,1.0,0.1139,0.1139,1.0,0.0763,0.0763,True,1
R00065,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,89,95,89,96,True,T3,True,1.0,0.0897,0.0897,1.0,0.0598,0.0598,True,1
R00066,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,13,21,13,21,True,T3,False,1.0,0.0909,0.0909,1.0,0.0629,0.0629,True,1
R00066,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,96,102,96,103,True,T3,True,1.0,0.0714,0.0714,1.0,0.0493,0.0493,True,1
R00067,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,10,18,10,18,True,T3,False,1.0,0.1636,0.1636,1.0,0.1636,0.1636,True,1
R00067,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,24,30,24,30,True,T3,True,1.0,0.1273,0.1273,1.0,0.1273,0.1273,True,1
R00068,0,T2,rename_local_x2,SOURCE_PLUS_WALA_SMT,ok,9,14,9,14,True,T3,False,1.0,0.0938,0.0938,1.0,0.0588,0.0588,True,1
R00068,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,89,95,89,95,True,T3,True,1.0,0.1094,0.1094,1.0,0.0686,0.0686,True,1
R00069,0,T2,rename_local_x5,SOURCE_PLUS_WALA_SMT,ok,12,18,12,18,True,T2,True,1.0,0.3043,0.3043,1.0,0.0603,0.0603,True,2
R00069,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,80,85,80,85,False,,False,0.0,0.0,0.0,1.0,0.0517,0.0517,True,2
R00070,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,17,23,17,23,True,T3,False,1.0,0.0737,0.0737,1.0,0.0496,0.0496,True,1
R00070,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,98,104,98,104,True,T3,True,1.0,0.0737,0.0737,1.0,0.0496,0.0496,True,1
R00071,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,7,12,7,12,True,T3,False,1.0,0.1429,0.1429,1.0,0.1333,0.1333,True,1
R00071,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,26,31,26,32,True,T3,True,1.0,0.1463,0.1463,1.0,0.1364,0.1364,True,1
R00072,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,20,27,20,27,True,T3,False,1.0,0.2424,0.2424,1.0,0.2162,0.2162,True,1
R00072,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,31,40,31,40,True,T3,True,1.0,0.303,0.303,1.0,0.2703,0.2703,True,1
R00073,0,T2,rename_local_x2,SOURCE_PLUS_WALA_SMT,ok,6,14,6,14,True,T3,False,1.0,0.2368,0.2368,1.0,0.2368,0.2368,True,1
R00073,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,22,29,22,29,True,T3,True,1.0,0.2105,0.2105,1.0,0.2105,0.2105,True,1
R00074,0,T2,rename_local_x2,SOURCE_PLUS_WALA_SMT,ok,9,33,9,33,True,T3,False,1.0,0.3333,0.3333,1.0,0.3333,0.3333,True,1
R00074,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,48,53,48,54,True,T3,True,1.0,0.0811,0.0811,1.0,0.0811,0.0811,True,1
R00075,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,15,48,15,48,True,T3,False,0.9706,0.4521,0.4459,1.0,0.382,0.382,True,1
R00075,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,84,93,84,93,True,T3,True,1.0,0.137,0.137,1.0,0.1124,0.1124,True,1
R00076,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,9,14,9,14,True,T3,False,1.0,0.0606,0.0606,1.0,0.042,0.042,True,1
R00076,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,79,84,79,85,True,T3,True,1.0,0.0612,0.0612,1.0,0.0423,0.0423,True,1
R00077,0,T2,rename_local_x2,SOURCE_PLUS_WALA_SMT,ok,33,53,33,53,True,T3,False,1.0,0.2333,0.2333,1.0,0.168,0.168,True,1
R00077,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,104,109,104,110,True,T3,True,1.0,0.0674,0.0674,1.0,0.0484,0.0484,True,1
R00078,0,T2,rename_local_x3,SOURCE_PLUS_WALA_SMT,ok,8,25,8,25,True,T3,False,1.0,0.439,0.439,1.0,0.4091,0.4091,True,1
R00078,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,35,41,35,41,True,T3,True,1.0,0.1707,0.1707,1.0,0.1591,0.1591,True,1
R00079,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,9,15,9,15,True,T3,False,1.0,0.25,0.25,1.0,0.2414,0.2414,True,1
R00079,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,22,30,22,31,True,T3,True,1.0,0.3333,0.3333,1.0,0.3214,0.3214,True,1
R00080,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,26,31,26,31,True,T3,False,1.0,0.0541,0.0541,1.0,0.0382,0.0382,True,1
R00080,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,112,118,112,119,True,T3,True,1.0,0.0636,0.0636,1.0,0.0449,0.0449,True,1
R00081,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,108,116,108,116,True,T3,False,1.0,0.0677,0.0677,1.0,0.0386,0.0386,True,1
