pair_id,operator,clone_type,seed_file,host_left,host_right,left_clone_begin,left_clone_end,right_clone_begin,right_clone_end,left_mutation_begin,left_mutation_end,changed_lines,expected_type
mDL_00002,mDL,T3,p02390/s330236122.java,s476044351.java,s253920028.java,45,58,9,22,69,69,1,T3
mDL_00003,mDL,T3,p02753/s376293836.java,s098829587.java,s233769737.java,38,55,10,26,55,55,1,T3
mDL_00004,mDL,T3,p03324/s823357695.java,s959084736.java,s076833911.java,70,97,7,33,85,85,1,T3
mDL_00005,mDL,T3,p03087/s844928209.java,s115388692.java,s796530041.java,109,139,9,38,121,121,1,T3
mDL_00007,mDL,T3,p02707/s301150255.java,s798213904.java,s161900426.java,7,27,21,40,28,28,1,T3
mDL_00008,mDL,T3,p02260/s585284396.java,s631387403.java,s897423140.java,5,52,43,89,48,48,1,T3
mIL_00000,mIL,T3,p02390/s330236122.java,s879289801.java,s898300423.java,46,59,128,142,60,60,1,T3
mIL_00001,mIL,T3,p03324/s823357695.java,s659404692.java,s233682876.java,92,119,10,38,103,103,1,T3
mIL_00004,mIL,T3,p02707/s301150255.java,s124738790.java,s675675267.java,13,33,46,67,30,30,1,T3
mIL_00005,mIL,T3,p02260/s585284396.java,s345269082.java,s860512903.java,64,111,5,53,99,99,1,T3
mIL_00007,mIL,T3,p02613/s248805526.java,s820056527.java,s035139163.java,45,89,5,50,81,81,1,T3
mIL_00009,mIL,T3,p02970/s735075983.java,s273231277.java,s529276481.java,7,32,32,58,26,26,1,T3
mML_00000,mML,T3,p03371/s608759939.java,s447141004.java,s137655646.java,85,102,16,33,104,104,1,T3
mML_00001,mML,T3,p03371/s991808318.java,s658714508.java,s238209728.java,22,51,52,81,49,49,1,T3
mRL_N_00001,mRL_N,T2,p03435/s339006649.java,s522502504.java,s682568476.java,43,115,119,191,98,98,1,T2
mRL_N_00004,mRL_N,T2,p03087/s844928209.java,s762158651.java,s916265799.java,95,125,8,38,113,113,1,T2
mRL_N_00005,mRL_N,T2,p00005/s736247198.java,s892073639.java,s709976021.java,10,62,32,84,48,48,1,T2
mRL_N_00007,mRL_N,T2,p02707/s301150255.java,s631825366.java,s476013076.java,6,26,5,25,26,26,1,T2
mRL_N_00008,mRL_N,T2,p02260/s585284396.java,s304134533.java,s138705981.java,4,51,11,58,45,45,1,T2
mRL_N_00009,mRL_N,T2,p02629/s497633145.java,s581031851.java,s327949000.java,145,286,44,185,278,278,1,T2
mRL_S_00000,mRL_S,T2,p03435/s339006649.java,s906928031.java,s400288553.java,9,81,50,122,79,79,1,T2
mRL_S_00001,mRL_S,T2,p02390/s330236122.java,s687740397.java,s137430251.java,16,29,68,81,31,31,1,T2
mRL_S_00002,mRL_S,T2,p02753/s376293836.java,s668652469.java,s837879735.java,39,56,5,22,53,53,1,T2
mRL_S_00005,mRL_S,T2,p02260/s585284396.java,s648019410.java,s052591723.java,12,59,6,53,58,58,1,T2
mRL_S_00009,mRL_S,T2,p02613/s248805526.java,s887087832.java,s291881446.java,9,53,41,85,47,47,1,T2
mSDL_00001,mSDL,T3,p02753/s376293836.java,s219802872.java,s809358580.java,18,35,18,35,24,24,1,T3
mSDL_00002,mSDL,T3,p03087/s844928209.java,s422599606.java,s938304001.java,35,65,78,108,62,62,1,T3
mSDL_00004,mSDL,T3,p02413/s343576127.java,s562299461.java,s862427894.java,60,95,7,42,89,89,1,T3
mSDL_00005,mSDL,T3,p02681/s609806079.java,s434043251.java,s784966572.java,5,28,69,92,28,28,1,T3
mSDL_00006,mSDL,T3,p02613/s248805526.java,s399284545.java,s608960625.java,43,87,31,75,79,79,1,T3
mSDL_00009,mSDL,T3,p02818/s102873569.java,s087838481.java,s922955597.java,9,51,64,106,13,13,1,T3
mSRI_00002,mSRI,T2,p02390/s330236122.java,s094519351.java,s802510255.java,11,24,144,157,34,35,2,T2
mSRI_00003,mSRI,T2,p03087/s844928209.java,s388767963.java,s052198095.java,18,48,15,45,28,43,8,T2
mSRI_00004,mSRI,T2,p00005/s736247198.java,s686380083.java,s505752216.java,42,94,19,71,55,88,5,T2
mSRI_00007,mSRI,T2,p02629/s497633145.java,s597913510.java,s361229144.java,6,147,9,150,97,106,4,T2
mSRI_00008,mSRI,T2,p04030/s670354380.java,s921898670.java,s249332218.java,4,35,5,36,12,28,5,T2
mSRI_00009,mSRI,T2,p02578/s833836936.java,s527074424.java,s419977544.java,45,72,55,82,54,66,5,T2
