pair_id,ref_index,kind,clone_type,operator,left_begin,left_end,right_begin,right_end
R00017,2,UNTOUCHED,T1,none,6,14,6,14
R00017,3,UNTOUCHED,T1,none,24,28,24,28
R00018,0,CLONE_INTERVAL,T3,t3_wrap_statement,12,25,12,27
R00018,1,MUTATION,T3,t3_wrap_statement,12,25,12,27
R00018,2,UNTOUCHED,T1,none,9,11,9,11
R00018,3,UNTOUCHED,T1,none,26,28,28,30
R00019,0,CLONE_INTERVAL,T3,t3_delete_statement,41,47,34,39
R00019,1,MUTATION,T3,t3_delete_statement,41,41,,
R00019,2,UNTOUCHED,T1,none,28,33,28,33
R00019,3,UNTOUCHED,T1,none,48,51,40,43
R00020,0,CLONE_INTERVAL,T1,t1_add_block_comment,7,12,7,13
R00020,1,MUTATION,T1,t1_add_block_comment,,,10,10
R00020,2,UNTOUCHED,T1,none,3,6,3,6
R00020,3,UNTOUCHED,T1,none,13,18,14,19
R00021,0,CLONE_INTERVAL,T1,t1_add_block_comment,12,23,12,24
R00021,1,MUTATION,T1,t1_add_block_comment,,,15,15
R00021,2,UNTOUCHED,T1,none,7,11,7,11
R00021,3,UNTOUCHED,T1,none,24,43,25,44
R00022,0,CLONE_INTERVAL,T1,t1_add_eol_comment,7,12,7,12
R00022,1,MUTATION,T1,t1_add_eol_comment,8,8,8,8
R00022,2,UNTOUCHED,T1,none,4,6,4,6
R00022,3,UNTOUCHED,T1,none,13,15,13,15
R00023,0,CLONE_INTERVAL,T3,t3_delete_statement,8,18,8,17
R00023,1,MUTATION,T3,t3_delete_statement,9,9,,
R00023,2,UNTOUCHED,T1,none,5,7,5,7
R00023,3,UNTOUCHED,T1,none,19,21,18,20
R00024,0,CLONE_INTERVAL,T2,t2_change_string_literal,9,14,9,14
R00024,1,MUTATION,T2,t2_change_string_literal,14,14,14,14
R00024,2,UNTOUCHED,T1,none,3,8,3,8
R00024,3,UNTOUCHED,T1,none,15,17,15,17
R00025,0,CLONE_INTERVAL,T3,t3_insert_statement,6,22,6,23
R00025,1,MUTATION,T3,t3_insert_statement,,,7,7
R00025,2,UNTOUCHED,T1,none,3,5,3,5
R00025,3,UNTOUCHED,T1,none,23,28,24,29
R00026,0,CLONE_INTERVAL,T1,t1_add_eol_comment,9,34,9,34
R00026,1,MUTATION,T1,t1_add_eol_comment,10,10,10,10
R00026,2,UNTOUCHED,T1,none,3,8,3,8
R00026,3,UNTOUCHED,T1,none,35,48,35,48
R00027,0,CLONE_INTERVAL,T3,t3_delete_statement,26,31,26,30
R00027,1,MUTATION,T3,t3_delete_statement,27,27,,
R00027,2,UNTOUCHED,T1,none,23,25,23,25
R00027,3,UNTOUCHED,T1,none,32,37,31,36
R00028,0,CLONE_INTERVAL,T2,t2_change_string_literal,12,38,12,38
R00028,1,MUTATION,T2,t2_change_string_literal,13,13,13,13
R00028,2,UNTOUCHED,T1,none,3,11,3,11
R00028,3,UNTOUCHED,T1,none,39,41,39,41
R00029,0,CLONE_INTERVAL,T3,t3_wrap_statement,9,20,9,22
R00029,1,MUTATION,T3,t3_wrap_statement,13,19,13,21
R00029,2,UNTOUCHED,T1,none,5,8,5,8
R00029,3,UNTOUCHED,T1,none,21,24,23,26
R00030,0,CLONE_INTERVAL,T2,t2_change_int_literal,17,24,17,24
R00030,1,MUTATION,T2,t2_change_int_literal,17,17,17,17
R00030,2,UNTOUCHED,T1,none,14,16,14,16
R00030,3,UNTOUCHED,T1,none,25,27,25,27
R00031,0,CLONE_INTERVAL,T2,t2_rename_local_x1,7,22,7,22
R00031,1,MUTATION,T2,t2_rename_local_x1,11,18,11,18
R00031,2,UNTOUCHED,T1,none,3,6,3,6
R00031,3,UNTOUCHED,T1,none,23,27,23,27
R00032,0,CLONE_INTERVAL,T1,t1_add_blank_line,15,20,15,21
R00032,1,MUTATION,T1,t1_add_blank_line,,,18,18
R00032,2,UNTOUCHED,T1,none,3,14,3,14
R00032,3,UNTOUCHED,T1,none,21,29,22,30
R00033,0,CLONE_INTERVAL,T3,t3_wrap_statement,44,49,44,51
R00033,1,MUTATION,T3,t3_wrap_statement,44,48,44,50
R00033,2,UNTOUCHED,T1,none,41,43,41,43
R00033,3,UNTOUCHED,T1,none,50,58,52,60
R00034,0,CLONE_INTERVAL,T2,t2_rename_local_x1,66,73,66,73
R00034,1,MUTATION,T2,t2_rename_local_x1,67,71,67,71
R00034,2,UNTOUCHED,T1,none,63,65,63,65
R00034,3,UNTOUCHED,T1,none,74,76,74,76
R00035,0,CLONE_INTERVAL,T3,t3_delete_statement,7,12,7,11
R00035,1,MUTATION,T3,t3_delete_statement,8,8,,
R00035,2,UNTOUCHED,T1,none,3,6,3,6
R00035,3,UNTOUCHED,T1,none,13,17,12,16
R00036,0,CLONE_INTERVAL,T3,t3_delete_statement,6,11,6,10
R00036,1,MUTATION,T3,t3_delete_statement,7,7,,
R00036,2,UNTOUCHED,T1,none,3,5,3,5
R00036,3,UNTOUCHED,T1,none,12,25,11,24
R00037,0,CLONE_INTERVAL,T2,t2_change_string_literal,9,24,9,24
R00037,1,MUTATION,T2,t2_change_string_literal,17,17,17,17
R00037,2,UNTOUCHED,T1,none,3,8,3,8
R00037,3,UNTOUCHED,T1,none,25,31,25,31
R00038,0,CLONE_INTERVAL,T1,t1_add_blank_line,13,18,13,19
R00038,1,MUTATION,T1,t1_add_blank_line,,,17,17
R00038,2,UNTOUCHED,T1,none,3,12,3,12
R00038,3,UNTOUCHED,T1,none,19,26,20,27
R00039,0,CLONE_INTERVAL,T2,t2_change_int_literal,8,13,8,13
R00039,1,MUTATION,T2,t2_change_int_literal,9,9,9,9
R00039,2,UNTOUCHED,T1,none,5,7,5,7
R00039,3,UNTOUCHED,T1,none,14,36,14,36
R00040,0,CLONE_INTERVAL,T1,t1_add_block_comment,10,19,10,20
R00040,1,MUTATION,T1,t1_add_block_comment,,,13,13
R00040,2,UNTOUCHED,T1,none,4,9,4,9
R00040,3,UNTOUCHED,T1,none,20,24,21,25
R00041,0,CLONE_INTERVAL,T2,t2_change_int_literal,7,12,7,12
R00041,1,MUTATION,T2,t2_change_int_literal,7,7,7,7
R00041,2,UNTOUCHED,T1,none,3,6,3,6
R00041,3,UNTOUCHED,T1,none,13,35,13,35
R00042,0,CLONE_INTERVAL,T3,t3_insert_statement,8,15,8,16
R00042,1,MUTATION,T3,t3_insert_statement,,,9,9
R00042,2,UNTOUCHED,T1,none,3,7,3,7
R00042,3,UNTOUCHED,T1,none,16,25,17,26
R00043,0,CLONE_INTERVAL,T1,t1_add_blank_line,6,11,6,12
R00043,1,MUTATION,T1,t1_add_blank_line,,,7,7
R00043,2,UNTOUCHED,T1,none,3,5,3,5
R00043,3,UNTOUCHED,T1,none,12,17,13,18
R00044,0,CLONE_INTERVAL,T1,t1_add_blank_line,11,21,11,22
R00044,1,MUTATION,T1,t1_add_blank_line,,,19,19
R00044,2,UNTOUCHED,T1,none,6,10,6,10
R00044,3,UNTOUCHED,T1,none,22,24,23,25
R00045,0,CLONE_INTERVAL,T3,t3_wrap_statement,6,17,6,19
R00045,1,MUTATION,T3,t3_wrap_statement,6,7,6,9
R00045,2,UNTOUCHED,T1,none,3,5,3,5
R00045,3,UNTOUCHED,T1,none,18,20,20,22
R00046,0,CLONE_INTERVAL,T2,t2_rename_local_x3,58,63,58,63
R00046,1,MUTATION,T2,t2_rename_local_x3,58,62,58,62
R00046,2,UNTOUCHED,T1,none,55,57,55,57
R00046,3,UNTOUCHED,T1,none,64,71,64,71
R00047,0,CLONE_INTERVAL,T2,t2_change_int_literal,14,22,14,22
R00047,1,MUTATION,T2,t2_change_int_literal,14,14,14,14
R00047,2,UNTOUCHED,T1,none,6,13,6,13
R00047,3,UNTOUCHED,T1,none,23,29,23,29
R00048,0,CLONE_INTERVAL,T1,t1_reindent,6,11,6,11
R00048,1,MUTATION,T1,t1_reindent,6,11,6,11
R00048,2,UNTOUCHED,T1,none,3,5,3,5
R00048,3,UNTOUCHED,T1,none,12,23,12,23
R00049,0,CLONE_INTERVAL,T2,t2_rename_local_x1,6,11,6,11
R00049,1,MUTATION,T2,t2_rename_local_x1,7,11,7,11
R00049,2,UNTOUCHED,T1,none,3,5,3,5
R00049,3,UNTOUCHED,T1,none,12,15,12,15
